formula_id,materialized_surface,status,rationale
wiki_verified_flame_bot_range_m,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_thunder_bot_duration_seconds,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_thunder_bot_cooldown_seconds,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_thunder_bot_linger_pct,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_thunder_bot_range_m,,not_materialized_exact_generator_primary,exact_live_wiki_rule_no_row_view_needed
wiki_verified_guardian_scout_cooldown_seconds,kb/guardians/tables/wiki-verified-guardian-scout-upgrades.csv,paired_with_primary_row_table,formula canon retained; explicit row table needed for irregular bit-cost columns and audit
wiki_verified_guardian_scout_range_bonus_multiplier,kb/guardians/tables/wiki-verified-guardian-scout-upgrades.csv,paired_with_primary_row_table,formula canon retained; explicit row table needed for irregular bit-cost columns and audit
wiki_verified_guardian_scout_duration_seconds,kb/guardians/tables/wiki-verified-guardian-scout-upgrades.csv,paired_with_primary_row_table,formula canon retained; explicit row table needed for irregular bit-cost columns and audit
wiki_verified_golden_bot_cooldown_lab_reduction_seconds,,no_materialized_view_needed,exact_generator_primary_canon
wiki_verified_golden_bot_duration_lab_bonus_seconds,,no_materialized_view_needed,exact_generator_primary_canon
wiki_verified_amplify_bot_cooldown_lab_reduction_seconds,,no_materialized_view_needed,exact_generator_primary_canon
wiki_verified_amplify_bot_duration_lab_bonus_seconds,,no_materialized_view_needed,exact_generator_primary_canon
wiki_verified_flame_bot_cooldown_lab_reduction_seconds,,no_materialized_view_needed,exact_generator_primary_canon
wiki_verified_flame_bot_burn_stack_lab_bonus_stacks,,no_materialized_view_needed,exact_generator_primary_canon
wiki_verified_thunder_bot_cooldown_lab_reduction_seconds,,no_materialized_view_needed,exact_generator_primary_canon
wiki_verified_thunder_bot_linger_time_lab_bonus_seconds,,no_materialized_view_needed,exact_generator_primary_canon
wiki_verified_bc_group_3_reduction_pct_lab,kb/tournaments/tables/battle-condition-group-3-reduction-lab.csv,derived_view_or_existing_materialized_surface,audit_or_browse_surface
wiki_verified_bc_group_4_reduction_pct_lab,kb/tournaments/tables/battle-condition-group-4-reduction-lab.csv,derived_view_or_existing_materialized_surface,audit_or_browse_surface
wiki_verified_golden_tower_bonus_lab,kb/ultimate-weapons/tables/wiki-golden-tower-bonus-levels-full.csv,derived_view_or_existing_materialized_surface,audit_or_browse_surface
wiki_verified_chain_lightning_shock_chance_pct,,formula_only_primary_canon,exact linear rule from live wiki; no row table needed
wiki_verified_chain_lightning_shock_multiplier,,formula_only_primary_canon,exact linear rule from live wiki; no row table needed
wiki_verified_black_hole_damage_lab_pct_enemy_hp_per_second,kb/ultimate-weapons/tables/wiki-verified-black-hole-damage.csv,primary_irregular_row_pair,
wiki_verified_chain_lightning_shock_chance_pct,kb/ultimate-weapons/tables/wiki-verified-shock-chance.csv,primary_irregular_row_pair,
wiki_verified_chain_lightning_shock_multiplier,kb/ultimate-weapons/tables/wiki-verified-shock-multiplier.csv,primary_irregular_row_pair,
wiki_verified_chain_thunder_lab_max_reduction_pct,kb/ultimate-weapons/tables/wiki-verified-chain-thunder.csv,primary_irregular_row_pair,
wiki_verified_golden_tower_bonus_lab,kb/ultimate-weapons/tables/wiki-verified-golden-tower-bonus-levels-full.csv,primary_irregular_row_pair,
wiki_verified_golden_tower_duration_lab_seconds,kb/ultimate-weapons/tables/wiki-verified-golden-tower-duration-levels-full.csv,primary_irregular_row_pair,
