,,=Sum(C$5:C66),,,,,=Sum(H$5:H66),,=Sum(J$5:J66),,=Sum(L$5:L66),,,,,,=Sum(R$5:R66),,=Sum(T$5:T66),,=Sum(V$5:V66),,,,,,=Sum(AB$5:AB66),,=Sum(AD$5:AD66),,=Sum(AF$5:AF66),,,,,,=Sum(AL$5:AL66),,=Sum(AN$5:AN66),,=Sum(AP$5:AP66),,,,,,=Sum(AV$5:AV66),,=Sum(AX$5:AX66),,=Sum(AZ$5:AZ66),,,,,,=Sum(BF$5:BF66),,=Sum(BH$5:BH66),,=Sum(BJ$5:BJ66),,,,,,=Sum(BP$5:BP66),,=Sum(BR$5:BR66),,=Sum(BT$5:BT66),,,,,,=Sum(BZ$5:BZ66),,=Sum(CB$5:CB66),,=Sum(CD$5:CD66),,,,,,=Sum(CJ$5:CJ66),,=Sum(CL$5:CL66),,=Sum(CN$5:CN66),,,,
,7.0,1750.0,7.0,2200.0,,46.0,41.0,,,0.155,116.0,=M11+0.0005,925.0,925.0,,43.0,41.0,12.0,275.0,110.0,104.0,7.0,925.0,925.0,,46.0,41.0,,,=AE11-10,104.0,24.0,1000.0,1000.0,,12.0,59.0,0.55,200.0,110.0,136.0,0.4,1000.0,1000.0,,43.0,41.0,,,=AY11-10,104.0,12.5,750.0,750.0,,=BE11+0.8,68.0,=BG11+1,59.0,=BI11-10,118.0,=BK11+0.03%,750.0,750.0,,43.0,41.0,65.0,150.0,90.0,116.0,5.4,925.0,925.0,,=BY11+2,53.0,=CA11+1,59.0,=CC11-10,118.0,=CE11+0.0005,1000.0,1000.0,,=CI11+1.4,65.0,37.0,71.0,,,=CO11+0.01,1000.0,1000.0,
,8.0,2400.0,8.0,2900.0,,63.0,47.0,,,0.17,134.0,=M12+0.0005,1150.0,1150.0,,55.0,47.0,13.0,350.0,100.0,120.0,6.0,1150.0,1150.0,,63.0,47.0,,,=AE12-10,120.0,31.0,1150.0,1150.0,,13.0,68.0,0.6,300.0,100.0,157.0,0.45,1150.0,1150.0,,55.0,47.0,,,=AY12-10,120.0,15.9,900.0,900.0,,=BE12+0.8,82.0,=BG12+1,68.0,=BI12-10,136.0,=BK12+0.03%,900.0,900.0,,55.0,47.0,70.0,200.0,85.0,134.0,6.1,1150.0,1150.0,,=BY12+2,64.0,=CA12+1,68.0,=CC12-10,136.0,=CE12+0.0005,1150.0,1150.0,,=CI12+1.4,80.0,38.0,82.0,,,=CO12+0.01,1150.0,1150.0,
,9.0,3000.0,9.0,3800.0,,85.0,53.0,,,0.185,152.0,=M13+0.0005,1450.0,1450.0,,69.0,53.0,14.0,420.0,90.0,136.0,5.0,1450.0,1450.0,,85.0,53.0,,,=AE13-10,136.0,39.0,1300.0,1300.0,,14.0,77.0,0.65,450.0,90.0,178.0,0.5,1300.0,1300.0,,69.0,53.0,,,=AY13-10,136.0,19.7,1100.0,1100.0,,=BE13+0.8,98.0,=BG13+1,77.0,=BI13-10,154.0,=BK13+0.03%,1100.0,1100.0,,69.0,53.0,75.0,260.0,80.0,152.0,6.8,1450.0,1450.0,,=BY13+2,76.0,=CA13+1,77.0,=CC13-10,154.0,=CE13+0.0005,1300.0,1300.0,,=CI13+1.4,95.0,39.0,93.0,,,=CO13+0.01,1300.0,1300.0,
,Max,0.0,Max,0.0,,113.0,61.0,,,0.2,170.0,=M14+0.0005,1800.0,1800.0,,87.0,61.0,15.0,500.0,80.0,152.0,4.0,1800.0,1800.0,,113.0,61.0,,,=AE14-10,152.0,48.0,1500.0,1500.0,,15.0,86.0,0.7,650.0,80.0,199.0,0.55,1500.0,1500.0,,87.0,61.0,,,=AY14-10,152.0,23.9,1350.0,1350.0,,=BE14+0.8,116.0,=BG14+1,87.0,=BI14-10,172.0,=BK14+0.03%,1350.0,1350.0,,87.0,61.0,80.0,330.0,75.0,170.0,7.5,1800.0,1800.0,,=BY14+2,89.0,=CA14+1,86.0,=CC14-10,172.0,=CE14+0.0005,1500.0,1500.0,,=CI14+1.4,112.0,40.0,104.0,,,=CO14+0.01,1500.0,1500.0,
,,,,,,148.0,71.0,,,0.215,188.0,=M15+0.0005,2200.0,2200.0,,108.0,71.0,16.0,600.0,70.0,168.0,3.0,2200.0,2200.0,,148.0,71.0,,,=AE15-10,168.0,58.0,1700.0,1700.0,,16.0,95.0,0.75,900.0,70.0,220.0,0.6,1700.0,1700.0,,108.0,71.0,,,=AY15-10,168.0,28.5,1650.0,1650.0,,=BE15+0.8,138.0,=BG15+1,98.0,=BI15-10,190.0,=BK15+0.03%,1650.0,1650.0,,108.0,71.0,85.0,410.0,70.0,188.0,8.2,2200.0,2200.0,,=BY15+2,103.0,=CA15+1,95.0,=CC15-10,190.0,=CE15+0.0005,1700.0,1700.0,,=CI15+1.4,133.0,41.0,115.0,,,=CO15+0.01,1700.0,1700.0,
,,,,,,191.0,84.0,,,0.23,206.0,=M16+0.0005,2650.0,2650.0,,134.0,84.0,17.0,750.0,60.0,184.0,2.0,2650.0,2650.0,,191.0,84.0,,,=AE16-10,184.0,69.0,1950.0,1950.0,,17.0,104.0,=AM16,Max,60.0,241.0,0.65,1950.0,1950.0,,134.0,84.0,,,=AY16-10,184.0,33.5,2000.0,2000.0,,=BE16+0.8,162.0,=BG16+1,110.0,=BI16-10,208.0,0.0036,2050.0,2050.0,,134.0,84.0,90.0,500.0,65.0,206.0,8.9,2650.0,2650.0,,=BY16+2,118.0,=CA16+1,104.0,=CC16-10,208.0,=CE16+0.0005,1950.0,1950.0,,=CI16+1.4,150.0,42.0,126.0,,,0.12,1950.0,1950.0,
,,,,,,244.0,100.0,,,0.245,224.0,=M17,Max,Max,,164.0,100.0,18.0,950.0,50.0,200.0,=W17,Max,Max,,244.0,100.0,,,=AE17-10,200.0,81.0,2200.0,2200.0,,18.0,113.0,,,=AO17,Max,0.7,2200.0,2200.0,,164.0,100.0,,,=AY17-10,200.0,38.9,2400.0,2400.0,,=BE17+0.8,250.0,=BG17+1,123.0,=BI17-10,226.0,0.0039,2600.0,2600.0,,164.0,100.0,95.0,600.0,60.0,224.0,9.6,3150.0,3150.0,,=BY17+2,134.0,=CA17+1,113.0,=CC17-10,226.0,=CE17+0.0005,2200.0,2200.0,,=CI17+1.4,180.0,43.0,137.0,,,0.13,2200.0,2200.0,
,,,,,,309.0,120.0,,,0.26,242.0,,,,,200.0,120.0,19.0,1200.0,40.0,216.0,,,,,309.0,120.0,,,=AE18-10,216.0,94.0,2450.0,2450.0,,19.0,122.0,,,,,0.75,2450.0,2450.0,,200.0,120.0,,,=AY18-10,216.0,44.7,2850.0,2850.0,,=BE18+0.8,350.0,=BG18+1,137.0,=BI18-10,244.0,0.0042,3300.0,3300.0,,200.0,120.0,100.0,710.0,55.0,242.0,10.3,3700.0,3700.0,,=BY18+2,151.0,=CA18+1,122.0,=CC18-10,244.0,=CE18+0.0005,2450.0,2450.0,,=CI18+1.4,220.0,44.0,148.0,,,0.14,2450.0,2450.0,
,,,,,,387.0,144.0,,,0.275,260.0,,,,,243.0,144.0,20.0,1500.0,30.0,232.0,,,,,387.0,144.0,,,=AE19-10,232.0,108.0,2700.0,2700.0,,20.0,131.0,,,,,=AQ19,Max,Max,,243.0,144.0,,,=AY19-10,232.0,50.9,3350.0,3350.0,,=BE19+0.8,500.0,=BG19+1,152.0,=BI19-10,262.0,0.0045,4150.0,4150.0,,243.0,144.0,=BQ19,Max,50.0,260.0,11.1,4300.0,4300.0,,=BY19+2,169.0,=CA19+1,131.0,=CC19-10,262.0,=CE19+0.0005,2700.0,2700.0,,=CI19+1.4,280.0,45.0,159.0,,,0.15,2700.0,2700.0,
,,,,,,482.0,174.0,,,=K20,Max,,,,,293.0,174.0,=S20,Max,20.0,750.0,,,,,482.0,174.0,,,=AE20-10,248.0,=AG20,Max,Max,,21.0,140.0,,,,,,,,,293.0,174.0,,,=AY20,Max,=BA20,Max,Max,,=BE20+0.8,700.0,=BG20+1,168.0,=BI20-10,300.0,=BK20,Max,Max,,293.0,174.0,,,=BS20,Max,=BU20,Max,Max,,=BY20+2,189.0,=CA20+1,165.0,=CC20,Max,=CE20,Max,Max,,=CI20+1.4,320.0,46.0,170.0,,,=CO20,Max,Max,
,,,,,,596.0,210.0,,,,,,,,,352.0,210.0,,,=U21,Max,,,,,596.0,210.0,,,=AE21-10,264.0,,,,,22.0,149.0,,,,,,,,,352.0,210.0,,,,,,,,,=BE21+0.8,950.0,=BG21+1,185.0,=BI21-10,368.0,,,,,352.0,210.0,,,,,,,,,=BY21+2,211.0,=CA21+1,224.0,,,,,,,=CI21+1.4,360.0,47.0,181.0,,,,,,
,,,,,,733.0,252.0,,,,,,,,,421.0,252.0,,,,,,,,,723.0,254.0,,,=AE22-10,280.0,,,,,23.0,158.0,,,,,,,,,421.0,254.0,,,,,,,,,=BE22+0.8,1250.0,=BG22+1,203.0,=BI22-10,476.0,,,,,421.0,252.0,,,,,,,,,=BY22+2,236.0,=CA22+1,308.0,,,,,,,=CI22+1.4,420.0,48.0,192.0,,,,,,
,,,,,,898.0,302.0,,,,,,,,,502.0,302.0,,,,,,,,,877.0,308.0,,,=AE23-10,346.0,,,,,24.0,167.0,,,,,,,,,502.0,308.0,,,,,,,,,=BE23+0.8,1600.0,=BG23+1,222.0,=BI23-10,644.0,,,,,502.0,302.0,,,,,,,,,=BY23+2,264.0,=CA23+1,417.0,,,,,,,=CI23+1.4,500.0,49.0,203.0,,,,,,
,,,,,,1094.0,362.0,,,,,,,,,597.0,362.0,,,,,,,,,1064.0,374.0,,,=AE24-10,512.0,,,,,25.0,176.0,,,,,,,,,597.0,374.0,,,,,,,,,=BE24+0.8,2000.0,=BG24+1,242.0,=BI24-10,872.0,,,,,597.0,362.0,,,,,,,,,=BY24+2,295.0,=CA24+1,551.0,,,,,,,=CI24+1.4,600.0,50.0,214.0,,,,,,
,,,,,,1328.0,434.0,,,,,,,,,708.0,432.0,,,,,,,,,1290.0,452.0,,,=AE25-10,688.0,,,,,26.0,185.0,,,,,,,,,708.0,454.0,,,,,,,,,=BE25,Max,=BG25+1,263.0,=BI25,Max,,,,,708.0,434.0,,,,,,,,,=BY25,Max,=CA25+1,710.0,,,,,,,=CI25+1.4,720.0,51.0,225.0,,,,,,
,,,,,,1607.0,525.0,,,,,,,,,838.0,528.0,,,,,,,,,1569.0,558.0,,,=AE26-10,874.0,,,,,27.0,194.0,,,,,,,,,838.0,540.0,,,,,,,,,,,=BG26+1,285.0,,,,,,,838.0,525.0,,,,,,,,,,,=CA26+1,894.0,,,,,,,=CI26+1.4,850.0,52.0,236.0,,,,,,
,,,,,,1937.0,636.0,,,,,,,,,989.0,654.0,,,,,,,,,1916.0,694.0,,,=AE27-10,1070.0,,,,,28.0,203.0,,,,,,,,,989.0,632.0,,,,,,,,,,,=BG27+1,308.0,,,,,,,989.0,636.0,,,,,,,,,,,=CA27+1,1103.0,,,,,,,=CI27+1.4,1000.0,53.0,247.0,,,,,,
,,,,,,2329.0,767.0,,,,,,,,,1165.0,810.0,,,,,,,,,2356.0,880.0,,,=AE28-10,1276.0,,,,,29.0,212.0,,,,,,,,,1165.0,730.0,,,,,,,,,,,=BG28+1,332.0,,,,,,,1165.0,772.0,,,,,,,,,,,=CA28,Max,,,,,,,=CI28+1.4,1175.0,54.0,258.0,,,,,,
,,,,,,2794.0,923.0,,,,,,,,,1370.0,996.0,,,,,,,,,2919.0,1126.0,,,=AE29-10,1492.0,,,,,30.0,221.0,,,,,,,,,1370.0,834.0,,,,,,,,,,,=BG29+1,356.0,,,,,,,1370.0,938.0,,,,,,,,,,,,,,,,,,,=CI29+1.4,1400.0,55.0,269.0,,,,,,
,,,,,,3342.0,1109.0,,,,,,,,,1608.0,1222.0,,,,,,,,,3637.0,1432.0,,,=AE30,Max,,,,,31.0,230.0,,,,,,,,,1608.0,944.0,,,,,,,,,,,=BG30+1,380.0,,,,,,,1608.0,1134.0,,,,,,,,,,,,,,,,,,,=CI30,Max,56.0,280.0,,,,,,
,,,,,,3990.0,1295.0,,,,,,,,,1886.0,1488.0,,,,,,,,,4544.0,1813.0,,,,,,,,,32.0,239.0,,,,,,,,,1886.0,1060.0,,,,,,,,,,,=BG31+1,404.0,,,,,,,1886.0,1360.0,,,,,,,,,,,,,,,,,,,,,57.0,291.0,,,,,,
,,,,,,4755.0,1521.0,,,,,,,,,2209.0,1804.0,,,,,,,,,5678.0,2269.0,,,,,,,,,33.0,248.0,,,,,,,,,2209.0,1182.0,,,,,,,,,,,=BG32+1,428.0,,,,,,,2209.0,1616.0,,,,,,,,,,,,,,,,,,,,,58.0,302.0,,,,,,
,,,,,,5655.0,1787.0,,,,,,,,,2585.0,2180.0,,,,,,,,,7078.0,2800.0,,,,,,,,,34.0,257.0,,,,,,,,,2585.0,1312.0,,,,,,,,,,,=BG33+1,452.0,,,,,,,2585.0,1902.0,,,,,,,,,,,,,,,,,,,,,59.0,313.0,,,,,,
,,,,,,6715.0,2103.0,,,,,,,,,3021.0,2636.0,,,,,,,,,9119.0,3406.0,,,,,,,,,35.0,266.0,,,,,,,,,3021.0,1448.0,,,,,,,,,,,=BG34+1,476.0,,,,,,,3021.0,2228.0,,,,,,,,,,,,,,,,,,,,,60.0,324.0,,,,,,
,,,,,,7961.0,2469.0,,,,,,,,,=Q35,Max,,,,,,,,,9119.0,Max,,,,,,,,,36.0,275.0,,,,,,,,,=AU35,Max,,,,,,,,,,,=BG35+1,530.0,,,,,,,=BO35,Max,,,,,,,,,,,,,,,,,,,,,61.0,337.0,,,,,,
,,,,,,7961.0,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,284.0,,,,,,,,,,,,,,,,,,,,,=BG36+1,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,352.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,293.0,,,,,,,,,,,,,,,,,,,,,=BG37+1,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,369.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,302.0,,,,,,,,,,,,,,,,,,,,,=BG38+1,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,388.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,311.0,,,,,,,,,,,,,,,,,,,,,=BG39+1,1046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,409.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=AK40,Max,,,,,,,,,,,,,,,,,,,,,=BG40+1,1250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,432.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=BG41+1,1484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,457.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=BG42+1,1748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,484.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=BG43,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,513.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,544.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,577.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,612.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,649.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,688.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,729.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,772.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,817.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,864.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,913.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,964.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,1017.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,1072.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,1129.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,1188.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,1249.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,1312.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,1377.0,,,,,,
