card_id,layer,effect_name,target_surface,operation_type,value_capture_status,runtime_gate,provenance
FORTRESS,mastery,Fortress_mastery,Reduces wall rebuild time,additive_or_time_delta,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
FREE_UPGRADES,mastery,Free Upgrades_mastery,Lock a stat from free ups,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
EXTRA_ORB,mastery,Extra Orb_mastery,Orb coin bonus,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
PLASMA_CANNON,mastery,Plasma Cannon_mastery,Percent of plasma cannon applied to elites,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
CRITICAL_COIN,mastery,Critical Coin_mastery,Chance of double coin drop on common enemies,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
WAVE_SKIP,mastery,Wave Skip_mastery,Chance to double wave skip,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
INTRO_SPRINT,mastery,Intro Sprint_mastery,Increases how many waves it's active,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
LAND_MINE_STUN,mastery,Land Mine Stun_mastery,Chance stunned enemies will miss attacks,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
RECOVERY_PACKAGE_CHANCE,mastery,Package Chance_mastery,Packages have a chance to drop common modules,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
DEATH_RAY,mastery,Death Ray_mastery,Death ray partially pierces protector shield,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
ENERGY_NET,mastery,Energy Net_mastery,Damage multi to bosses when trapped and 10s after,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
SUPER_TOWER,mastery,Super Tower_mastery,"35% of super tower bonus is applied to Ultimate Weapons (UWs), reduces cooldown",additive_or_time_delta,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
SECOND_WIND,mastery,Second Wind_mastery,Increases HP regen for 400 waves when triggered,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
DEMON_MODE,mastery,Demon Mode_mastery,Lingering damage multi for 300 waves,see mastery ladder values,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
ENERGY_SHIELD,mastery,Energy Shield_mastery,Energy shield activates a blast that repels all enemies back by a percent of tower max range and destroys all enemy projectiles. The charge times of Rays are reset.,additive_or_time_delta,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
WAVE_ACCELERATOR,mastery,Wave Accelerator_mastery,Increases spawn rate acceleration,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
BERSERKER,mastery,Berserker_mastery,Increases damage cap from berserk to x500 for a limited time after death defy,additive_or_time_delta,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
ULTIMATE_CRIT,mastery,Ultimate Crit_mastery,Increases UW crit chance,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
NUKE,mastery,Nuke_mastery,Reduces enemy attack speed for 300 waves after Nuke use,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
AREA_OF_EFFECT,mastery,Area of Effect_mastery,Increases Area of Effect radius,percent_or_multiplier_by_mastery_level,active_mastery_ladder_surface,mastery_unlocked_and_card_equipped,https://the-tower-idle-tower-defense.fandom.com/wiki/Card_Masteries
