rarity,level,slot,total_multiplier
Common,24,core,1.29
Common,25,cannon,1.07
Common,25,armor,1.07
Common,25,generator,1.035
Common,25,core,1.305
Common,26,cannon,1.074
Common,26,armor,1.074
Common,26,generator,1.036
Common,26,core,1.32
Common,27,cannon,1.078
Common,27,armor,1.078
Common,27,generator,1.037
Common,27,core,1.335
Common,28,cannon,1.082
Common,28,armor,1.082
Common,28,generator,1.038
Common,28,core,1.35
Common,29,cannon,1.086
Common,29,armor,1.086
Common,29,generator,1.039
Common,29,core,1.365
Common,30,cannon,1.09
Common,30,armor,1.09
Common,30,generator,1.04
Common,30,core,1.38
Common,31,cannon,1.096
Common,31,armor,1.096
Common,31,generator,1.042
Common,31,core,1.4
Common,32,cannon,1.102
Common,32,armor,1.102
Common,32,generator,1.044
Common,32,core,1.42
Common,33,cannon,1.108
Common,33,armor,1.108
Common,33,generator,1.046
Common,33,core,1.44
Common,34,cannon,1.114
Common,34,armor,1.114
Common,34,generator,1.048
Common,34,core,1.46
Common,35,cannon,1.12
Common,35,armor,1.12
Common,35,generator,1.05
Common,35,core,1.48
Common,36,cannon,1.126
Common,36,armor,1.126
Common,36,generator,1.052
Common,36,core,1.5
Common,37,cannon,1.132
Common,37,armor,1.132
Common,37,generator,1.054
Common,37,core,1.52
Common,38,cannon,1.138
Common,38,armor,1.138
Common,38,generator,1.056
Common,38,core,1.54
Common,39,cannon,1.144
Common,39,armor,1.144
Common,39,generator,1.058
Common,39,core,1.56
Common,40,cannon,1.15
Common,40,armor,1.15
Common,40,generator,1.06
Common,40,core,1.58
Common,41,cannon,1.158
Common,41,armor,1.158
Common,41,generator,1.063
Common,41,core,1.605
Common,42,cannon,1.166
Common,42,armor,1.166
Common,42,generator,1.066
Common,42,core,1.63
Common,43,cannon,1.174
Common,43,armor,1.174
Common,43,generator,1.069
Common,43,core,1.655
Common,44,cannon,1.182
Common,44,armor,1.182
Common,44,generator,1.072
Common,44,core,1.68
Common,45,cannon,1.19
Common,45,armor,1.19
Common,45,generator,1.075
Common,45,core,1.705
Common,46,cannon,1.198
Common,46,armor,1.198
Common,46,generator,1.078
Common,46,core,1.73
Common,47,cannon,1.206
Common,47,armor,1.206
Common,47,generator,1.081
Common,47,core,1.755
Common,48,cannon,1.214
Common,48,armor,1.214
Common,48,generator,1.084
Common,48,core,1.78
Common,49,cannon,1.222
Common,49,armor,1.222
Common,49,generator,1.087
Common,49,core,1.805
Common,50,cannon,1.23
Common,50,armor,1.23
Common,50,generator,1.09
Common,50,core,1.83
Common,51,cannon,1.238
Common,51,armor,1.238
Common,51,generator,1.093
Common,51,core,1.855
Common,52,cannon,1.246
Common,52,armor,1.246
Common,52,generator,1.096
Common,52,core,1.88
Common,53,cannon,1.254
Common,53,armor,1.254
Common,53,generator,1.099
Common,53,core,1.905
Common,54,cannon,1.262
Common,54,armor,1.262
Common,54,generator,1.102
Common,54,core,1.93
Common,55,cannon,1.27
Common,55,armor,1.27
Common,55,generator,1.105
Common,55,core,1.955
Common,56,cannon,1.278
Common,56,armor,1.278
Common,56,generator,1.108
Common,56,core,1.98
Common,57,cannon,1.286
Common,57,armor,1.286
Common,57,generator,1.111
Common,57,core,2.005
Common,58,cannon,1.294
Common,58,armor,1.294
Common,58,generator,1.114
Common,58,core,2.03
Common,59,cannon,1.302
Common,59,armor,1.302
Common,59,generator,1.117
Common,59,core,2.055
Common,60,cannon,1.31
Common,60,armor,1.31
Common,60,generator,1.12
Common,60,core,2.08
Common,61,cannon,1.322
Common,61,armor,1.322
Common,61,generator,1.123
Common,61,core,2.11
Common,62,cannon,1.334
Common,62,armor,1.334
Common,62,generator,1.126
Common,62,core,2.14
Common,63,cannon,1.346
Common,63,armor,1.346
Common,63,generator,1.129
Common,63,core,2.17
Common,64,cannon,1.358
Common,64,armor,1.358
Common,64,generator,1.132
Common,64,core,2.2
Common,65,cannon,1.37
Common,65,armor,1.37
Common,65,generator,1.135
Common,65,core,2.23
Common,66,cannon,1.382
Common,66,armor,1.382
Common,66,generator,1.138
Common,66,core,2.26
Common,67,cannon,1.394
Common,67,armor,1.394
Common,67,generator,1.141
Common,67,core,2.29
Common,68,cannon,1.406
Common,68,armor,1.406
Common,68,generator,1.144
Common,68,core,2.32
Common,69,cannon,1.418
Common,69,armor,1.418
Common,69,generator,1.147
Common,69,core,2.35
Common,70,cannon,1.43
Common,70,armor,1.43
Common,70,generator,1.15
Common,70,core,2.38
Common,71,cannon,1.442
Common,71,armor,1.442
Common,71,generator,1.153
Common,71,core,2.41
Common,72,cannon,1.454
Common,72,armor,1.454
Common,72,generator,1.156
Common,72,core,2.44
Common,73,cannon,1.466
Common,73,armor,1.466
Common,73,generator,1.159
Common,73,core,2.47
Common,74,cannon,1.478
Common,74,armor,1.478
Common,74,generator,1.162
Common,74,core,2.5
Common,75,cannon,1.49
Common,75,armor,1.49
Common,75,generator,1.165
Common,75,core,2.53
Common,76,cannon,1.502
Common,76,armor,1.502
Common,76,generator,1.168
Common,76,core,2.56
Common,77,cannon,1.514
Common,77,armor,1.514
Common,77,generator,1.171
Common,77,core,2.59
Common,78,cannon,1.526
Common,78,armor,1.526
Common,78,generator,1.174
Common,78,core,2.62
Common,79,cannon,1.538
Common,79,armor,1.538
Common,79,generator,1.177
Common,79,core,2.65
Common,80,cannon,1.55
Common,80,armor,1.55
Common,80,generator,1.18
Common,80,core,2.68
Common,81,cannon,1.58
Common,81,armor,1.58
Common,81,generator,1.184
Common,81,core,2.73
Common,82,cannon,1.61
Common,82,armor,1.61
Common,82,generator,1.188
Common,82,core,2.78
Common,83,cannon,1.64
Common,83,armor,1.64
Common,83,generator,1.192
Common,83,core,2.83
Common,84,cannon,1.67
Common,84,armor,1.67
Common,84,generator,1.196
Common,84,core,2.88
Common,85,cannon,1.7
Common,85,armor,1.7
Common,85,generator,1.2
Common,85,core,2.93
Common,86,cannon,1.73
Common,86,armor,1.73
Common,86,generator,1.204
Common,86,core,2.98
Common,87,cannon,1.76
Common,87,armor,1.76
Common,87,generator,1.208
Common,87,core,3.03
Common,88,cannon,1.79
Common,88,armor,1.79
Common,88,generator,1.212
Common,88,core,3.08
Common,89,cannon,1.82
Common,89,armor,1.82
Common,89,generator,1.216
Common,89,core,3.13
Common,90,cannon,1.85
Common,90,armor,1.85
Common,90,generator,1.22
Common,90,core,3.18
Common,91,cannon,1.88
Common,91,armor,1.88
Common,91,generator,1.224
Common,91,core,3.23
Common,92,cannon,1.91
Common,92,armor,1.91
Common,92,generator,1.228
Common,92,core,3.28
Common,93,cannon,1.94
Common,93,armor,1.94
Common,93,generator,1.232
Common,93,core,3.33
Common,94,cannon,1.97
Common,94,armor,1.97
Common,94,generator,1.236
Common,94,core,3.38
Common,95,cannon,2.0
Common,95,armor,2.0
Common,95,generator,1.24
Common,95,core,3.43
Common,96,cannon,2.03
Common,96,armor,2.03
Common,96,generator,1.244
Common,96,core,3.48
Common,97,cannon,2.06
Common,97,armor,2.06
Common,97,generator,1.248
Common,97,core,3.53
Common,98,cannon,2.09
Common,98,armor,2.09
Common,98,generator,1.252
Common,98,core,3.58
Common,99,cannon,2.12
Common,99,armor,2.12
Common,99,generator,1.256
Common,99,core,3.63
Common,100,cannon,2.15
Common,100,armor,2.15
Common,100,generator,1.26
Common,100,core,3.68
Common,101,cannon,2.22
Common,101,armor,2.22
Common,101,generator,1.265
Common,101,core,3.76
Common,102,cannon,2.29
Common,102,armor,2.29
Common,102,generator,1.27
Common,102,core,3.84
Common,103,cannon,2.36
Common,103,armor,2.36
Common,103,generator,1.275
Common,103,core,3.92
Common,104,cannon,2.43
Common,104,armor,2.43
Common,104,generator,1.28
Common,104,core,4.0
Common,105,cannon,2.5
Common,105,armor,2.5
Common,105,generator,1.285
Common,105,core,4.08
Common,106,cannon,2.57
Common,106,armor,2.57
Common,106,generator,1.29
Common,106,core,4.16
Common,107,cannon,2.64
Common,107,armor,2.64
Common,107,generator,1.295
Common,107,core,4.24
Common,108,cannon,2.71
Common,108,armor,2.71
Common,108,generator,1.3
Common,108,core,4.32
Common,109,cannon,2.78
Common,109,armor,2.78
Common,109,generator,1.305
Common,109,core,4.4
Common,110,cannon,2.85
Common,110,armor,2.85
Common,110,generator,1.31
Common,110,core,4.48
Common,111,cannon,2.92
Common,111,armor,2.92
Common,111,generator,1.315
Common,111,core,4.56
Common,112,cannon,2.99
Common,112,armor,2.99
Common,112,generator,1.32
Common,112,core,4.64
Common,113,cannon,3.06
Common,113,armor,3.06
Common,113,generator,1.325
Common,113,core,4.72
Common,114,cannon,3.13
Common,114,armor,3.13
Common,114,generator,1.33
Common,114,core,4.8
Common,115,cannon,3.2
Common,115,armor,3.2
Common,115,generator,1.335
Common,115,core,4.88
Common,116,cannon,3.27
Common,116,armor,3.27
Common,116,generator,1.34
Common,116,core,4.96
Common,117,cannon,3.34
Common,117,armor,3.34
Common,117,generator,1.345
Common,117,core,5.04
Common,118,cannon,3.41
Common,118,armor,3.41
Common,118,generator,1.35
Common,118,core,5.12
Common,119,cannon,3.48
Common,119,armor,3.48
Common,119,generator,1.355
Common,119,core,5.2
Common,120,cannon,3.55
Common,120,armor,3.55
Common,120,generator,1.36
Common,120,core,5.28
Common,121,cannon,3.65
Common,121,armor,3.65
Common,121,generator,1.366
Common,121,core,5.4
Common,122,cannon,3.75
Common,122,armor,3.75
Common,122,generator,1.372
Common,122,core,5.52
Common,123,cannon,3.85
Common,123,armor,3.85
Common,123,generator,1.378
Common,123,core,5.64
Common,124,cannon,3.95
Common,124,armor,3.95
Common,124,generator,1.384
Common,124,core,5.76
Common,125,cannon,4.05
Common,125,armor,4.05
Common,125,generator,1.39
Common,125,core,5.88
Common,126,cannon,4.15
Common,126,armor,4.15
Common,126,generator,1.396
Common,126,core,6.0
Common,127,cannon,4.25
Common,127,armor,4.25
Common,127,generator,1.402
Common,127,core,6.12
Common,128,cannon,4.35
Common,128,armor,4.35
Common,128,generator,1.408
Common,128,core,6.24
Common,129,cannon,4.45
Common,129,armor,4.45
Common,129,generator,1.414
Common,129,core,6.36
Common,130,cannon,4.55
Common,130,armor,4.55
Common,130,generator,1.42
Common,130,core,6.48
Common,131,cannon,4.65
Common,131,armor,4.65
Common,131,generator,1.426
Common,131,core,6.6
Common,132,cannon,4.75
Common,132,armor,4.75
Common,132,generator,1.432
Common,132,core,6.72
Common,133,cannon,4.85
Common,133,armor,4.85
Common,133,generator,1.438
Common,133,core,6.84
Common,134,cannon,4.95
Common,134,armor,4.95
Common,134,generator,1.444
Common,134,core,6.96
Common,135,cannon,5.05
Common,135,armor,5.05
Common,135,generator,1.45
Common,135,core,7.08
Common,136,cannon,5.15
Common,136,armor,5.15
Common,136,generator,1.456
Common,136,core,7.2
Common,137,cannon,5.25
Common,137,armor,5.25
Common,137,generator,1.462
Common,137,core,7.32
Common,138,cannon,5.35
Common,138,armor,5.35
Common,138,generator,1.468
Common,138,core,7.44
Common,139,cannon,5.45
Common,139,armor,5.45
Common,139,generator,1.474
Common,139,core,7.56
Common,140,cannon,5.55
Common,140,armor,5.55
Common,140,generator,1.48
Common,140,core,7.68
Common,141,cannon,5.67
Common,141,armor,5.67
Common,141,generator,1.488
Common,141,core,7.83
Common,142,cannon,5.79
Common,142,armor,5.79
Common,142,generator,1.496
Common,142,core,7.98
Common,143,cannon,5.91
Common,143,armor,5.91
Common,143,generator,1.504
Common,143,core,8.13
Common,144,cannon,6.03
Common,144,armor,6.03
Common,144,generator,1.512
Common,144,core,8.28
Common,145,cannon,6.15
Common,145,armor,6.15
Common,145,generator,1.52
Common,145,core,8.43
Common,146,cannon,6.27
Common,146,armor,6.27
Common,146,generator,1.528
Common,146,core,8.58
Common,147,cannon,6.39
Common,147,armor,6.39
Common,147,generator,1.536
Common,147,core,8.73
Common,148,cannon,6.51
Common,148,armor,6.51
Common,148,generator,1.544
Common,148,core,8.88
Common,149,cannon,6.63
Common,149,armor,6.63
Common,149,generator,1.552
Common,149,core,9.03
Common,150,cannon,6.75
Common,150,armor,6.75
Common,150,generator,1.56
Common,150,core,9.18
Common,151,cannon,6.87
Common,151,armor,6.87
Common,151,generator,1.568
Common,151,core,9.33
Common,152,cannon,6.99
Common,152,armor,6.99
Common,152,generator,1.576
Common,152,core,9.48
Common,153,cannon,7.11
Common,153,armor,7.11
Common,153,generator,1.584
Common,153,core,9.63
Common,154,cannon,7.23
Common,154,armor,7.23
Common,154,generator,1.592
Common,154,core,9.78
Common,155,cannon,7.35
Common,155,armor,7.35
Common,155,generator,1.6
Common,155,core,9.93
Common,156,cannon,7.47
Common,156,armor,7.47
Common,156,generator,1.608
Common,156,core,10.08
Common,157,cannon,7.59
Common,157,armor,7.59
Common,157,generator,1.616
Common,157,core,10.23
Common,158,cannon,7.71
Common,158,armor,7.71
Common,158,generator,1.624
Common,158,core,10.38
Common,159,cannon,7.83
Common,159,armor,7.83
Common,159,generator,1.632
Common,159,core,10.53
Common,160,cannon,7.95
Common,160,armor,7.95
Common,160,generator,1.64
Common,160,core,10.68
Common,161,cannon,8.15
Common,161,armor,8.15
Common,161,generator,1.65
Common,161,core,10.93
Common,162,cannon,8.35
Common,162,armor,8.35
Common,162,generator,1.66
Common,162,core,11.18
Common,163,cannon,8.55
Common,163,armor,8.55
Common,163,generator,1.67
Common,163,core,11.43
Common,164,cannon,8.75
Common,164,armor,8.75
Common,164,generator,1.68
Common,164,core,11.68
Common,165,cannon,8.95
Common,165,armor,8.95
Common,165,generator,1.69
Common,165,core,11.93
Common,166,cannon,9.15
Common,166,armor,9.15
Common,166,generator,1.7
Common,166,core,12.18
Common,167,cannon,9.35
Common,167,armor,9.35
Common,167,generator,1.71
Common,167,core,12.43
Common,168,cannon,9.55
Common,168,armor,9.55
Common,168,generator,1.72
Common,168,core,12.68
Common,169,cannon,9.75
Common,169,armor,9.75
Common,169,generator,1.73
Common,169,core,12.93
Common,170,cannon,9.95
Common,170,armor,9.95
Common,170,generator,1.74
Common,170,core,13.18
Common,171,cannon,10.15
Common,171,armor,10.15
Common,171,generator,1.75
Common,171,core,13.43
Common,172,cannon,10.35
Common,172,armor,10.35
Common,172,generator,1.76
Common,172,core,13.68
Common,173,cannon,10.55
Common,173,armor,10.55
Common,173,generator,1.77
Common,173,core,13.93
Common,174,cannon,10.75
Common,174,armor,10.75
Common,174,generator,1.78
Common,174,core,14.18
Common,175,cannon,10.95
Common,175,armor,10.95
Common,175,generator,1.79
Common,175,core,14.43
Common,176,cannon,11.15
Common,176,armor,11.15
Common,176,generator,1.8
Common,176,core,14.68
Common,177,cannon,11.35
Common,177,armor,11.35
Common,177,generator,1.81
Common,177,core,14.93
Common,178,cannon,11.55
Common,178,armor,11.55
Common,178,generator,1.82
Common,178,core,15.18
Common,179,cannon,11.75
Common,179,armor,11.75
Common,179,generator,1.83
Common,179,core,15.43
Common,180,cannon,11.95
Common,180,armor,11.95
Common,180,generator,1.84
Common,180,core,15.68
Common,181,cannon,12.15
Common,181,armor,12.15
Common,181,generator,1.85
Common,181,core,15.93
Common,182,cannon,12.35
Common,182,armor,12.35
Common,182,generator,1.86
Common,182,core,16.18
Common,183,cannon,12.55
Common,183,armor,12.55
Common,183,generator,1.87
Common,183,core,16.43
Common,184,cannon,12.75
Common,184,armor,12.75
Common,184,generator,1.88
Common,184,core,16.68
Common,185,cannon,12.95
Common,185,armor,12.95
Common,185,generator,1.89
Common,185,core,16.93
Common,186,cannon,13.15
Common,186,armor,13.15
Common,186,generator,1.9
Common,186,core,17.18
Common,187,cannon,13.35
Common,187,armor,13.35
Common,187,generator,1.91
Common,187,core,17.43
Common,188,cannon,13.55
Common,188,armor,13.55
Common,188,generator,1.92
Common,188,core,17.68
Common,189,cannon,13.75
Common,189,armor,13.75
Common,189,generator,1.93
Common,189,core,17.93
Common,190,cannon,13.95
Common,190,armor,13.95
Common,190,generator,1.94
Common,190,core,18.18
Common,191,cannon,14.15
Common,191,armor,14.15
Common,191,generator,1.95
Common,191,core,18.43
Common,192,cannon,14.35
Common,192,armor,14.35
Common,192,generator,1.96
Common,192,core,18.68
Common,193,cannon,14.55
Common,193,armor,14.55
Common,193,generator,1.97
Common,193,core,18.93
Common,194,cannon,14.75
Common,194,armor,14.75
Common,194,generator,1.98
Common,194,core,19.18
Common,195,cannon,14.95
Common,195,armor,14.95
Common,195,generator,1.99
Common,195,core,19.43
Common,196,cannon,15.15
Common,196,armor,15.15
Common,196,generator,2.0
Common,196,core,19.68
Common,197,cannon,15.35
Common,197,armor,15.35
Common,197,generator,2.01
Common,197,core,19.93
Common,198,cannon,15.55
Common,198,armor,15.55
Common,198,generator,2.02
Common,198,core,20.18
Common,199,cannon,15.75
Common,199,armor,15.75
Common,199,generator,2.03
Common,199,core,20.43
Common,200,cannon,15.95
Common,200,armor,15.95
Common,200,generator,2.04
Common,200,core,20.68
Common,201,cannon,16.15
Common,201,armor,16.15
Common,201,generator,2.05
Common,201,core,20.93
Common,202,cannon,16.35
Common,202,armor,16.35
Common,202,generator,2.06
Common,202,core,21.18
Common,203,cannon,16.55
Common,203,armor,16.55
Common,203,generator,2.07
Common,203,core,21.43
Common,204,cannon,16.75
Common,204,armor,16.75
Common,204,generator,2.08
Common,204,core,21.68
Common,205,cannon,16.95
Common,205,armor,16.95
Common,205,generator,2.09
Common,205,core,21.93
Common,206,cannon,17.15
Common,206,armor,17.15
Common,206,generator,2.1
Common,206,core,22.18
Common,207,cannon,17.35
Common,207,armor,17.35
Common,207,generator,2.11
Common,207,core,22.43
Common,208,cannon,17.55
Common,208,armor,17.55
Common,208,generator,2.12
Common,208,core,22.68
Common,209,cannon,17.75
Common,209,armor,17.75
Common,209,generator,2.13
Common,209,core,22.93
Common,210,cannon,17.95
Common,210,armor,17.95
Common,210,generator,2.14
Common,210,core,23.18
Common,211,cannon,18.15
Common,211,armor,18.15
Common,211,generator,2.15
Common,211,core,23.43
Common,212,cannon,18.35
Common,212,armor,18.35
Common,212,generator,2.16
Common,212,core,23.68
Common,213,cannon,18.55
Common,213,armor,18.55
Common,213,generator,2.17
Common,213,core,23.93
Common,214,cannon,18.75
Common,214,armor,18.75
Common,214,generator,2.18
Common,214,core,24.18
Common,215,cannon,18.95
Common,215,armor,18.95
Common,215,generator,2.19
Common,215,core,24.43
Common,216,cannon,19.15
Common,216,armor,19.15
Common,216,generator,2.2
Common,216,core,24.68
Common,217,cannon,19.35
Common,217,armor,19.35
Common,217,generator,2.21
Common,217,core,24.93
Common,218,cannon,19.55
Common,218,armor,19.55
Common,218,generator,2.22
Common,218,core,25.18
Common,219,cannon,19.75
Common,219,armor,19.75
Common,219,generator,2.23
Common,219,core,25.43
Common,220,cannon,19.95
Common,220,armor,19.95
Common,220,generator,2.24
Common,220,core,25.68
Common,221,cannon,20.15
Common,221,armor,20.15
Common,221,generator,2.25
Common,221,core,25.93
Common,222,cannon,20.35
Common,222,armor,20.35
Common,222,generator,2.26
Common,222,core,26.18
Common,223,cannon,20.55
Common,223,armor,20.55
Common,223,generator,2.27
Common,223,core,26.43
Common,224,cannon,20.75
Common,224,armor,20.75
Common,224,generator,2.28
Common,224,core,26.68
Common,225,cannon,20.95
Common,225,armor,20.95
Common,225,generator,2.29
Common,225,core,26.93
Common,226,cannon,21.15
Common,226,armor,21.15
Common,226,generator,2.3
Common,226,core,27.18
Common,227,cannon,21.35
Common,227,armor,21.35
Common,227,generator,2.31
Common,227,core,27.43
Common,228,cannon,21.55
Common,228,armor,21.55
Common,228,generator,2.32
Common,228,core,27.68
Common,229,cannon,21.75
Common,229,armor,21.75
Common,229,generator,2.33
Common,229,core,27.93
Common,230,cannon,21.95
Common,230,armor,21.95
Common,230,generator,2.34
Common,230,core,28.18
Common,231,cannon,22.15
Common,231,armor,22.15
Common,231,generator,2.35
Common,231,core,28.43
Common,232,cannon,22.35
Common,232,armor,22.35
Common,232,generator,2.36
Common,232,core,28.68
Common,233,cannon,22.55
Common,233,armor,22.55
Common,233,generator,2.37
Common,233,core,28.93
Common,234,cannon,22.75
Common,234,armor,22.75
Common,234,generator,2.38
Common,234,core,29.18
Common,235,cannon,22.95
Common,235,armor,22.95
Common,235,generator,2.39
Common,235,core,29.43
Common,236,cannon,23.15
Common,236,armor,23.15
Common,236,generator,2.4
Common,236,core,29.68
Common,237,cannon,23.35
Common,237,armor,23.35
Common,237,generator,2.41
Common,237,core,29.93
Common,238,cannon,23.55
Common,238,armor,23.55
Common,238,generator,2.42
Common,238,core,30.18
Common,239,cannon,23.75
Common,239,armor,23.75
Common,239,generator,2.43
Common,239,core,30.43
Common,240,cannon,23.95
Common,240,armor,23.95
Common,240,generator,2.44
Common,240,core,30.68
Common,241,cannon,24.15
Common,241,armor,24.15
Common,241,generator,2.45
Common,241,core,30.93
Common,242,cannon,24.35
Common,242,armor,24.35
Common,242,generator,2.46
Common,242,core,31.18
Common,243,cannon,24.55
Common,243,armor,24.55
Common,243,generator,2.47
Common,243,core,31.43
Common,244,cannon,24.75
Common,244,armor,24.75
Common,244,generator,2.48
Common,244,core,31.68
Common,245,cannon,24.95
Common,245,armor,24.95
Common,245,generator,2.49
Common,245,core,31.93
Common,246,cannon,25.15
Common,246,armor,25.15
Common,246,generator,2.5
Common,246,core,32.18
Common,247,cannon,25.35
Common,247,armor,25.35
Common,247,generator,2.51
Common,247,core,32.43
Common,248,cannon,25.55
Common,248,armor,25.55
Common,248,generator,2.52
Common,248,core,32.68
Common,249,cannon,25.75
Common,249,armor,25.75
Common,249,generator,2.53
Common,249,core,32.93
Common,250,cannon,25.95
Common,250,armor,25.95
Common,250,generator,2.54
Common,250,core,33.18
Common,251,cannon,26.15
Common,251,armor,26.15
Common,251,generator,2.55
Common,251,core,33.43
Common,252,cannon,26.35
Common,252,armor,26.35
Common,252,generator,2.56
Common,252,core,33.68
Common,253,cannon,26.55
Common,253,armor,26.55
Common,253,generator,2.57
Common,253,core,33.93
Common,254,cannon,26.75
Common,254,armor,26.75
Common,254,generator,2.58
Common,254,core,34.18
Common,255,cannon,26.95
Common,255,armor,26.95
Common,255,generator,2.59
Common,255,core,34.43
Common,256,cannon,27.15
Common,256,armor,27.15
Common,256,generator,2.6
Common,256,core,34.68
Common,257,cannon,27.35
Common,257,armor,27.35
Common,257,generator,2.61
Common,257,core,34.93
Common,258,cannon,27.55
Common,258,armor,27.55
Common,258,generator,2.62
Common,258,core,35.18
Common,259,cannon,27.75
Common,259,armor,27.75
Common,259,generator,2.63
Common,259,core,35.43
Common,260,cannon,27.95
Common,260,armor,27.95
Common,260,generator,2.64
Common,260,core,35.68
Common,261,cannon,28.15
Common,261,armor,28.15
Common,261,generator,2.65
Common,261,core,35.93
Common,262,cannon,28.35
Common,262,armor,28.35
Common,262,generator,2.66
Common,262,core,36.18
Common,263,cannon,28.55
Common,263,armor,28.55
Common,263,generator,2.67
Common,263,core,36.43
Common,264,cannon,28.75
Common,264,armor,28.75
Common,264,generator,2.68
Common,264,core,36.68
Common,265,cannon,28.95
Common,265,armor,28.95
Common,265,generator,2.69
Common,265,core,36.93
Common,266,cannon,29.15
Common,266,armor,29.15
Common,266,generator,2.7
Common,266,core,37.18
Common,267,cannon,29.35
Common,267,armor,29.35
Common,267,generator,2.71
Common,267,core,37.43
Common,268,cannon,29.55
Common,268,armor,29.55
Common,268,generator,2.72
Common,268,core,37.68
Common,269,cannon,29.75
Common,269,armor,29.75
Common,269,generator,2.73
Common,269,core,37.93
Common,270,cannon,29.95
Common,270,armor,29.95
Common,270,generator,2.74
Common,270,core,38.18
Common,271,cannon,30.15
Common,271,armor,30.15
Common,271,generator,2.75
Common,271,core,38.43
Common,272,cannon,30.35
Common,272,armor,30.35
Common,272,generator,2.76
Common,272,core,38.68
Common,273,cannon,30.55
Common,273,armor,30.55
Common,273,generator,2.77
Common,273,core,38.93
Common,274,cannon,30.75
Common,274,armor,30.75
Common,274,generator,2.78
Common,274,core,39.18
Common,275,cannon,30.95
Common,275,armor,30.95
Common,275,generator,2.79
Common,275,core,39.43
Common,276,cannon,31.15
Common,276,armor,31.15
Common,276,generator,2.8
Common,276,core,39.68
Common,277,cannon,31.35
Common,277,armor,31.35
Common,277,generator,2.81
Common,277,core,39.93
Common,278,cannon,31.55
Common,278,armor,31.55
Common,278,generator,2.82
Common,278,core,40.18
Common,279,cannon,31.75
Common,279,armor,31.75
Common,279,generator,2.83
Common,279,core,40.43
Common,280,cannon,31.95
Common,280,armor,31.95
Common,280,generator,2.84
Common,280,core,40.68
Common,281,cannon,32.15
Common,281,armor,32.15
Common,281,generator,2.85
Common,281,core,40.93
Common,282,cannon,32.35
Common,282,armor,32.35
Common,282,generator,2.86
Common,282,core,41.18
Common,283,cannon,32.55
Common,283,armor,32.55
Common,283,generator,2.87
Common,283,core,41.43
Common,284,cannon,32.75
Common,284,armor,32.75
Common,284,generator,2.88
Common,284,core,41.68
Common,285,cannon,32.95
Common,285,armor,32.95
Common,285,generator,2.89
Common,285,core,41.93
Common,286,cannon,33.15
Common,286,armor,33.15
Common,286,generator,2.9
Common,286,core,42.18
Common,287,cannon,33.35
Common,287,armor,33.35
Common,287,generator,2.91
Common,287,core,42.43
Common,288,cannon,33.55
Common,288,armor,33.55
Common,288,generator,2.92
Common,288,core,42.68
Common,289,cannon,33.75
Common,289,armor,33.75
Common,289,generator,2.93
Common,289,core,42.93
Common,290,cannon,33.95
Common,290,armor,33.95
Common,290,generator,2.94
Common,290,core,43.18
Common,291,cannon,34.15
Common,291,armor,34.15
Common,291,generator,2.95
Common,291,core,43.43
