level,cannon_additive_bonus,armor_additive_bonus,generator_additive_bonus,core_additive_bonus
66,0.37,0.37,0.127,1.22
67,0.382,0.382,0.13,1.25
68,0.394,0.394,0.133,1.28
69,0.406,0.406,0.136,1.31
70,0.418,0.418,0.139,1.34
71,0.43,0.43,0.142,1.37
72,0.442,0.442,0.145,1.4
73,0.454,0.454,0.148,1.43
74,0.466,0.466,0.151,1.46
75,0.478,0.478,0.154,1.49
76,0.49,0.49,0.157,1.52
77,0.502,0.502,0.16,1.55
78,0.514,0.514,0.163,1.58
79,0.526,0.526,0.166,1.61
80,0.538,0.538,0.169,1.64
81,0.568,0.568,0.173,1.69
82,0.598,0.598,0.177,1.74
83,0.628,0.628,0.181,1.79
84,0.658,0.658,0.185,1.84
85,0.688,0.688,0.189,1.89
86,0.718,0.718,0.193,1.94
87,0.748,0.748,0.197,1.99
88,0.778,0.778,0.201,2.04
89,0.808,0.808,0.205,2.09
90,0.838,0.838,0.209,2.14
91,0.868,0.868,0.213,2.19
92,0.898,0.898,0.217,2.24
93,0.928,0.928,0.221,2.29
94,0.958,0.958,0.225,2.34
95,0.988,0.988,0.229,2.39
96,1.018,1.018,0.233,2.44
97,1.048,1.048,0.237,2.49
98,1.078,1.078,0.241,2.54
99,1.108,1.108,0.245,2.59
100,1.138,1.138,0.249,2.64
101,1.208,1.208,0.254,2.72
102,1.278,1.278,0.259,2.8
103,1.348,1.348,0.264,2.88
104,1.418,1.418,0.269,2.96
105,1.488,1.488,0.274,3.04
106,1.558,1.558,0.279,3.12
107,1.628,1.628,0.284,3.2
108,1.698,1.698,0.289,3.28
109,1.768,1.768,0.294,3.36
110,1.838,1.838,0.299,3.44
111,1.908,1.908,0.304,3.52
112,1.978,1.978,0.309,3.6
113,2.048,2.048,0.314,3.68
114,2.118,2.118,0.319,3.76
115,2.188,2.188,0.324,3.84
116,2.258,2.258,0.329,3.92
117,2.328,2.328,0.334,4.0
118,2.398,2.398,0.339,4.08
119,2.468,2.468,0.344,4.16
120,2.538,2.538,0.349,4.24
121,2.638,2.638,0.355,4.36
122,2.738,2.738,0.361,4.48
123,2.838,2.838,0.367,4.6
124,2.938,2.938,0.373,4.72
125,3.038,3.038,0.379,4.84
126,3.138,3.138,0.385,4.96
127,3.238,3.238,0.391,5.08
128,3.338,3.338,0.397,5.2
129,3.438,3.438,0.403,5.32
130,3.538,3.538,0.409,5.44
131,3.638,3.638,0.415,5.56
132,3.738,3.738,0.421,5.68
133,3.838,3.838,0.427,5.8
134,3.938,3.938,0.433,5.92
135,4.038,4.038,0.439,6.04
136,4.138,4.138,0.445,6.16
137,4.238,4.238,0.451,6.28
138,4.338,4.338,0.457,6.4
139,4.438,4.438,0.463,6.52
140,4.538,4.538,0.469,6.64
141,4.658,4.658,0.477,6.79
142,4.778,4.778,0.485,6.94
143,4.898,4.898,0.493,7.09
144,5.018,5.018,0.501,7.24
145,5.138,5.138,0.509,7.39
146,5.258,5.258,0.517,7.54
147,5.378,5.378,0.525,7.69
148,5.498,5.498,0.533,7.84
149,5.618,5.618,0.541,7.99
150,5.738,5.738,0.549,8.14
151,5.858,5.858,0.557,8.29
152,5.978,5.978,0.565,8.44
153,6.098,6.098,0.573,8.59
154,6.218,6.218,0.581,8.74
155,6.338,6.338,0.589,8.89
156,6.458,6.458,0.597,9.04
157,6.578,6.578,0.605,9.19
158,6.698,6.698,0.613,9.34
159,6.818,6.818,0.621,9.49
160,6.938,6.938,0.629,9.64
161,7.138,7.138,0.639,9.89
162,7.338,7.338,0.649,10.14
163,7.538,7.538,0.659,10.39
164,7.738,7.738,0.669,10.64
165,7.938,7.938,0.679,10.89
166,8.138,8.138,0.689,11.14
167,8.338,8.338,0.699,11.39
168,8.538,8.538,0.709,11.64
169,8.738,8.738,0.719,11.89
170,8.938,8.938,0.729,12.14
171,9.138,9.138,0.739,12.39
172,9.338,9.338,0.749,12.64
173,9.538,9.538,0.759,12.89
174,9.738,9.738,0.769,13.14
175,9.938,9.938,0.779,13.39
176,10.138,10.138,0.789,13.64
177,10.338,10.338,0.799,13.89
178,10.538,10.538,0.809,14.14
179,10.738,10.738,0.819,14.39
180,10.938,10.938,0.829,14.64
181,11.138,11.138,0.839,14.89
182,11.338,11.338,0.849,15.14
183,11.538,11.538,0.859,15.39
184,11.738,11.738,0.869,15.64
185,11.938,11.938,0.879,15.89
186,12.138,12.138,0.889,16.14
187,12.338,12.338,0.899,16.39
188,12.538,12.538,0.909,16.64
189,12.738,12.738,0.919,16.89
190,12.938,12.938,0.929,17.14
191,13.138,13.138,0.939,17.39
192,13.338,13.338,0.949,17.64
193,13.538,13.538,0.959,17.89
194,13.738,13.738,0.969,18.14
195,13.938,13.938,0.979,18.39
196,14.138,14.138,0.989,18.64
197,14.338,14.338,0.999,18.89
198,14.538,14.538,1.009,19.14
199,14.738,14.738,1.019,19.39
200,14.938,14.938,1.029,19.64
201,15.138,15.138,1.039,19.89
202,15.338,15.338,1.049,20.14
203,15.538,15.538,1.059,20.39
204,15.738,15.738,1.069,20.64
205,15.938,15.938,1.079,20.89
206,16.138,16.138,1.089,21.14
207,16.338,16.338,1.099,21.39
208,16.538,16.538,1.109,21.64
209,16.738,16.738,1.119,21.89
210,16.938,16.938,1.129,22.14
211,17.138,17.138,1.139,22.39
212,17.338,17.338,1.149,22.64
213,17.538,17.538,1.159,22.89
214,17.738,17.738,1.169,23.14
215,17.938,17.938,1.179,23.39
216,18.138,18.138,1.189,23.64
217,18.338,18.338,1.199,23.89
218,18.538,18.538,1.209,24.14
219,18.738,18.738,1.219,24.39
220,18.938,18.938,1.229,24.64
221,19.138,19.138,1.239,24.89
222,19.338,19.338,1.249,25.14
223,19.538,19.538,1.259,25.39
224,19.738,19.738,1.269,25.64
225,19.938,19.938,1.279,25.89
226,20.138,20.138,1.289,26.14
227,20.338,20.338,1.299,26.39
228,20.538,20.538,1.309,26.64
229,20.738,20.738,1.319,26.89
230,20.938,20.938,1.329,27.14
231,21.138,21.138,1.339,27.39
232,21.338,21.338,1.349,27.64
233,21.538,21.538,1.359,27.89
234,21.738,21.738,1.369,28.14
235,21.938,21.938,1.379,28.39
236,22.138,22.138,1.389,28.64
237,22.338,22.338,1.399,28.89
238,22.538,22.538,1.409,29.14
239,22.738,22.738,1.419,29.39
240,22.938,22.938,1.429,29.64
241,23.138,23.138,1.439,29.89
242,23.338,23.338,1.449,30.14
243,23.538,23.538,1.459,30.39
244,23.738,23.738,1.469,30.64
245,23.938,23.938,1.479,30.89
246,24.138,24.138,1.489,31.14
247,24.338,24.338,1.499,31.39
248,24.538,24.538,1.509,31.64
249,24.738,24.738,1.519,31.89
250,24.938,24.938,1.529,32.14
251,25.138,25.138,1.539,32.39
252,25.338,25.338,1.549,32.64
253,25.538,25.538,1.559,32.89
254,25.738,25.738,1.569,33.14
255,25.938,25.938,1.579,33.39
256,26.138,26.138,1.589,33.64
257,26.338,26.338,1.599,33.89
258,26.538,26.538,1.609,34.14
259,26.738,26.738,1.619,34.39
260,26.938,26.938,1.629,34.64
261,27.138,27.138,1.639,34.89
262,27.338,27.338,1.649,35.14
263,27.538,27.538,1.659,35.39
264,27.738,27.738,1.669,35.64
265,27.938,27.938,1.679,35.89
266,28.138,28.138,1.689,36.14
267,28.338,28.338,1.699,36.39
268,28.538,28.538,1.709,36.64
269,28.738,28.738,1.719,36.89
270,28.938,28.938,1.729,37.14
271,29.138,29.138,1.739,37.39
272,29.338,29.338,1.749,37.64
273,29.538,29.538,1.759,37.89
274,29.738,29.738,1.769,38.14
275,29.938,29.938,1.779,38.39
276,30.138,30.138,1.789,38.64
277,30.338,30.338,1.799,38.89
278,30.538,30.538,1.809,39.14
279,30.738,30.738,1.819,39.39
280,30.938,30.938,1.829,39.64
281,31.138,31.138,1.839,39.89
282,31.338,31.338,1.849,40.14
283,31.538,31.538,1.859,40.39
284,31.738,31.738,1.869,40.64
285,31.938,31.938,1.879,40.89
286,32.138,32.138,1.889,41.14
287,32.338,32.338,1.899,41.39
288,32.538,32.538,1.909,41.64
289,32.738,32.738,1.919,41.89
290,32.938,32.938,1.929,42.14
291,33.138,33.138,1.939,42.39
292,33.338,33.338,1.949,42.64
293,33.538,33.538,1.959,42.89
294,33.738,33.738,1.969,43.14
295,33.938,33.938,1.979,43.39
296,34.138,34.138,1.989,43.64
297,34.338,34.338,1.999,43.89
298,34.538,34.538,2.009,44.14
299,34.738,34.738,2.019,44.39
300,34.938,34.938,2.029,44.64
