tier,coin_bonus,bc_name,bc_level,resolved_component,resolved_value_num,resolved_value_unit,resolved_value_kind,closure_status,curve_source_class,nearest_curve_level_lower,nearest_curve_level_upper,source_ref,resolution_note
16,25.2,ELS Reduction,15,absolute_chance_subtract,0.075,pp,absolute_subtract,resolved_exact_tier_value,repo_tier_exact,15,15,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
16,25.2,Knockback Resistance,50,knockback_multiplier,0.5,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,50,50,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
16,25.2,More Bosses,3,boss_interval_waves,7.0,waves,interval,resolved_exact_tier_value,repo_tier_exact,3,3,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
16,25.2,Orb Resistance,70,damage_multiplier,0.3,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,70,70,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
16,25.2,Plasma Cannon Resistance,40,damage_multiplier,0.6,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,40,40,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
16,25.2,Protector's Ultimate,20,cooldown,300.0,seconds,cooldown,resolved_exact_tier_value,repo_tier_exact,20,20,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
16,25.2,Protector's Ultimate,20,duration,120.0,seconds,duration,resolved_exact_tier_value,repo_tier_exact,20,20,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
16,25.2,Thorns Resistance,40,damage_multiplier,0.6,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,40,40,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
17,29.1,Armored Enemies,30,blocked_hits,30.0,hits,hits_blocked,resolved_exact_tier_value,repo_tier_exact,30,30,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
17,29.1,Death Ray Resistance,80,damage_multiplier,0.2,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,80,80,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
17,29.1,ELS Reduction,20,absolute_chance_subtract,0.1,pp,absolute_subtract,resolved_exact_tier_value,repo_tier_exact,20,20,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
17,29.1,Knockback Resistance,60,knockback_multiplier,0.4,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,60,60,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
17,29.1,More Bosses,3,boss_interval_waves,6.0,waves,interval,resolved_exact_tier_value,repo_tier_exact,3,3,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
17,29.1,Orb Resistance,80,damage_multiplier,0.2,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,80,80,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
17,29.1,Plasma Cannon Resistance,50,damage_multiplier,0.5,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,50,50,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
17,29.1,Protector's Ultimate,35,cooldown,300.0,seconds,cooldown,resolved_exact_tier_value,repo_tier_exact,35,35,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
17,29.1,Protector's Ultimate,35,duration,150.0,seconds,duration,resolved_exact_tier_value,repo_tier_exact,35,35,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
17,29.1,Thorns Resistance,50,damage_multiplier,0.5,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,50,50,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
18,33.0,Armored Enemies,40,blocked_hits,40.0,hits,hits_blocked,resolved_exact_tier_value,repo_tier_exact,40,40,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
18,33.0,Death Ray Resistance,90,damage_multiplier,0.1,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,90,90,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
18,33.0,ELS Reduction,25,absolute_chance_subtract,0.125,pp,absolute_subtract,resolved_exact_tier_value,repo_tier_exact,25,25,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
18,33.0,Knockback Resistance,70,knockback_multiplier,0.3,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,70,70,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
18,33.0,More Bosses,5,boss_interval_waves,5.0,waves,interval,resolved_exact_tier_value,repo_tier_exact,5,5,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
18,33.0,Orb Resistance,90,damage_multiplier,0.1,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,90,90,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
18,33.0,Plasma Cannon Resistance,60,damage_multiplier,0.4,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,60,60,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
18,33.0,Protector's Ultimate,50,cooldown,300.0,seconds,cooldown,resolved_exact_tier_value,repo_tier_exact,50,50,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
18,33.0,Protector's Ultimate,50,duration,210.0,seconds,duration,resolved_exact_tier_value,repo_tier_exact,50,50,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
18,33.0,Thorns Resistance,60,damage_multiplier,0.4,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,60,60,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
19,40.0,Armored Enemies,50,blocked_hits,50.0,hits,hits_blocked,resolved_exact_tier_value,repo_tier_exact,50,50,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
19,40.0,Death Ray Resistance,95,damage_multiplier,0.05,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,95,95,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
19,40.0,ELS Reduction,30,absolute_chance_subtract,0.15,pp,absolute_subtract,resolved_exact_tier_value,repo_tier_exact,30,30,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
19,40.0,Knockback Resistance,80,knockback_multiplier,0.2,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,80,80,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
19,40.0,More Bosses,5,boss_interval_waves,5.0,waves,interval,resolved_exact_tier_value,repo_tier_exact,5,5,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
19,40.0,Orb Resistance,95,damage_multiplier,0.05,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,95,95,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
19,40.0,Plasma Cannon Resistance,70,damage_multiplier,0.3,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,70,70,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
19,40.0,Protector's Ultimate,65,cooldown,300.0,seconds,cooldown,resolved_exact_tier_value,repo_tier_exact,65,65,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
19,40.0,Protector's Ultimate,65,duration,120.0,seconds,duration,resolved_exact_tier_value,repo_tier_exact,65,65,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
19,40.0,Thorns Resistance,70,damage_multiplier,0.3,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,70,70,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
20,48.0,Armored Enemies,60,blocked_hits,60.0,hits,hits_blocked,resolved_exact_tier_value,repo_tier_exact,60,60,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
20,48.0,Death Ray Resistance,95,damage_multiplier,0.05,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,95,95,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
20,48.0,ELS Reduction,35,absolute_chance_subtract,0.175,pp,absolute_subtract,resolved_exact_tier_value,repo_tier_exact,35,35,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
20,48.0,Knockback Resistance,90,knockback_multiplier,0.1,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,90,90,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
20,48.0,More Bosses,5,boss_interval_waves,5.0,waves,interval,resolved_exact_tier_value,repo_tier_exact,5,5,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
20,48.0,Orb Resistance,95,damage_multiplier,0.05,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,95,95,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
20,48.0,Plasma Cannon Resistance,80,damage_multiplier,0.2,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,80,80,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
20,48.0,Protector's Ultimate,80,cooldown,300.0,seconds,cooldown,resolved_exact_tier_value,repo_tier_exact,80,80,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
20,48.0,Protector's Ultimate,80,duration,150.0,seconds,duration,resolved_exact_tier_value,repo_tier_exact,80,80,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
20,48.0,Thorns Resistance,80,damage_multiplier,0.2,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,80,80,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Armored Enemies,70,blocked_hits,70.0,hits,hits_blocked,resolved_exact_tier_value,repo_tier_exact,70,70,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Boss Ultimate,35,overheal_pct,0.35,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,35,35,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Death Ray Resistance,95,damage_multiplier,0.05,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,95,95,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,ELS Reduction,40,absolute_chance_subtract,0.2,pp,absolute_subtract,resolved_exact_tier_value,repo_tier_exact,40,40,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Fast's Ultimate,50,nearby_enemies,5.0,count,count,resolved_exact_tier_value,repo_tier_exact,50,50,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Knockback Resistance,95,knockback_multiplier,0.05,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,95,95,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Mass Enforcement,1,mass_increase_per_wave_alive,0.02,ratio,multiplier,resolved_exact_tier_value,wiki_public_exact,1,1,internalized_source_snapshot,Exact value resolved from wiki public note: Mass Enforcement is 2% at Lvl 1.
21,60.0,More Bosses,5,boss_interval_waves,5.0,waves,interval,resolved_exact_tier_value,repo_tier_exact,5,5,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Orb Resistance,95,damage_multiplier,0.05,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,95,95,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Plasma Cannon Resistance,90,damage_multiplier,0.1,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,90,90,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Protector's Ultimate,95,cooldown,300.0,seconds,cooldown,resolved_exact_tier_value,repo_tier_exact,95,95,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Protector's Ultimate,95,duration,210.0,seconds,duration,resolved_exact_tier_value,repo_tier_exact,95,95,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Ray Ultimate,65,shoot_speed_bonus,1.3,ratio,bonus_over_base,resolved_exact_tier_value,repo_tier_exact,65,65,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Scatter Ultimate,65,children_health_bonus,1.3,ratio,bonus_over_base,resolved_exact_tier_value,repo_tier_exact,65,65,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Tank's Ultimate,80,cooldown,300.0,seconds,cooldown,resolved_exact_tier_value,repo_tier_exact,80,80,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Tank's Ultimate,80,duration,240.0,seconds,duration,resolved_exact_tier_value,repo_tier_exact,80,80,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Thorns Resistance,90,damage_multiplier,0.1,ratio,multiplier,resolved_exact_tier_value,repo_tier_exact,90,90,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
21,60.0,Vampire Ultimate,65,drain_speed_bonus,1.3,ratio,bonus_over_base,resolved_exact_tier_value,repo_tier_exact,65,65,internalized_source_snapshot,Exact value resolved from repo tier battle-condition table.
