uw_name,track_name,level_index,value,cost,source_ref,notes,provenance
Chrono Field,Duration,2,7.0,14,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,3,8.0,23,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,4,9.0,32,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,5,10.0,41,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,6,11.0,50,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,7,12.0,59,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,8,13.0,68,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,9,14.0,77,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,10,15.0,86,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,11,16.0,95,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,12,17.0,104,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,13,18.0,113,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,14,19.0,122,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,15,20.0,131,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,16,21.0,140,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,17,22.0,149,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,18,23.0,158,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,19,24.0,167,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,20,25.0,176,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,21,26.0,185,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,22,27.0,194,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,23,28.0,203,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,24,29.0,212,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,25,30.0,221,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,26,31.0,230,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,27,32.0,239,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,28,33.0,248,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,29,34.0,257,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,30,35.0,266,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,31,36.0,275,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,32,37.0,284,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,33,38.0,293,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,34,39.0,302,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Duration,35,40.0,311,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Slow,0,20.0,0,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,1,25.0,15,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,2,30.0,25,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,3,35.0,40,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,4,40.0,60,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,5,45.0,120,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,6,50.0,150,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,7,55.0,200,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,8,60.0,300,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,9,65.0,450,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,10,70.0,650,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Slow,11,75.0,900,internalized_source_snapshot,percent,wiki_verified_v2
Chrono Field,Cooldown,0,180.0,0,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,1,170.0,10,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,2,160.0,31,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,3,150.0,52,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,4,140.0,73,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,5,130.0,94,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,6,120.0,115,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,7,110.0,136,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,8,100.0,157,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,9,90.0,178,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,10,80.0,199,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,11,70.0,220,internalized_source_snapshot,seconds,wiki_verified_v2
Chrono Field,Cooldown,12,60.0,241,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Damage,0,2.0,0,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,1,3.0,5,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,2,5.0,11,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,3,9.0,17,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,4,14.0,23,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,5,22.0,29,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,6,32.0,35,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,7,46.0,41,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,8,63.0,47,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,9,85.0,53,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,10,113.0,61,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,11,148.0,71,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,12,191.0,84,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,13,244.0,100,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,14,309.0,120,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,15,387.0,144,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,16,482.0,174,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,17,596.0,210,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,18,723.0,254,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,19,877.0,308,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,20,1064.0,374,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,21,1290.0,452,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,22,1569.0,558,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,23,1916.0,694,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,24,2356.0,880,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,25,2919.0,1126,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,26,3637.0,1432,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,27,4544.0,1813,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,28,5678.0,2269,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,29,7078.0,2800,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Damage,30,9119.0,3406,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Effect Wave Quantity,0,1.0,0,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Effect Wave Quantity,1,2.0,200,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Effect Wave Quantity,2,3.0,500,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Effect Wave Quantity,3,4.0,850,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Effect Wave Quantity,4,5.0,1400,internalized_source_snapshot,,wiki_verified_v2
Death Wave,Cooldown,0,300.0,0,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,1,290.0,8,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,2,280.0,24,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,3,270.0,40,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,4,260.0,56,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,5,250.0,72,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,6,240.0,88,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,7,230.0,104,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,8,220.0,120,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,9,210.0,136,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,10,200.0,152,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,11,190.0,168,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,12,180.0,184,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,13,170.0,200,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,14,160.0,216,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,15,150.0,232,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,16,140.0,248,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,17,130.0,264,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,18,120.0,280,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,19,110.0,346,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,20,100.0,512,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,21,90.0,688,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,22,80.0,874,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,23,70.0,1070,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,24,60.0,1276,internalized_source_snapshot,seconds,wiki_verified_v2
Death Wave,Cooldown,25,50.0,1492,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Multiplier,0,5.0,0,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,1,5.8,5,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,2,6.6,13,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,3,7.4,22,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,4,8.2,32,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,5,9.0,43,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,6,9.8,55,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,7,10.6,68,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,8,11.4,82,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,9,12.2,98,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,10,13.0,116,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,11,13.8,138,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,12,14.6,162,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,13,15.4,250,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,14,16.2,350,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,15,17.0,500,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,16,17.8,700,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,17,18.6,950,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,18,19.4,1250,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,19,20.2,1600,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Multiplier,20,21.0,2000,internalized_source_snapshot,x,wiki_verified_v2
Golden Tower,Duration,0,15.0,0,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,1,16.0,5,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,2,17.0,14,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,3,18.0,23,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,4,19.0,32,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,5,20.0,41,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,6,21.0,50,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,7,22.0,59,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,8,23.0,68,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,9,24.0,77,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,10,25.0,87,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,11,26.0,98,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,12,27.0,110,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,13,28.0,123,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,14,29.0,137,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,15,30.0,152,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,16,31.0,168,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,17,32.0,185,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,18,33.0,203,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,19,34.0,222,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,20,35.0,242,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,21,36.0,263,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,22,37.0,285,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,23,38.0,308,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,24,39.0,332,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,25,40.0,356,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,26,41.0,380,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,27,42.0,404,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,28,43.0,428,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,29,44.0,452,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,30,45.0,476,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,31,46.0,530,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,32,47.0,614,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,33,48.0,728,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,34,49.0,872,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,35,50.0,1046,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,36,51.0,1250,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,37,52.0,1484,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Duration,38,53.0,1748,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,0,300.0,0,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,1,290.0,10,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,2,280.0,28,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,3,270.0,46,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,4,260.0,64,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,5,250.0,82,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,6,240.0,100,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,7,230.0,118,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,8,220.0,136,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,9,210.0,154,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,10,200.0,172,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,11,190.0,190,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,12,180.0,208,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,13,170.0,226,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,14,160.0,244,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,15,150.0,262,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,16,140.0,300,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,17,130.0,368,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,18,120.0,476,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,19,110.0,644,internalized_source_snapshot,seconds,wiki_verified_v2
Golden Tower,Cooldown,20,100.0,872,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Damage,0,10.0,0,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,1,11.0,5,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,2,13.0,11,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,3,16.0,17,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,4,20.0,23,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,5,26.0,29,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,6,34.0,35,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,7,43.0,41,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,8,55.0,47,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,9,69.0,53,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,10,87.0,61,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,11,108.0,71,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,12,134.0,84,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,13,164.0,100,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,14,200.0,120,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,15,243.0,144,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,16,293.0,174,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,17,352.0,210,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,18,421.0,254,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,19,502.0,308,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,20,597.0,374,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,21,708.0,454,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,22,838.0,540,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,23,989.0,632,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,24,1165.0,730,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,25,1370.0,834,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,26,1608.0,944,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,27,1886.0,1060,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,28,2209.0,1182,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,29,2585.0,1312,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Damage,30,3021.0,1448,internalized_source_snapshot,x,wiki_verified_v2
Inner Land Mines,Quantity,0,3.0,0,internalized_source_snapshot,count,wiki_verified_v2
Inner Land Mines,Quantity,1,4.0,50,internalized_source_snapshot,count,wiki_verified_v2
Inner Land Mines,Quantity,2,5.0,125,internalized_source_snapshot,count,wiki_verified_v2
Inner Land Mines,Quantity,3,6.0,250,internalized_source_snapshot,count,wiki_verified_v2
Inner Land Mines,Cooldown,0,200.0,0,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,1,190.0,8,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,2,180.0,24,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,3,170.0,40,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,4,160.0,56,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,5,150.0,72,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,6,140.0,88,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,7,130.0,104,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,8,120.0,120,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,9,110.0,136,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,10,100.0,152,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,11,90.0,168,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,12,80.0,184,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,13,70.0,200,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,14,60.0,216,internalized_source_snapshot,seconds,wiki_verified_v2
Inner Land Mines,Cooldown,15,50.0,232,internalized_source_snapshot,seconds,wiki_verified_v2
Black Hole,Size,0,30.0,0,internalized_source_snapshot,meters,wiki_verified_v2
Black Hole,Size,1,32.0,5,internalized_source_snapshot,meters,wiki_verified_v2
Black Hole,Size,2,34.0,12,internalized_source_snapshot,meters,wiki_verified_v2
Black Hole,Size,3,36.0,19,internalized_source_snapshot,meters,wiki_verified_v2
Black Hole,Size,4,38.0,26,internalized_source_snapshot,meters,wiki_verified_v2
Black Hole,Size,5,40.0,34,internalized_source_snapshot,meters,wiki_verified_v2
Black Hole,Size,6,42.0,43,internalized_source_snapshot,meters,wiki_verified_v2
Black Hole,Size,7,44.0,53,internalized_source_snapshot,meters,wiki_verified_v2
