formula_id,domain,canonical_formula_surface,materialized_surface,representation_preference,generator_kind,level_variable,metric,unit,start_level,end_level,level_step,base_value,delta_per_step,expression,proof_basis,materialized_view_status
wiki_lab_coins_wave_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_coins_wave_value,kb/labs/derived/materialized/wiki-lab-coins-wave.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,99,1,1.02,0.02,value = 1.02 + ((level - 1.0) / 1.0) * 0.02,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_damage_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_damage_value,kb/labs/derived/materialized/wiki-lab-damage.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,100,1,1.02,0.02,value = 1.02 + ((level - 1.0) / 1.0) * 0.02,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_defense_percent_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_defense_percent_value,kb/labs/derived/materialized/wiki-lab-defense-percent.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,50,1,0.2,0.2,value = 0.2 + ((level - 1.0) / 1.0) * 0.2,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_enemy_attack_level_skip_value_percent_points,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_enemy_attack_level_skip_value_percent_points,kb/labs/derived/materialized/wiki-lab-enemy-attack-level-skip.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value_percent_points,percent_or_percentage_points,1,20,1,0.1,0.1,value = 0.1 + ((level - 1.0) / 1.0) * 0.1,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_enemy_health_level_skip_value_percent_points,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_enemy_health_level_skip_value_percent_points,kb/labs/derived/materialized/wiki-lab-enemy-health-level-skip.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value_percent_points,percent_or_percentage_points,1,20,1,0.1,0.1,value = 0.1 + ((level - 1.0) / 1.0) * 0.1,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_health_regen_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_health_regen_value,kb/labs/derived/materialized/wiki-lab-health-regen.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,100,1,1.03,0.03,value = 1.03 + ((level - 1.0) / 1.0) * 0.03,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_health_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_health_value,kb/labs/derived/materialized/wiki-lab-health.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,100,1,1.03,0.03,value = 1.03 + ((level - 1.0) / 1.0) * 0.03,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_labs_speed_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_labs_speed_value,kb/labs/derived/materialized/wiki-lab-labs-speed.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,99,1,1.02,0.02,value = 1.02 + ((level - 1.0) / 1.0) * 0.02,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_range_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_range_value,kb/labs/derived/materialized/wiki-lab-range.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,80,1,1.02,0.02,value = 1.02 + ((level - 1.0) / 1.0) * 0.02,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_recovery_package_chance_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_recovery_package_chance_value,kb/labs/derived/materialized/wiki-lab-recovery-package-chance.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,20,1,0.2,0.2,value = 0.2 + ((level - 1.0) / 1.0) * 0.2,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_lab_waves_required_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_lab_waves_required_value,kb/labs/derived/materialized/wiki-lab-waves-required.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,100,1,-1.0,-1.0,value = -1.0 + ((level - 1.0) / 1.0) * -1.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_wall_lab_wall_health_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_wall_lab_wall_health_value,kb/labs/derived/materialized/wiki-wall-lab-wall-health.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,50,1,2.0,2.0,value = 2.0 + ((level - 1.0) / 1.0) * 2.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_wall_lab_wall_regen_value,labs,kb/formulas/tables/canonical-formula-registry.csv#wiki_wall_lab_wall_regen_value,kb/labs/derived/materialized/wiki-wall-lab-wall-regen.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value,raw_numeric,1,30,1,10.0,10.0,value = 10.0 + ((level - 1.0) / 1.0) * 10.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
black_hole_basic_upgrades_duration_s,ultimate-weapons,kb/formulas/tables/canonical-formula-registry.csv#black_hole_basic_upgrades_duration_s,kb/ultimate-weapons/derived/materialized/black-hole-basic-upgrades.csv,formula_first,exact_linear_generator_from_row_verified_table,level_index,duration_s,seconds,0,23,1,15.0,1.0,value = 15.0 + ((level_index - 0.0) / 1.0) * 1.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
chrono_field_basic_upgrades_duration_s,ultimate-weapons,kb/formulas/tables/canonical-formula-registry.csv#chrono_field_basic_upgrades_duration_s,kb/ultimate-weapons/derived/materialized/chrono-field-basic-upgrades.csv,formula_first,exact_linear_generator_from_row_verified_table,level_index,duration_s,seconds,0,35,1,5.0,1.0,value = 5.0 + ((level_index - 0.0) / 1.0) * 1.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
golden_tower_basic_upgrades_duration_s,ultimate-weapons,kb/formulas/tables/canonical-formula-registry.csv#golden_tower_basic_upgrades_duration_s,kb/ultimate-weapons/derived/materialized/golden-tower-basic-upgrades.csv,formula_first,exact_linear_generator_from_row_verified_table,level_index,duration_s,seconds,0,38,1,15.0,1.0,value = 15.0 + ((level_index - 0.0) / 1.0) * 1.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
spotlight_basic_upgrades_extended_angle_deg,ultimate-weapons,kb/formulas/tables/canonical-formula-registry.csv#spotlight_basic_upgrades_extended_angle_deg,kb/ultimate-weapons/derived/materialized/spotlight-basic-upgrades-extended.csv,formula_first,exact_linear_generator_from_row_verified_table,bonus_level_index,angle_deg,raw_numeric,0,60,1,30.0,1.0,value = 30.0 + ((bonus_level_index - 0.0) / 1.0) * 1.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_death_wave_cell_bonus_levels_full_value_multiplier,ultimate-weapons,kb/formulas/tables/canonical-formula-registry.csv#wiki_death_wave_cell_bonus_levels_full_value_multiplier,kb/ultimate-weapons/derived/materialized/wiki-death-wave-cell-bonus-levels-full.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value_multiplier,multiplier,1,20,1,1.1,0.1,value = 1.1 + ((level - 1.0) / 1.0) * 0.1,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_death_wave_coin_bonus_levels_full_value_multiplier,ultimate-weapons,kb/formulas/tables/canonical-formula-registry.csv#wiki_death_wave_coin_bonus_levels_full_value_multiplier,kb/ultimate-weapons/derived/materialized/wiki-death-wave-coin-bonus-levels-full.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value_multiplier,multiplier,1,20,1,1.55,0.05,value = 1.55 + ((level - 1.0) / 1.0) * 0.05,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_death_wave_health_levels_full_value_pct_of_base_health,ultimate-weapons,kb/formulas/tables/canonical-formula-registry.csv#wiki_death_wave_health_levels_full_value_pct_of_base_health,kb/ultimate-weapons/derived/materialized/wiki-death-wave-health-levels-full.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value_pct_of_base_health,percent_or_percentage_points,1,30,1,525.0,25.0,value = 525.0 + ((level - 1.0) / 1.0) * 25.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_verified_black_hole_coin_bonus_levels_full_value_multiplier,ultimate-weapons,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_black_hole_coin_bonus_levels_full_value_multiplier,kb/ultimate-weapons/derived/materialized/wiki-verified-black-hole-coin-bonus-levels-full.csv,formula_first,exact_linear_generator_from_row_verified_table,level,value_multiplier,multiplier,1,20,1,1.5,0.5,value = 1.5 + ((level - 1.0) / 1.0) * 0.5,exactly reproduced from row-verified table,moved_to_derived_materialized_view
wiki_verified_spotlight_missiles_lab_full_frequency_seconds,ultimate-weapons,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_spotlight_missiles_lab_full_frequency_seconds,kb/ultimate-weapons/derived/materialized/wiki-verified-spotlight-missiles-lab-full.csv,formula_first,exact_linear_generator_from_row_verified_table,level,frequency_seconds,seconds,1,18,1,19.0,-1.0,value = 19.0 + ((level - 1.0) / 1.0) * -1.0,exactly reproduced from row-verified table,moved_to_derived_materialized_view
enh_attack_speed_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_attack_speed_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-attack-speed.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,75,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_cash_bonus_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_cash_bonus_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-cash-bonus.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,400,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_cells_kill_bonus_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_cells_kill_bonus_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-cells-kill-bonus.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,200,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_coin_bonus_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_coin_bonus_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-coin-bonus.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,200,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_damage_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_damage_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-damage.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,400,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_def_abs_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_def_abs_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-defense-absolute.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,400,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_enemy_level_skips_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_enemy_level_skips_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-enemy-level-skips.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,60,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_free_upgrades_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_free_upgrades_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-free-upgrades.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,100,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_health_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_health_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-health.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,400,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_health_regen_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_health_regen_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-health-regen.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,400,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_land_mine_damage_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_land_mine_damage_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-land-mine-damage.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,400,1,1.0,0.06,value = 1.0 + ((level - 0) / 1) * 0.06,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_orb_size_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_orb_size_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-orb-size.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,200,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_packages_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_packages_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-packages.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,300,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
enh_wall_health_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#enh_wall_health_multiplier,kb/workshop/derived/materialized/wiki-verified-enhancement-wall-health.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,multiplier,multiplier,0,400,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_attack_speed_value,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_attack_speed_value,kb/workshop/derived/materialized/wiki-verified-core-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,attack_speed,raw_numeric,0,99,1,1.0,0.05,value = 1.0 + ((level - 0) / 1) * 0.05,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_cash_bonus_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_cash_bonus_multiplier,kb/workshop/derived/materialized/wiki-verified-cash-bonus-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,cash_bonus,multiplier,0,149,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_coins_kill_bonus_multiplier,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_coins_kill_bonus_multiplier,kb/workshop/derived/materialized/wiki-verified-coins-kill-bonus-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,coins_kill_bonus,multiplier,0,149,1,1.0,0.01,value = 1.0 + ((level - 0) / 1) * 0.01,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_coins_wave_value,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_coins_wave_value,kb/workshop/derived/materialized/wiki-verified-coins-wave-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,coins_wave,count,0,149,1,1.0,1.0,value = 1.0 + ((level - 0) / 1) * 1.0,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_death_defy_pct,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_death_defy_pct,kb/workshop/derived/materialized/wiki-verified-death-defy-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,death_defy_pct,percent_or_percentage_points,0,75,1,0.0,0.4,value = 0.0 + ((level - 0) / 1) * 0.4,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_enemy_skip_pct,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_enemy_skip_pct,kb/workshop/derived/materialized/wiki-verified-core-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,enemy_skip_pct,percent_or_percentage_points,0,699,1,0.05,0.05,value = 0.05 + ((level - 0) / 1) * 0.05,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_land_mine_chance_pct,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_land_mine_chance_pct,kb/workshop/derived/materialized/wiki-verified-land-mine-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,land_mine_chance_pct,percent_or_percentage_points,0,50,1,0.0,0.6,value = 0.0 + ((level - 0) / 1) * 0.6,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_land_mine_damage_pct,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_land_mine_damage_pct,kb/workshop/derived/materialized/wiki-verified-land-mine-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,land_mine_damage_pct,percent_or_percentage_points,0,200,1,100.0,10.0,value = 100.0 + ((level - 0) / 1) * 10.0,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_land_mine_radius,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_land_mine_radius,kb/workshop/derived/materialized/wiki-verified-land-mine-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,land_mine_radius,raw_numeric,0,50,1,0.5,0.02,value = 0.5 + ((level - 0) / 1) * 0.02,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_max_recovery_x,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_max_recovery_x,kb/workshop/derived/materialized/wiki-verified-recovery-packages-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,max_recovery_x,multiplier,0,500,1,1.0,0.031,value = 1.0 + ((level - 0) / 1) * 0.031,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_orb_speed_rpm,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_orb_speed_rpm,kb/workshop/derived/materialized/wiki-verified-orbs-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,orb_speed_rpm,rpm,0,38,1,0.4,0.15,value = 0.4 + ((level - 0) / 1) * 0.15,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_package_chance_pct,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_package_chance_pct,kb/workshop/derived/materialized/wiki-verified-recovery-packages-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,package_chance_pct,percent_or_percentage_points,0,60,1,6.0,0.4,value = 6.0 + ((level - 0) / 1) * 0.4,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_range_m,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_range_m,kb/workshop/derived/materialized/wiki-verified-range-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,range_m,meters,0,79,1,30.0,0.5,value = 30.0 + ((level - 0) / 1) * 0.5,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_recovery_amount_pct,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_recovery_amount_pct,kb/workshop/derived/materialized/wiki-verified-recovery-packages-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,recovery_amount_pct,percent_or_percentage_points,0,300,1,14.0,0.4,value = 14.0 + ((level - 0) / 1) * 0.4,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_shockwave_frequency_s,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_shockwave_frequency_s,kb/workshop/derived/materialized/wiki-verified-shockwave-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,shockwave_frequency_s,seconds,0,40,1,20.0,-0.15,value = 20.0 + ((level - 0) / 1) * -0.15,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_shockwave_size,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_shockwave_size,kb/workshop/derived/materialized/wiki-verified-shockwave-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,shockwave_size,raw_numeric,0,35,1,0.6,0.05,value = 0.6 + ((level - 0) / 1) * 0.05,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_thorns_pct,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_thorns_pct,kb/workshop/derived/materialized/wiki-verified-thorn-damage-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,thorns_pct,percent_or_percentage_points,0,99,1,0.0,1.0,value = 0.0 + ((level - 0) / 1) * 1.0,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
workshop_wall_health_pct,workshop,kb/formulas/tables/canonical-formula-registry.csv#workshop_wall_health_pct,kb/workshop/derived/materialized/wiki-verified-wall-workshop-summary.csv,formula_first,exact_linear_generator_from_row_verified_summary,level,wall_health_pct,percent_or_percentage_points,0,1800,1,20.0,0.1,value = 20.0 + ((level - 0) / 1) * 0.1,exactly reproduced from row-verified summary surface,moved_to_derived_materialized_view
wiki_verified_amplify_bot_duration_seconds,bots,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_amplify_bot_duration_seconds,,formula_first,exact_linear_generator_from_live_wiki_rule,level,duration_seconds,seconds,0,30,1,20.0,0.5,value = 20.0 + level * 0.5,"live wiki page states starts at 20 seconds, 30 levels, +0.5 seconds/level",not_materialized_not_needed
wiki_verified_amplify_bot_cooldown_seconds,bots,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_amplify_bot_cooldown_seconds,,formula_first,exact_linear_generator_from_live_wiki_rule,level,cooldown_seconds,seconds,0,15,1,120.0,-3.0,value = 120.0 + level * -3.0,"live wiki page states starts at 120 seconds, 15 levels, -3 seconds/level",not_materialized_not_needed
wiki_verified_amplify_bot_bonus_multiplier,bots,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_amplify_bot_bonus_multiplier,,formula_first,exact_linear_generator_from_live_wiki_rule,level,bonus_multiplier,multiplier,0,30,1,3.5,0.4,value = 3.5 + level * 0.4,"live wiki page states starts at x3.50, 30 levels, +0.4/level",not_materialized_not_needed
