raw_lab_name,category_wiki,category_ui,category_detail,source_basis,mapping_confidence,notes
Golden Tower Bonus,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Golden Tower Duration,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Chain Lightning Shock,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Shock Chance,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Shock Multiplier,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Death Wave Health,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Death Wave Coin Bonus,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Inner Mine Blast Radius,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Inner Mine Rotation Speed,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Chrono Field Range,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Missile Amplifier,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Missile Barrage,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Missile Barrage Quantity,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Inner Mine Stun,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Black Hole Damage,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Extra Black Hole,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Black Hole Coin Bonus,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Spotlight Coin Bonus,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Spotlight Missiles,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Black Hole Disable Ranged Enemies,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Recharge Missile Barrage,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Swamp Rend,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Swamp Rend - Additional Enemies,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Chain Thunder,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Lightning Amplifier - Scatter,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Death Wave Cells Bonus,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Death Wave Damage Amplifier,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Death Wave Armor Stripping,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Inner Land Mine - Chrono Jump,ultimate_weapon_research,ultimate_weapons,ultimate_weapon,ids_exact_name + wiki_category_model,high,
Second Wind Blast,card_research,cards,card,ids_exact_name + wiki_category_model,high,
Double Death Ray,card_research,cards,card,ids_exact_name + wiki_category_model,high,
Extra Orb Adjuster,card_research,cards,card,ids_exact_name + wiki_category_model,high,
Extra Extra Orbs,card_research,cards,card,ids_exact_name + wiki_category_model,high,
Energy Shield Extra Hit,card_research,cards,card,ids_exact_name + wiki_category_model,high,
Super Tower Bonus,card_research,cards,card,ids_exact_name + wiki_category_model,high,
Recharge Second Wind,card_research,cards,card,ids_exact_name + wiki_category_model,high,
Recharge Demon Mode,card_research,cards,card,ids_exact_name + wiki_category_model,high,
Recharge Nuke,card_research,cards,card,ids_exact_name + wiki_category_model,high,
Unlock Perks,perk_research,perks,perk,ids_exact_name + wiki_category_model,high,
Waves Required,perk_research,perks,perk,ids_exact_name + wiki_category_model,high,
Auto Pick Perks,perk_research,perks,perk,ids_exact_name + wiki_category_model,high,
Standard Perks Bonus,perk_research,perks,perk,ids_exact_name + wiki_category_model,high,
Perk Option Quantity,perk_research,perks,perk,ids_exact_name + wiki_category_model,high,
First Perk Choice,perk_research,perks,perk,ids_exact_name + wiki_category_model,high,
Ban Perks,perk_research,perks,perk,ids_exact_name + wiki_category_model,high,
Improve Trade-off Perks,perk_research,perks,perk,ids_exact_name + wiki_category_model,high,
Auto Pick Ranking,perk_research,perks,perk,ids_exact_name + wiki_category_model,high,
Flame Bot - Cooldown,bot_research,bots,bot,ids_exact_name + wiki_category_model,high,
Thunder Bot - Cooldown,bot_research,bots,bot,ids_exact_name + wiki_category_model,high,
Gold Bot - Cooldown,bot_research,bots,bot,ids_exact_name + wiki_category_model,high,
Amp Bot - Cooldown,bot_research,bots,bot,ids_exact_name + wiki_category_model,high,
Bot Bot - Cooldown,bot_research,bots,bot,ids_exact_name + v28_bot_lab_source,high,
Flame Bot - Burn Stack,bot_research,bots,bot,ids_exact_name + wiki_category_model,high,
Thunder Bot - Linger Time,bot_research,bots,bot,ids_exact_name + wiki_category_model,high,
Gold Bot - Duration,bot_research,bots,bot,ids_exact_name + wiki_category_model,high,
Amp Bot - Duration,bot_research,bots,bot,ids_exact_name + wiki_category_model,high,
Bot Bot - Duration,bot_research,bots,bot,ids_exact_name + v28_bot_lab_source,high,
Common Enemy Health,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Common Enemy Attack,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Fast Enemy Health,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Fast Enemy Attack,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Fast Enemy Speed,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Tank Enemy Health,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Tank Enemy Attack,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Ranged Enemy Health,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Ranged Enemy Attack,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Boss Health,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Boss Attack,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Protector Health,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Protector Radius,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Protector Damage Reduction,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Ray Enemy Attack,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Ray Enemy Health,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Vampire Enemy Attack,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Vampire Enemy Health,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Scatter Enemy Attack,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Scatter Enemy Health,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Ranged Enemy Range,enemies_research,enemies,enemy,ids_exact_name + wiki_category_model,high,
Overcharge Enemy Health,enemies_research,enemies,enemy,ids_exact_name,medium,Category only; mechanic formula absent from active v49 KB.
Overcharge Enemy Damage,enemies_research,enemies,enemy,ids_exact_name,medium,Category only; mechanic formula absent from active v49 KB.
Commander Enemy Health,enemies_research,enemies,enemy,ids_exact_name,medium,Category only; mechanic formula absent from active v49 KB.
Saboteur Enemy Health,enemies_research,enemies,enemy,ids_exact_name,medium,Category only; mechanic formula absent from active v49 KB.
Common Drop Chance,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Reroll Shards,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Daily Mission Shards,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Module Shards Cost,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Module Coin Cost,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Rare Drop Chance,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Unmerge Module,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Shatter Shards,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Cannon Effect Bans,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Armor Effect Bans,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Generator Effect Bans,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Core Effect Bans,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Assist Module Substats - Cannon,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Assist Module Substats - Armor,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Assist Module Substats - Generator,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Assist Module Substats - Core,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Assist Module Bonus - Cannon,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Assist Module Bonus - Armor,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Assist Module Bonus - Generator,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Assist Module Bonus - Core,module_research,modules,module,ids_exact_name + wiki_category_model,high,
Damage Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Attack Speed Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Health Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Health Regen Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Range Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Cash Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Coins Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Slow Aura Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Critical Chance Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Enemy Balance Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Extra Defense Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Fortress Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Free Upgrades Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Extra Orb Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Plasma Cannon Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Critical Coin Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Wave Skip Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Intro Sprint Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Land Mine Stun Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Recovery Package Chance Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Death Ray Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Energy Net Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Super Tower Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Second Wind Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Demon Mode Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Energy Shield Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Wave Accelerator Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Berserker Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Ultimate Crit Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Nuke Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Area of Effect Mastery,card_research,cards,card_mastery,ids_exact_name + wiki_category_model,high,"Mapped by IDS suffix rule: endswith "" Mastery""."
Battle Condition Reduction,battle_condition_research,battle_conditions,battle_condition_group_generic,ids_exact_name + wiki_category_model,high,
Knockback Resistance,battle_condition_research,battle_conditions,battle_condition_group_1_resistances,ids_exact_name + wiki_category_model,high,
Thorns Resistance,battle_condition_research,battle_conditions,battle_condition_group_1_resistances,ids_exact_name + wiki_category_model,high,
Orb Resistance,battle_condition_research,battle_conditions,battle_condition_group_1_resistances,ids_exact_name + wiki_category_model,high,
Plasma Cannon Resistance,battle_condition_research,battle_conditions,battle_condition_group_1_resistances,ids_exact_name + wiki_category_model,high,
Death Ray Resistance,battle_condition_research,battle_conditions,battle_condition_group_1_resistances,ids_exact_name + wiki_category_model,high,
Armored Enemies,battle_condition_research,battle_conditions,battle_condition_group_2_enemy_spawn_buffs,ids_exact_name + wiki_category_model,high,
Enemy Speed,battle_condition_research,battle_conditions,battle_condition_group_2_enemy_spawn_buffs,ids_exact_name + wiki_category_model,high,
More Enemies,battle_condition_research,battle_conditions,battle_condition_group_2_enemy_spawn_buffs,ids_exact_name + wiki_category_model,high,
Enemy Attack Speed,battle_condition_research,battle_conditions,battle_condition_group_2_enemy_spawn_buffs,ids_exact_name + wiki_category_model,high,
Fast's Ultimate,battle_condition_research,battle_conditions,battle_condition_group_3_enemy_ultimates,ids_exact_name + wiki_category_model,high,
Ranged Ultimate,battle_condition_research,battle_conditions,battle_condition_group_3_enemy_ultimates,ids_exact_name + wiki_category_model,high,
Boss's Ultimate,battle_condition_research,battle_conditions,battle_condition_group_3_enemy_ultimates,ids_exact_name + wiki_category_model,high,
Basic's Ultimate,battle_condition_research,battle_conditions,battle_condition_group_3_enemy_ultimates,ids_exact_name + wiki_category_model,high,
Tank's Ultimate,battle_condition_research,battle_conditions,battle_condition_group_3_enemy_ultimates,ids_exact_name + wiki_category_model,high,
Protector's Ultimate,battle_condition_research,battle_conditions,battle_condition_group_3_enemy_ultimates,ids_exact_name + wiki_category_model,high,
Ultimate Weapon Durations,battle_condition_research,battle_conditions,battle_condition_group_4_durations_reductions,ids_exact_name + wiki_category_model,high,
Death Defy Down,battle_condition_research,battle_conditions,battle_condition_group_4_durations_reductions,ids_exact_name + wiki_category_model,high,
Energy Shields Down,battle_condition_research,battle_conditions,battle_condition_group_4_durations_reductions,ids_exact_name + wiki_category_model,high,
Enemy Level Skip Reduction,battle_condition_research,battle_conditions,battle_condition_group_4_durations_reductions,ids_exact_name + wiki_category_model,high,
