lab_canonical_id,lab_primary_name,level_min,level_max,value_min,value_max,unit,formula_family,linear_step,active_source_surface,verification_status
LAB_ENHANCEMENT_DEFENSE_COIN_DISCOUNT,Enhancement Defense - Coin Discount,1,,0.3,,percent,linear,0.3,kb/ledgers/tables/towersim-static-ledger.csv#Enhancement_Coin_Discount,bundled_static_ledger_verified_shared_formula_max_unconfirmed
LAB_ENHANCEMENT_UTILITY_COIN_DISCOUNT,Enhancement Utility - Coin Discount,1,,0.3,,percent,linear,0.3,kb/ledgers/tables/towersim-static-ledger.csv#Enhancement_Coin_Discount,bundled_static_ledger_verified_shared_formula_max_unconfirmed
LAB_EXTRA_BLACK_HOLE,Extra Black Hole,1,1,1,1,bool,constant,0,kb/ledgers/tables/towersim-static-ledger.csv#Extra_Black_Hole,bundled_static_ledger_verified
LAB_FLAME_BOT_BURN_STACK,Flame Bot - Burn Stack,1,5,1,5,count,linear,1.0,kb/ledgers/tables/towersim-static-ledger.csv#Flame_Bot_Burn_Stack,bundled_static_ledger_verified
LAB_GAME_SPEED,Game Speed,1,7,2.0,5.0,raw_number,linear,0.5,kb/labs/tables/wiki-game-speed-lab.csv,externally_verified_live_wiki_2026-03-14
LAB_GOLDEN_TOWER_BONUS,Golden Tower Bonus,1,25,0.15,3.75,multiplier,linear,0.15,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Golden_Tower_Bonus,bundled_row_table_verified
LAB_GOLDEN_TOWER_DURATION,Golden Tower Duration,1,20,1.0,20.0,seconds,linear,1.0,kb/ultimate-weapons/tables/wiki-verified-golden-tower-duration-levels-full.csv,bundled_row_table_verified
LAB_HEALTH,Health,1,100,1.03,4.0,raw_number,linear,0.03,tables/cache/wiki/lab_health.csv,externally_verified_live_wiki_2026-03-14
LAB_HEALTH_REGEN,Health Regen,1,100,1.03,4.0,raw_number,linear,0.03,tables/cache/wiki/lab_health_regen.csv,externally_verified_live_wiki_2026-03-14
LAB_INNER_LAND_MINE_CHRONO_JUMP,Inner Land Mine - Chrono Jump,0,10,0,50.0,seconds,linear,5.0,kb/ultimate-weapons/tables/wiki-verified-inner-land-mine-chrono-jump.csv,generated_r47_patch1_from_verified_table
LAB_INNER_MINE_BLAST_RADIUS,Inner Mine Blast Radius,0,20,0,2.0,m,linear,0.1,kb/ultimate-weapons/tables/wiki-verified-inner-mine-blast-radius.csv,generated_r47_patch1_from_verified_table
LAB_INNER_MINE_ROTATION_SPEED,Inner Mine Rotation Speed,0,20,0,16.0,rotation_speed,linear,0.8,kb/ultimate-weapons/tables/wiki-verified-inner-mine-rotation-speed.csv,generated_r47_patch1_from_verified_table
LAB_INTEREST,Interest,1,99,1.02,2.98,raw_number,linear,0.02,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Interest,externally_verified_live_wiki_2026-03-18
LAB_LAB_SPEED,Labs Speed,1,99,1.02,2.98,raw_number,linear,0.02,kb/labs/tables/wiki-lab-labs-speed.csv,externally_verified_live_wiki_2026-03-14
LAB_MISSILE_AMPLIFIER,Missile Amplifier,1,25,2.5,38.5,multiplier,linear,1.5,kb/ultimate-weapons/tables/wiki-verified-missile-amplifier.csv,bundled_row_table_verified
LAB_MISSILE_BARRAGE_QUANTITY,Missile Barrage Quantity,0,6,0,50.0,count,linear,5.0,kb/ultimate-weapons/tables/wiki-verified-missile-barrage-quantity.csv,generated_r47_patch1_from_verified_table
LAB_MISSILE_DESPAWN_TIME,Missile Despawn Time,1,20,1.0,20.0,seconds,linear,1.0,kb/ultimate-weapons/tables/wiki-verified-missile-despawn-time.csv,bundled_row_table_verified
LAB_MISSILE_RADIUS,Missile Radius,0,20,0,1.3,m,linear,0.05,kb/ultimate-weapons/tables/wiki-verified-missiles-radius.csv,generated_r47_patch1_from_verified_table
LAB_MISSILES_EXPLOSION,Missiles Explosion,1,1,1,1,bool,constant,0,kb/ledgers/tables/towersim-static-ledger.csv#Missiles_Explosion,bundled_static_ledger_verified
LAB_PACKAGE_AFTER_BOSS,Package After Boss,1,1,1,1,bool,constant,0,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Package_After_Boss,externally_verified_live_wiki_2026-03-18
LAB_RANGE,Range,1,80,1.02,2.6,raw_number,linear,0.02,kb/labs/tables/wiki-lab-range.csv,externally_verified_live_wiki_2026-03-14
LAB_RECHARGE_MISSILE_BARRAGE,Recharge Missile Barrage,0,7,0,1500.0,waves,linear,-250.0,kb/ultimate-weapons/tables/wiki-verified-recharge-missile-barrage.csv,generated_r47_patch1_from_verified_table
LAB_RECOVERY_PACKAGE_AMOUNT,Recovery Package Amount,1,20,0.4,8.0,raw_number,linear,0.4,internalized_source_snapshot,strong_internalized_snapshot_with_wiki_unlock_context
LAB_RECOVERY_PACKAGE_CHANCE,Recovery Package Chance,1,20,0.2,4.0,percent,linear,0.2,tables/cache/wiki/lab_recovery_package_chance.csv,externally_verified_live_wiki_2026-03-14
LAB_RECOVERY_PACKAGE_MAX,Recovery Package Max,1,20,0.01,0.20,raw_number,linear,0.01,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Recovery_Package_Max,externally_verified_live_wiki_2026-03-18
LAB_SHOCK_CHANCE,Shock Chance,1,30,3.0,17.5,percent,linear,0.5,kb/ultimate-weapons/tables/wiki-verified-shock-chance.csv,bundled_row_table_verified
LAB_SHOCK_MULTIPLIER,Shock Multiplier,1,14,1.14,1.66,multiplier,linear,0.04,kb/ultimate-weapons/tables/wiki-verified-shock-multiplier.csv,bundled_row_table_verified
LAB_SPOTLIGHT_MISSILES,Spotlight Missiles,1,18,19.0,2.0,seconds,linear,-1.0,kb/ultimate-weapons/tables/wiki-verified-spotlight-missiles-lab-full.csv,bundled_row_table_verified
LAB_SUPER_CRIT_CHANCE,Super Crit Chance,1,50,0.1,5.0,percent_points,linear,0.1,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Super_Crit_Chance,externally_verified_live_wiki_2026-03-16
LAB_SUPER_CRIT_MULT,Super Crit Multi,1,40,1.02,1.8,raw_multiplier,linear,0.02,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Super_Crit_Mult,externally_verified_live_wiki_2026-03-16
LAB_SWAMP_RADIUS,Swamp Radius,0,30,0,1.2,m,linear,0.04,kb/ultimate-weapons/tables/wiki-verified-swamp-radius.csv,generated_r47_patch1_from_verified_table
LAB_SWAMP_REND_ADDITIONAL_ENEMIES,Swamp Rend - Additional Enemies,0,6,0,6.0,count,linear,1.0,kb/ultimate-weapons/tables/wiki-verified-swamp-rend-additional-enemies.csv,generated_r47_patch1_from_verified_table
LAB_POISON_SWAMP_STUN,Swamp Stun,1,1,1,1,bool,constant,0,kb/ledgers/tables/towersim-static-ledger.csv#Poison_Swamp_Stun,bundled_static_ledger_verified
LAB_SWAMP_STUN_CHANCE,Swamp Stun Chance,0,30,0,75.0,percent,linear,2.5,kb/ultimate-weapons/tables/wiki-verified-swamp-stun-chance.csv,generated_r47_patch1_from_verified_table
LAB_SWAMP_STUN_TIME,Swamp Stun Time,0,30,0,9.0,seconds,linear,0.3,kb/ultimate-weapons/tables/wiki-verified-swamp-stun-time.csv,generated_r47_patch1_from_verified_table
LAB_WALL_FORTIFICATION,Wall Fortification,1,60,20.0,1200.0,percent,linear,20.0,kb/labs/tables/wall-lab-wall-fortification.csv,externally_verified_against_live_wiki_2026-03-14
LAB_WALL_HEALTH,Wall Health,1,50,2.0,100.0,percent,linear,2.0,tables/cache/wiki/wall_lab_wall_health.csv,externally_verified_live_wiki_2026-03-14
LAB_WALL_REGEN,Wall Regen,1,30,10.0,300.0,percent,linear,10.0,tables/cache/wiki/wall_lab_wall_regen.csv,externally_verified_live_wiki_2026-03-14
LAB_WAVES_REQUIRED,Waves Required,1,100,-100.0,-1.0,raw_number,linear,-1.0,tables/cache/wiki/lab_waves_required.csv,externally_verified_live_wiki_2026-03-14
