defined_name,formula_or_ref
IDS_MOD_SUBSTATS_HELPER,"LAMBDA(name, level, mods, IFERROR(LET(
  relRow, MATCH(name, INDEX(mods, , 1), 0),
  maxSubs, IFS( level>=241, 8, level>=201, 7, level>=161, 6, level>=141, 5, level>=101, 4, level>=41, 3, TRUE, 2 ),
  startRow, relRow + 4,
  endRow, startRow + maxSubs - 1,
  (INDEX(mods, startRow, 1):INDEX(mods, endRow, 4)
)),))"
MODSTAT_ARMOR,"LAMBDA(rarity, level, ROUND(
(
  VLOOKUP(
    SPLIT(rarity, "" ""),
    MOD_BASE_STAT_ARRAY,3,false
  ) + SUMPRODUCT(
    IF(level > MOD_STEPS_INCREASE_NEXT, 
      MOD_STEPS_INCREASE_NEXT - MOD_STEPS_INCREASE,
      IF(level < MOD_STEPS_INCREASE, 
        0,
        level - MOD_STEPS_INCREASE
    )),
    MOD_ARMOR_INCREASE_ARRAY
  )
)*IF(RIGHT(rarity, 1) = ""*"", 1 + MID(rarity, 11, 1) * 0.04, 1)+1, 3))"
MODSTAT_CANNON,"LAMBDA(rarity, level, ROUND(
(VLOOKUP(SPLIT(rarity, "" ""),MOD_BASE_STAT_ARRAY,2,false)+SUMPRODUCT(IF(level>MOD_STEPS_INCREASE_NEXT,MOD_STEPS_INCREASE_NEXT-MOD_STEPS_INCREASE,IF(level<MOD_STEPS_INCREASE, 0, level-MOD_STEPS_INCREASE)), MOD_CANNON_INCREASE_ARRAY))*IF(RIGHT(rarity, 1) = ""*"", 1 + MID(rarity, 11, 1) * 0.04, 1)+1, 3))"
MODSTAT_CORE,"LAMBDA(rarity, level, ROUND(
(VLOOKUP(SPLIT(rarity, "" ""),MOD_BASE_STAT_ARRAY,5,false)+SUMPRODUCT(IF(level>MOD_STEPS_INCREASE_NEXT,MOD_STEPS_INCREASE_NEXT-MOD_STEPS_INCREASE,IF(level<MOD_STEPS_INCREASE, 0, level-MOD_STEPS_INCREASE)), MOD_CORE_INCREASE_ARRAY))*IF(RIGHT(rarity, 1) = ""*"", 1 + MID(rarity, 11, 1) * 0.04, 1)+1, 3))"
MODSTAT_GENERATOR,"LAMBDA(rarity, level, ROUND(
(VLOOKUP(SPLIT(rarity, "" ""),MOD_BASE_STAT_ARRAY,4,false)+SUMPRODUCT(IF(level>MOD_STEPS_INCREASE_NEXT,MOD_STEPS_INCREASE_NEXT-MOD_STEPS_INCREASE,IF(level<MOD_STEPS_INCREASE, 0, level-MOD_STEPS_INCREASE)), MOD_GENERATOR_INCREASE_ARRAY))*IF(RIGHT(rarity, 1) = ""*"", 1 + MID(rarity, 11, 1) * 0.04, 1)+1, 3))"
MOD_ARMOR_INCREASE_ARRAY,'Module Base Stat'!$C$21:$C$30
MOD_BASE_STAT_ARRAY,'Module Base Stat'!$A$3:$E$17
MOD_CANNON_INCREASE_ARRAY,'Module Base Stat'!$B$21:$B$30
MOD_CORE_INCREASE_ARRAY,'Module Base Stat'!$E$21:$E$30
MOD_GENERATOR_INCREASE_ARRAY,'Module Base Stat'!$D$21:$D$30
MOD_STEPS_INCREASE,'Module Base Stat'!$A$21:$A$30
MOD_STEPS_INCREASE_NEXT,'Module Base Stat'!$A$22:$A$31
MOD_TOTAL_COINS_INVESTED,"LAMBDA(LET(
  START, Data_Val_Tables!$ET$4,
  RANGE, Data_Val_Tables!$ET$4:$ET,
  CAP, IFERROR(IF('Master Sheet'!$AR$7>1, SUM(START:INDEX(RANGE, 'Master Sheet'!$AR$7-1)), 0), 0),
  CAA, IFERROR(IF('Master Sheet'!$AR$13>1, SUM(START:INDEX(RANGE, 'Master Sheet'!$AR$13-1)), 0), 0),
  ARP, IFERROR(IF('Master Sheet'!$AR$23>1, SUM(START:INDEX(RANGE, 'Master Sheet'!$AR$23-1)), 0), 0),
  ARA, IFERROR(IF('Master Sheet'!$AR$29>1, SUM(START:INDEX(RANGE, 'Master Sheet'!$AR$29-1)), 0), 0),
  GEP, IFERROR(IF('Master Sheet'!$AR$39>1, SUM(START:INDEX(RANGE, 'Master Sheet'!$AR$39-1)), 0), 0),
  GEA, IFERROR(IF('Master Sheet'!$AR$45>1, SUM(START:INDEX(RANGE, 'Master Sheet'!$AR$45-1)), 0), 0),
  COP, IFERROR(IF('Master Sheet'!$AR$55>1, SUM(START:INDEX(RANGE, 'Master Sheet'!$AR$55-1)), 0), 0),
  COA, IFERROR(IF('Master Sheet'!$AR$61>1, SUM(START:INDEX(RANGE, 'Master Sheet'!$AR$61-1)), 0), 0),

SUM(CAP, CAA, ARP, ARA, GEP, GEA, COP, COA)))"
