wave,surface,enemy_health,source_class,source_file
25000,Tier 2,2.708e+73,repo_raw_table,enemy_health_table.csv
30000,Tier 2,1.0456000000000001e+86,repo_raw_table,enemy_health_table.csv
35000,Tier 2,3.1714e+98,repo_raw_table,enemy_health_table.csv
40000,Tier 2,8.677500000000001e+110,repo_raw_table,enemy_health_table.csv
45000,Tier 2,2.56e+123,repo_raw_table,enemy_health_table.csv
50000,Tier 2,6.199999999999999e+135,repo_raw_table,enemy_health_table.csv
55000,Tier 2,1.87e+148,repo_raw_table,enemy_health_table.csv
60000,Tier 2,4.0199999999999996e+160,repo_raw_table,enemy_health_table.csv
65000,Tier 2,1.12e+173,repo_raw_table,enemy_health_table.csv
70000,Tier 2,2.61e+185,repo_raw_table,enemy_health_table.csv
75000,Tier 2,7.049999999999999e+197,repo_raw_table,enemy_health_table.csv
80000,Tier 2,1.41e+210,repo_raw_table,enemy_health_table.csv
85000,Tier 2,4.3e+222,repo_raw_table,enemy_health_table.csv
90000,Tier 2,9.720000000000001e+234,repo_raw_table,enemy_health_table.csv
95000,Tier 2,1.86e+247,repo_raw_table,enemy_health_table.csv
100000,Tier 2,4.45e+259,repo_raw_table,enemy_health_table.csv
1,Tier 3,141.0,repo_raw_table,enemy_health_table.csv
10,Tier 3,1100.0,repo_raw_table,enemy_health_table.csv
20,Tier 3,3550.0,repo_raw_table,enemy_health_table.csv
30,Tier 3,8600.0,repo_raw_table,enemy_health_table.csv
40,Tier 3,15970.0,repo_raw_table,enemy_health_table.csv
50,Tier 3,28650.0,repo_raw_table,enemy_health_table.csv
60,Tier 3,48550.0,repo_raw_table,enemy_health_table.csv
70,Tier 3,70000.0,repo_raw_table,enemy_health_table.csv
80,Tier 3,109420.0,repo_raw_table,enemy_health_table.csv
90,Tier 3,166860.0,repo_raw_table,enemy_health_table.csv
100,Tier 3,261880.0,repo_raw_table,enemy_health_table.csv
150,Tier 3,1030000.0,repo_raw_table,enemy_health_table.csv
200,Tier 3,3290000.0,repo_raw_table,enemy_health_table.csv
250,Tier 3,8540000.0,repo_raw_table,enemy_health_table.csv
300,Tier 3,19420000.0,repo_raw_table,enemy_health_table.csv
400,Tier 3,80930000.0,repo_raw_table,enemy_health_table.csv
500,Tier 3,271510000.0,repo_raw_table,enemy_health_table.csv
750,Tier 3,3930000000.0,repo_raw_table,enemy_health_table.csv
1000,Tier 3,44530000000.0,repo_raw_table,enemy_health_table.csv
1250,Tier 3,315890000000.0,repo_raw_table,enemy_health_table.csv
1500,Tier 3,2350000000000.0,repo_raw_table,enemy_health_table.csv
2000,Tier 3,102450000000000.0,repo_raw_table,enemy_health_table.csv
2500,Tier 3,3010000000000000.0,repo_raw_table,enemy_health_table.csv
3000,Tier 3,1.0353e+17,repo_raw_table,enemy_health_table.csv
3500,Tier 3,2.66e+18,repo_raw_table,enemy_health_table.csv
4500,Tier 3,1.84e+21,repo_raw_table,enemy_health_table.csv
5000,Tier 3,3.71e+22,repo_raw_table,enemy_health_table.csv
5500,Tier 3,9.3903e+23,repo_raw_table,enemy_health_table.csv
6000,Tier 3,1.984e+25,repo_raw_table,enemy_health_table.csv
6500,Tier 3,4.2123e+26,repo_raw_table,enemy_health_table.csv
7000,Tier 3,9.91e+27,repo_raw_table,enemy_health_table.csv
7500,Tier 3,2.1254e+29,repo_raw_table,enemy_health_table.csv
8000,Tier 3,4.01e+30,repo_raw_table,enemy_health_table.csv
8500,Tier 3,9.099e+31,repo_raw_table,enemy_health_table.csv
9000,Tier 3,1.9e+33,repo_raw_table,enemy_health_table.csv
9500,Tier 3,3.5e+34,repo_raw_table,enemy_health_table.csv
10000,Tier 3,6.727599999999999e+35,repo_raw_table,enemy_health_table.csv
10500,Tier 3,1.3049999999999998e+37,repo_raw_table,enemy_health_table.csv
11000,Tier 3,2.8034e+38,repo_raw_table,enemy_health_table.csv
11500,Tier 3,4.74e+39,repo_raw_table,enemy_health_table.csv
12000,Tier 3,1.0034e+41,repo_raw_table,enemy_health_table.csv
12500,Tier 3,1.5900000000000002e+42,repo_raw_table,enemy_health_table.csv
13000,Tier 3,3.52e+43,repo_raw_table,enemy_health_table.csv
13500,Tier 3,8.580800000000001e+44,repo_raw_table,enemy_health_table.csv
14500,Tier 3,2.7983999999999995e+47,repo_raw_table,enemy_health_table.csv
15000,Tier 3,4.7300000000000003e+48,repo_raw_table,enemy_health_table.csv
15500,Tier 3,9.322e+49,repo_raw_table,enemy_health_table.csv
16000,Tier 3,1.6699999999999998e+51,repo_raw_table,enemy_health_table.csv
16500,Tier 3,3.185e+52,repo_raw_table,enemy_health_table.csv
17000,Tier 3,5.4741e+53,repo_raw_table,enemy_health_table.csv
17500,Tier 3,1.0460000000000002e+55,repo_raw_table,enemy_health_table.csv
18000,Tier 3,2.1164e+56,repo_raw_table,enemy_health_table.csv
18500,Tier 3,3.48e+57,repo_raw_table,enemy_health_table.csv
19000,Tier 3,6.676000000000001e+58,repo_raw_table,enemy_health_table.csv
19500,Tier 3,1.21e+60,repo_raw_table,enemy_health_table.csv
20000,Tier 3,2.024e+61,repo_raw_table,enemy_health_table.csv
21000,Tier 3,8.960000000000002e+63,repo_raw_table,enemy_health_table.csv
22000,Tier 3,2.7e+66,repo_raw_table,enemy_health_table.csv
23000,Tier 3,8.4036e+68,repo_raw_table,enemy_health_table.csv
24000,Tier 3,2.6970000000000003e+71,repo_raw_table,enemy_health_table.csv
25000,Tier 3,8.123e+73,repo_raw_table,enemy_health_table.csv
30000,Tier 3,3.1368000000000004e+86,repo_raw_table,enemy_health_table.csv
35000,Tier 3,9.5143e+98,repo_raw_table,enemy_health_table.csv
40000,Tier 3,2.6e+111,repo_raw_table,enemy_health_table.csv
45000,Tier 3,7.67e+123,repo_raw_table,enemy_health_table.csv
50000,Tier 3,1.8599999999999997e+136,repo_raw_table,enemy_health_table.csv
55000,Tier 3,5.609999999999999e+148,repo_raw_table,enemy_health_table.csv
60000,Tier 3,1.21e+161,repo_raw_table,enemy_health_table.csv
65000,Tier 3,3.3599999999999997e+173,repo_raw_table,enemy_health_table.csv
70000,Tier 3,7.829999999999999e+185,repo_raw_table,enemy_health_table.csv
75000,Tier 3,2.11e+198,repo_raw_table,enemy_health_table.csv
80000,Tier 3,4.22e+210,repo_raw_table,enemy_health_table.csv
85000,Tier 3,1.29e+223,repo_raw_table,enemy_health_table.csv
90000,Tier 3,2.91e+235,repo_raw_table,enemy_health_table.csv
95000,Tier 3,5.5700000000000005e+247,repo_raw_table,enemy_health_table.csv
100000,Tier 3,1.33e+260,repo_raw_table,enemy_health_table.csv
1,Tier 4,282.0,repo_raw_table,enemy_health_table.csv
10,Tier 4,2200.0,repo_raw_table,enemy_health_table.csv
20,Tier 4,7110.0,repo_raw_table,enemy_health_table.csv
30,Tier 4,17200.0,repo_raw_table,enemy_health_table.csv
40,Tier 4,31930.0,repo_raw_table,enemy_health_table.csv
50,Tier 4,57300.0,repo_raw_table,enemy_health_table.csv
60,Tier 4,97090.0,repo_raw_table,enemy_health_table.csv
70,Tier 4,140000.0,repo_raw_table,enemy_health_table.csv
80,Tier 4,218850.0,repo_raw_table,enemy_health_table.csv
90,Tier 4,333730.0,repo_raw_table,enemy_health_table.csv
100,Tier 4,523760.0,repo_raw_table,enemy_health_table.csv
150,Tier 4,2060000.0,repo_raw_table,enemy_health_table.csv
200,Tier 4,6580000.0,repo_raw_table,enemy_health_table.csv
250,Tier 4,17080000.0,repo_raw_table,enemy_health_table.csv
300,Tier 4,38830000.0,repo_raw_table,enemy_health_table.csv
400,Tier 4,161870000.0,repo_raw_table,enemy_health_table.csv
500,Tier 4,543030000.0,repo_raw_table,enemy_health_table.csv
750,Tier 4,7860000000.0,repo_raw_table,enemy_health_table.csv
1000,Tier 4,89050000000.0,repo_raw_table,enemy_health_table.csv
1250,Tier 4,631780000000.0,repo_raw_table,enemy_health_table.csv
1500,Tier 4,4690000000000.0,repo_raw_table,enemy_health_table.csv
2000,Tier 4,204900000000000.0,repo_raw_table,enemy_health_table.csv
2500,Tier 4,6020000000000000.0,repo_raw_table,enemy_health_table.csv
3000,Tier 4,2.0706e+17,repo_raw_table,enemy_health_table.csv
3500,Tier 4,5.33e+18,repo_raw_table,enemy_health_table.csv
4500,Tier 4,3.67e+21,repo_raw_table,enemy_health_table.csv
5000,Tier 4,7.419e+22,repo_raw_table,enemy_health_table.csv
5500,Tier 4,1.88e+24,repo_raw_table,enemy_health_table.csv
6000,Tier 4,3.968999999999999e+25,repo_raw_table,enemy_health_table.csv
6500,Tier 4,8.4246e+26,repo_raw_table,enemy_health_table.csv
7000,Tier 4,1.983e+28,repo_raw_table,enemy_health_table.csv
7500,Tier 4,4.2508e+29,repo_raw_table,enemy_health_table.csv
8000,Tier 4,8.01e+30,repo_raw_table,enemy_health_table.csv
8500,Tier 4,1.8198e+32,repo_raw_table,enemy_health_table.csv
9000,Tier 4,3.81e+33,repo_raw_table,enemy_health_table.csv
9500,Tier 4,7.0009999999999995e+34,repo_raw_table,enemy_health_table.csv
10000,Tier 4,1.35e+36,repo_raw_table,enemy_health_table.csv
10500,Tier 4,2.61e+37,repo_raw_table,enemy_health_table.csv
11000,Tier 4,5.6067e+38,repo_raw_table,enemy_health_table.csv
11500,Tier 4,9.48e+39,repo_raw_table,enemy_health_table.csv
12000,Tier 4,2.0067e+41,repo_raw_table,enemy_health_table.csv
12500,Tier 4,3.1800000000000004e+42,repo_raw_table,enemy_health_table.csv
13000,Tier 4,7.039e+43,repo_raw_table,enemy_health_table.csv
13500,Tier 4,1.72e+45,repo_raw_table,enemy_health_table.csv
14500,Tier 4,5.596799999999999e+47,repo_raw_table,enemy_health_table.csv
15000,Tier 4,9.449999999999999e+48,repo_raw_table,enemy_health_table.csv
15500,Tier 4,1.8642999999999999e+50,repo_raw_table,enemy_health_table.csv
16000,Tier 4,3.35e+51,repo_raw_table,enemy_health_table.csv
16500,Tier 4,6.370000000000001e+52,repo_raw_table,enemy_health_table.csv
17000,Tier 4,1.0900000000000002e+54,repo_raw_table,enemy_health_table.csv
17500,Tier 4,2.0910000000000003e+55,repo_raw_table,enemy_health_table.csv
18000,Tier 4,4.2328e+56,repo_raw_table,enemy_health_table.csv
18500,Tier 4,6.96e+57,repo_raw_table,enemy_health_table.csv
19000,Tier 4,1.3352e+59,repo_raw_table,enemy_health_table.csv
19500,Tier 4,2.41e+60,repo_raw_table,enemy_health_table.csv
20000,Tier 4,4.047999999999999e+61,repo_raw_table,enemy_health_table.csv
21000,Tier 4,1.7929999999999998e+64,repo_raw_table,enemy_health_table.csv
22000,Tier 4,5.41e+66,repo_raw_table,enemy_health_table.csv
23000,Tier 4,1.68e+69,repo_raw_table,enemy_health_table.csv
24000,Tier 4,5.3941e+71,repo_raw_table,enemy_health_table.csv
25000,Tier 4,1.6247000000000002e+74,repo_raw_table,enemy_health_table.csv
30000,Tier 4,6.273600000000001e+86,repo_raw_table,enemy_health_table.csv
35000,Tier 4,1.9e+99,repo_raw_table,enemy_health_table.csv
40000,Tier 4,5.209999999999999e+111,repo_raw_table,enemy_health_table.csv
45000,Tier 4,1.53e+124,repo_raw_table,enemy_health_table.csv
50000,Tier 4,3.7199999999999995e+136,repo_raw_table,enemy_health_table.csv
55000,Tier 4,1.12e+149,repo_raw_table,enemy_health_table.csv
60000,Tier 4,2.41e+161,repo_raw_table,enemy_health_table.csv
65000,Tier 4,6.709999999999999e+173,repo_raw_table,enemy_health_table.csv
70000,Tier 4,1.57e+186,repo_raw_table,enemy_health_table.csv
75000,Tier 4,4.23e+198,repo_raw_table,enemy_health_table.csv
80000,Tier 4,8.44e+210,repo_raw_table,enemy_health_table.csv
85000,Tier 4,2.58e+223,repo_raw_table,enemy_health_table.csv
90000,Tier 4,5.83e+235,repo_raw_table,enemy_health_table.csv
95000,Tier 4,1.1100000000000001e+248,repo_raw_table,enemy_health_table.csv
100000,Tier 4,2.67e+260,repo_raw_table,enemy_health_table.csv
1,Tier 5,564.0,repo_raw_table,enemy_health_table.csv
10,Tier 5,4410.0,repo_raw_table,enemy_health_table.csv
20,Tier 5,14220.0,repo_raw_table,enemy_health_table.csv
30,Tier 5,34410.0,repo_raw_table,enemy_health_table.csv
40,Tier 5,63870.0,repo_raw_table,enemy_health_table.csv
50,Tier 5,114590.0,repo_raw_table,enemy_health_table.csv
60,Tier 5,194180.0,repo_raw_table,enemy_health_table.csv
70,Tier 5,279990.0,repo_raw_table,enemy_health_table.csv
80,Tier 5,437700.0,repo_raw_table,enemy_health_table.csv
90,Tier 5,667460.0,repo_raw_table,enemy_health_table.csv
100,Tier 5,1050000.0,repo_raw_table,enemy_health_table.csv
150,Tier 5,4120000.0,repo_raw_table,enemy_health_table.csv
200,Tier 5,13160000.0,repo_raw_table,enemy_health_table.csv
250,Tier 5,34170000.0,repo_raw_table,enemy_health_table.csv
300,Tier 5,77670000.0,repo_raw_table,enemy_health_table.csv
400,Tier 5,323730000.0,repo_raw_table,enemy_health_table.csv
500,Tier 5,1090000000.0,repo_raw_table,enemy_health_table.csv
750,Tier 5,15720000000.0,repo_raw_table,enemy_health_table.csv
1000,Tier 5,178100000000.0,repo_raw_table,enemy_health_table.csv
1250,Tier 5,1260000000000.0,repo_raw_table,enemy_health_table.csv
1500,Tier 5,9380000000000.0,repo_raw_table,enemy_health_table.csv
2000,Tier 5,409790000000000.0,repo_raw_table,enemy_health_table.csv
2500,Tier 5,1.204e+16,repo_raw_table,enemy_health_table.csv
3000,Tier 5,4.1412e+17,repo_raw_table,enemy_health_table.csv
3500,Tier 5,1.066e+19,repo_raw_table,enemy_health_table.csv
4500,Tier 5,7.349999999999999e+21,repo_raw_table,enemy_health_table.csv
5000,Tier 5,1.4838e+23,repo_raw_table,enemy_health_table.csv
5500,Tier 5,3.76e+24,repo_raw_table,enemy_health_table.csv
6000,Tier 5,7.937999999999999e+25,repo_raw_table,enemy_health_table.csv
6500,Tier 5,1.68e+27,repo_raw_table,enemy_health_table.csv
7000,Tier 5,3.965999999999999e+28,repo_raw_table,enemy_health_table.csv
7500,Tier 5,8.5015e+29,repo_raw_table,enemy_health_table.csv
8000,Tier 5,1.602e+31,repo_raw_table,enemy_health_table.csv
8500,Tier 5,3.6396e+32,repo_raw_table,enemy_health_table.csv
9000,Tier 5,7.61e+33,repo_raw_table,enemy_health_table.csv
9500,Tier 5,1.4001e+35,repo_raw_table,enemy_health_table.csv
10000,Tier 5,2.69e+36,repo_raw_table,enemy_health_table.csv
10500,Tier 5,5.22e+37,repo_raw_table,enemy_health_table.csv
11000,Tier 5,1.12e+39,repo_raw_table,enemy_health_table.csv
11500,Tier 5,1.895e+40,repo_raw_table,enemy_health_table.csv
12000,Tier 5,4.013399999999999e+41,repo_raw_table,enemy_health_table.csv
12500,Tier 5,6.35e+42,repo_raw_table,enemy_health_table.csv
13000,Tier 5,1.4079e+44,repo_raw_table,enemy_health_table.csv
13500,Tier 5,3.43e+45,repo_raw_table,enemy_health_table.csv
14500,Tier 5,1.1200000000000001e+48,repo_raw_table,enemy_health_table.csv
15000,Tier 5,1.891e+49,repo_raw_table,enemy_health_table.csv
15500,Tier 5,3.7287e+50,repo_raw_table,enemy_health_table.csv
16000,Tier 5,6.7e+51,repo_raw_table,enemy_health_table.csv
16500,Tier 5,1.2739e+53,repo_raw_table,enemy_health_table.csv
17000,Tier 5,2.19e+54,repo_raw_table,enemy_health_table.csv
17500,Tier 5,4.1820000000000006e+55,repo_raw_table,enemy_health_table.csv
18000,Tier 5,8.4655e+56,repo_raw_table,enemy_health_table.csv
18500,Tier 5,1.391e+58,repo_raw_table,enemy_health_table.csv
19000,Tier 5,2.6704000000000003e+59,repo_raw_table,enemy_health_table.csv
19500,Tier 5,4.83e+60,repo_raw_table,enemy_health_table.csv
20000,Tier 5,8.095999999999998e+61,repo_raw_table,enemy_health_table.csv
21000,Tier 5,3.5859999999999996e+64,repo_raw_table,enemy_health_table.csv
22000,Tier 5,1.082e+67,repo_raw_table,enemy_health_table.csv
23000,Tier 5,3.36e+69,repo_raw_table,enemy_health_table.csv
24000,Tier 5,1.08e+72,repo_raw_table,enemy_health_table.csv
25000,Tier 5,3.2493000000000003e+74,repo_raw_table,enemy_health_table.csv
30000,Tier 5,1.25e+87,repo_raw_table,enemy_health_table.csv
35000,Tier 5,3.8100000000000005e+99,repo_raw_table,enemy_health_table.csv
40000,Tier 5,1.041e+112,repo_raw_table,enemy_health_table.csv
45000,Tier 5,3.07e+124,repo_raw_table,enemy_health_table.csv
50000,Tier 5,7.439999999999999e+136,repo_raw_table,enemy_health_table.csv
55000,Tier 5,2.25e+149,repo_raw_table,enemy_health_table.csv
60000,Tier 5,4.829999999999999e+161,repo_raw_table,enemy_health_table.csv
65000,Tier 5,1.34e+174,repo_raw_table,enemy_health_table.csv
70000,Tier 5,3.1300000000000003e+186,repo_raw_table,enemy_health_table.csv
75000,Tier 5,8.46e+198,repo_raw_table,enemy_health_table.csv
80000,Tier 5,1.69e+211,repo_raw_table,enemy_health_table.csv
85000,Tier 5,5.16e+223,repo_raw_table,enemy_health_table.csv
90000,Tier 5,1.17e+236,repo_raw_table,enemy_health_table.csv
95000,Tier 5,2.23e+248,repo_raw_table,enemy_health_table.csv
100000,Tier 5,5.34e+260,repo_raw_table,enemy_health_table.csv
1,Tier 6,1130.0,repo_raw_table,enemy_health_table.csv
10,Tier 6,8810.0,repo_raw_table,enemy_health_table.csv
20,Tier 6,28440.0,repo_raw_table,enemy_health_table.csv
30,Tier 6,68810.0,repo_raw_table,enemy_health_table.csv
40,Tier 6,127730.0,repo_raw_table,enemy_health_table.csv
50,Tier 6,229180.0,repo_raw_table,enemy_health_table.csv
60,Tier 6,388360.0,repo_raw_table,enemy_health_table.csv
70,Tier 6,559980.0,repo_raw_table,enemy_health_table.csv
80,Tier 6,875390.0,repo_raw_table,enemy_health_table.csv
90,Tier 6,1330000.0,repo_raw_table,enemy_health_table.csv
100,Tier 6,2100000.0,repo_raw_table,enemy_health_table.csv
150,Tier 6,8250000.0,repo_raw_table,enemy_health_table.csv
200,Tier 6,26320000.0,repo_raw_table,enemy_health_table.csv
250,Tier 6,68330000.0,repo_raw_table,enemy_health_table.csv
