tier,wave,wave_damage
16.0,3000,2.141e+19
16.0,3500,6.767e+19
16.0,4500,5.9882e+20
16.0,5000,1.59e+21
16.0,5500,4.38e+21
16.0,6000,1.131e+22
16.0,6500,2.881e+22
16.0,7000,7.393999999999999e+22
16.0,7500,1.83e+23
16.0,8000,4.3842e+23
16.0,8500,1.08e+24
16.0,9000,2.59e+24
16.0,9500,5.969999999999999e+24
16.0,10000,1.394e+25
17.0,1,264800000000.0
17.0,10,1210000000000.0
17.0,20,3810000000000.0
17.0,30,8539999999999.999
17.0,40,15610000000000.0
17.0,50,26000000000000.0
17.0,60,39400000000000.0
17.0,70,56220000000000.0
17.0,80,78310000000000.0
17.0,90,105280000000000.0
17.0,100,141170000000000.0
17.0,150,416380000000000.0
17.0,200,969360000000000.0
17.0,250,1890000000000000.0
17.0,300,3320000000000000.0
17.0,400,8710000000000001.0
17.0,500,1.857e+16
17.0,750,8.547e+16
17.0,1000,2.948e+17
17.0,1250,7.9674e+17
17.0,1500,1.93e+18
17.0,2000,9.39e+18
17.0,2500,3.58e+19
17.0,3000,1.2847e+20
17.0,3500,4.06e+20
17.0,4500,3.59e+21
17.0,5000,9.56e+21
17.0,5500,2.63e+22
17.0,6000,6.784999999999999e+22
17.0,6500,1.7286e+23
17.0,7000,4.4363e+23
17.0,7500,1.0999999999999999e+24
17.0,8000,2.63e+24
17.0,8500,6.5e+24
17.0,9000,1.554e+25
17.0,9500,3.583e+25
17.0,10000,8.364e+25
18.0,1,1320000000000.0
18.0,10,6050000000000.0
18.0,20,19030000000000.0
18.0,30,42690000000000.0
18.0,40,78070000000000.0
18.0,50,130020000000000.02
18.0,60,197010000000000.0
18.0,70,281090000000000.0
18.0,80,391550000000000.0
18.0,90,526420000000000.0
18.0,100,705840000000000.0
18.0,150,2080000000000000.0
18.0,200,4850000000000000.0
18.0,250,9470000000000000.0
18.0,300,1.661e+16
18.0,400,4.354e+16
18.0,500,9.286e+16
18.0,750,4.2733e+17
18.0,1000,1.47e+18
18.0,1250,3.98e+18
18.0,1500,9.63e+18
18.0,2000,4.693e+19
18.0,2500,1.7899e+20
18.0,3000,6.423300000000001e+20
18.0,3500,2.03e+21
18.0,4500,1.796e+22
18.0,5000,4.782e+22
18.0,5500,1.3151e+23
18.0,6000,3.3924e+23
18.0,6500,8.642999999999999e+23
18.0,7000,2.22e+24
18.0,7500,5.49e+24
18.0,8000,1.315e+25
18.0,8500,3.2520000000000003e+25
18.0,9000,7.769e+25
18.0,9500,1.7913e+26
18.0,10000,4.1819e+26
