wave_actual,bc_key,bc_variant,value_raw,value_num,value_unit,value_kind
100,more_enemies,,0.25,0.25,ratio,spawn_rate_delta
100,orb_resistance,,0.2,0.2,ratio,multiplier
100,plasma_cannon_resistance,,0.65,0.65,ratio,multiplier
100,protector_s_ultimate,,75s,75.0,s,duration_or_cooldown
100,ranged_ultimate,,0.3s,0.3,s,duration
100,tank_s_ultimate,,75s,75.0,s,duration_or_cooldown
100,thorns_resistance,,0.65,0.65,ratio,multiplier
100,ultimate_weapon_durations,,-3s,-3.0,s,duration_delta
150,armored_enemies,,20,20.0,hits,hits_blocked
150,basic_ultimate,boss,0.01,0.01,ratio,probability
150,basic_ultimate,fast,0.04,0.04,ratio,probability
150,basic_ultimate,protector,0.01,0.01,ratio,probability
150,basic_ultimate,range,0.02,0.02,ratio,probability
150,basic_ultimate,tank,0.04,0.04,ratio,probability
150,boss_ultimate,,0.35,0.35,ratio,multiplier
150,death_defy_down,,-0.07,-0.07,ratio,probability_delta
150,death_ray_resistance,,0.5,0.5,ratio,multiplier
150,enemy_attack_speed,,1.5,1.5,ratio,multiplier
150,enemy_level_skip,,-0.1,-0.1,ratio,probability
150,enemy_speed,,1,1.0,ratio,multiplier
150,energy_shields_down,,0.3,0.3,ratio,recharge_time_multiplier_or_delta
150,fast_ultimate,,4,4.0,ratio,unknown
150,knockback_resistance,,0.6,0.6,ratio,multiplier
150,more_bosses,,6,6.0,waves,interval_waves
150,more_enemies,,0.3,0.3,ratio,spawn_rate_delta
150,orb_resistance,,0.17,0.17,ratio,multiplier
150,plasma_cannon_resistance,,0.6,0.6,ratio,multiplier
150,protector_s_ultimate,,90s,90.0,s,duration_or_cooldown
150,ranged_ultimate,,0.4s,0.4,s,duration
150,tank_s_ultimate,,90s,90.0,s,duration_or_cooldown
150,thorns_resistance,,0.6,0.6,ratio,multiplier
150,ultimate_weapon_durations,,-3s,-3.0,s,duration_delta
200,armored_enemies,,25,25.0,hits,hits_blocked
200,basic_ultimate,boss,0.01,0.01,ratio,probability
200,basic_ultimate,fast,0.04,0.04,ratio,probability
200,basic_ultimate,protector,0.01,0.01,ratio,probability
200,basic_ultimate,range,0.02,0.02,ratio,probability
200,basic_ultimate,tank,0.04,0.04,ratio,probability
200,boss_ultimate,,0.4,0.4,ratio,multiplier
200,death_defy_down,,-0.08,-0.08,ratio,probability_delta
200,death_ray_resistance,,0.45,0.45,ratio,multiplier
200,enemy_attack_speed,,1.75,1.75,ratio,multiplier
200,enemy_level_skip,,-0.12,-0.12,ratio,probability
200,enemy_speed,,1.1,1.1,ratio,multiplier
200,energy_shields_down,,0.35,0.35,ratio,recharge_time_multiplier_or_delta
200,fast_ultimate,,4,4.0,ratio,unknown
200,knockback_resistance,,0.58,0.58,ratio,multiplier
200,more_bosses,,6,6.0,waves,interval_waves
200,more_enemies,,0.35,0.35,ratio,spawn_rate_delta
200,orb_resistance,,0.14,0.14,ratio,multiplier
200,plasma_cannon_resistance,,0.58,0.58,ratio,multiplier
200,protector_s_ultimate,,105s,105.0,s,duration_or_cooldown
200,ranged_ultimate,,0.4s,0.4,s,duration
200,tank_s_ultimate,,105s,105.0,s,duration_or_cooldown
200,thorns_resistance,,0.58,0.58,ratio,multiplier
200,ultimate_weapon_durations,,-4s,-4.0,s,duration_delta
250,armored_enemies,,30,30.0,hits,hits_blocked
250,basic_ultimate,boss,0.01,0.01,ratio,probability
250,basic_ultimate,fast,0.05,0.05,ratio,probability
250,basic_ultimate,protector,0.01,0.01,ratio,probability
250,basic_ultimate,range,0.03,0.03,ratio,probability
250,basic_ultimate,tank,0.05,0.05,ratio,probability
250,boss_ultimate,,0.45,0.45,ratio,multiplier
250,death_defy_down,,-0.1,-0.1,ratio,probability_delta
250,death_ray_resistance,,0.4,0.4,ratio,multiplier
250,enemy_attack_speed,,2,2.0,ratio,multiplier
250,enemy_level_skip,,-0.14,-0.14,ratio,probability
250,enemy_speed,,1.2,1.2,ratio,multiplier
250,energy_shields_down,,0.4,0.4,ratio,recharge_time_multiplier_or_delta
250,fast_ultimate,,5,5.0,ratio,unknown
250,knockback_resistance,,0.56,0.56,ratio,multiplier
250,more_bosses,,6,6.0,waves,interval_waves
250,more_enemies,,0.4,0.4,ratio,spawn_rate_delta
250,orb_resistance,,0.12,0.12,ratio,multiplier
250,plasma_cannon_resistance,,0.56,0.56,ratio,multiplier
250,protector_s_ultimate,,120s,120.0,s,duration_or_cooldown
250,ranged_ultimate,,0.5s,0.5,s,duration
250,tank_s_ultimate,,120s,120.0,s,duration_or_cooldown
250,thorns_resistance,,0.56,0.56,ratio,multiplier
250,ultimate_weapon_durations,,-4s,-4.0,s,duration_delta
300,armored_enemies,,35,35.0,hits,hits_blocked
300,basic_ultimate,boss,0.01,0.01,ratio,probability
300,basic_ultimate,fast,0.05,0.05,ratio,probability
300,basic_ultimate,protector,0.01,0.01,ratio,probability
300,basic_ultimate,range,0.03,0.03,ratio,probability
300,basic_ultimate,tank,0.05,0.05,ratio,probability
300,boss_ultimate,,0.5,0.5,ratio,multiplier
300,death_defy_down,,-0.12,-0.12,ratio,probability_delta
300,death_ray_resistance,,0.35,0.35,ratio,multiplier
300,enemy_attack_speed,,2.25,2.25,ratio,multiplier
300,enemy_level_skip,,-0.16,-0.16,ratio,probability
300,enemy_speed,,1.3,1.3,ratio,multiplier
300,energy_shields_down,,0.45,0.45,ratio,recharge_time_multiplier_or_delta
300,fast_ultimate,,5,5.0,ratio,unknown
300,knockback_resistance,,0.54,0.54,ratio,multiplier
300,more_bosses,,6,6.0,waves,interval_waves
300,more_enemies,,0.45,0.45,ratio,spawn_rate_delta
300,orb_resistance,,0.1,0.1,ratio,multiplier
300,plasma_cannon_resistance,,0.54,0.54,ratio,multiplier
300,protector_s_ultimate,,135s,135.0,s,duration_or_cooldown
300,ranged_ultimate,,0.5s,0.5,s,duration
300,tank_s_ultimate,,135s,135.0,s,duration_or_cooldown
300,thorns_resistance,,0.54,0.54,ratio,multiplier
300,ultimate_weapon_durations,,-5s,-5.0,s,duration_delta
350,armored_enemies,,50,50.0,hits,hits_blocked
350,basic_ultimate,boss,0.01,0.01,ratio,probability
350,basic_ultimate,fast,0.06,0.06,ratio,probability
350,basic_ultimate,protector,0.01,0.01,ratio,probability
350,basic_ultimate,range,0.03,0.03,ratio,probability
350,basic_ultimate,tank,0.06,0.06,ratio,probability
350,boss_ultimate,,0.55,0.55,ratio,multiplier
350,death_defy_down,,-0.14,-0.14,ratio,probability_delta
350,death_ray_resistance,,0.3,0.3,ratio,multiplier
350,enemy_attack_speed,,2.5,2.5,ratio,multiplier
350,enemy_level_skip,,-0.18,-0.18,ratio,probability
350,enemy_speed,,1.4,1.4,ratio,multiplier
350,energy_shields_down,,0.5,0.5,ratio,recharge_time_multiplier_or_delta
350,fast_ultimate,,6,6.0,ratio,unknown
350,knockback_resistance,,0.5,0.5,ratio,multiplier
350,more_bosses,,6,6.0,waves,interval_waves
350,more_enemies,,0.5,0.5,ratio,spawn_rate_delta
350,orb_resistance,,0.09,0.09,ratio,multiplier
350,plasma_cannon_resistance,,0.5,0.5,ratio,multiplier
350,protector_s_ultimate,,150s,150.0,s,duration_or_cooldown
350,ranged_ultimate,,0.6s,0.6,s,duration
350,tank_s_ultimate,,150s,150.0,s,duration_or_cooldown
350,thorns_resistance,,0.5,0.5,ratio,multiplier
350,ultimate_weapon_durations,,-5s,-5.0,s,duration_delta
400,armored_enemies,,55,55.0,hits,hits_blocked
400,basic_ultimate,boss,0.01,0.01,ratio,probability
400,basic_ultimate,fast,0.06,0.06,ratio,probability
400,basic_ultimate,protector,0.01,0.01,ratio,probability
400,basic_ultimate,range,0.03,0.03,ratio,probability
400,basic_ultimate,tank,0.06,0.06,ratio,probability
400,boss_ultimate,,0.6,0.6,ratio,multiplier
400,death_defy_down,,-0.16,-0.16,ratio,probability_delta
400,death_ray_resistance,,0.25,0.25,ratio,multiplier
400,enemy_attack_speed,,2.75,2.75,ratio,multiplier
400,enemy_level_skip,,-0.2,-0.2,ratio,probability
400,enemy_speed,,1.5,1.5,ratio,multiplier
400,energy_shields_down,,0.55,0.55,ratio,recharge_time_multiplier_or_delta
400,fast_ultimate,,6,6.0,ratio,unknown
400,knockback_resistance,,0.45,0.45,ratio,multiplier
400,more_bosses,,6,6.0,waves,interval_waves
400,more_enemies,,0.55,0.55,ratio,spawn_rate_delta
400,orb_resistance,,0.08,0.08,ratio,multiplier
400,plasma_cannon_resistance,,0.45,0.45,ratio,multiplier
400,protector_s_ultimate,,165s,165.0,s,duration_or_cooldown
400,ranged_ultimate,,0.6s,0.6,s,duration
400,tank_s_ultimate,,165s,165.0,s,duration_or_cooldown
400,thorns_resistance,,0.45,0.45,ratio,multiplier
400,ultimate_weapon_durations,,-6s,-6.0,s,duration_delta
450,armored_enemies,,60,60.0,hits,hits_blocked
450,basic_ultimate,boss,0.01,0.01,ratio,probability
450,basic_ultimate,fast,0.07,0.07,ratio,probability
450,basic_ultimate,protector,0.01,0.01,ratio,probability
450,basic_ultimate,range,0.04,0.04,ratio,probability
450,basic_ultimate,tank,0.07,0.07,ratio,probability
450,boss_ultimate,,0.65,0.65,ratio,multiplier
450,death_defy_down,,-0.18,-0.18,ratio,probability_delta
450,death_ray_resistance,,0.2,0.2,ratio,multiplier
450,enemy_attack_speed,,3,3.0,ratio,multiplier
450,enemy_level_skip,,-0.22,-0.22,ratio,probability
450,enemy_speed,,1.6,1.6,ratio,multiplier
450,energy_shields_down,,0.6,0.6,ratio,recharge_time_multiplier_or_delta
450,fast_ultimate,,7,7.0,ratio,unknown
450,knockback_resistance,,0.4,0.4,ratio,multiplier
450,more_bosses,,6,6.0,waves,interval_waves
450,more_enemies,,0.6,0.6,ratio,spawn_rate_delta
450,orb_resistance,,0.07,0.07,ratio,multiplier
450,plasma_cannon_resistance,,0.4,0.4,ratio,multiplier
450,protector_s_ultimate,,180s,180.0,s,duration_or_cooldown
450,ranged_ultimate,,0.7s,0.7,s,duration
450,tank_s_ultimate,,180s,180.0,s,duration_or_cooldown
450,thorns_resistance,,0.4,0.4,ratio,multiplier
450,ultimate_weapon_durations,,-6s,-6.0,s,duration_delta
500,armored_enemies,,65,65.0,hits,hits_blocked
500,basic_ultimate,boss,0.01,0.01,ratio,probability
500,basic_ultimate,fast,0.07,0.07,ratio,probability
500,basic_ultimate,protector,0.01,0.01,ratio,probability
500,basic_ultimate,range,0.04,0.04,ratio,probability
500,basic_ultimate,tank,0.07,0.07,ratio,probability
500,boss_ultimate,,0.7,0.7,ratio,multiplier
500,death_defy_down,,-0.2,-0.2,ratio,probability_delta
500,death_ray_resistance,,0.15,0.15,ratio,multiplier
500,enemy_attack_speed,,3.25,3.25,ratio,multiplier
500,enemy_level_skip,,-0.24,-0.24,ratio,probability
500,enemy_speed,,1.7,1.7,ratio,multiplier
500,energy_shields_down,,0.65,0.65,ratio,recharge_time_multiplier_or_delta
500,fast_ultimate,,7,7.0,ratio,unknown
500,knockback_resistance,,0.35,0.35,ratio,multiplier
500,more_bosses,,6,6.0,waves,interval_waves
500,more_enemies,,0.65,0.65,ratio,spawn_rate_delta
500,orb_resistance,,0.06,0.06,ratio,multiplier
500,plasma_cannon_resistance,,0.35,0.35,ratio,multiplier
500,protector_s_ultimate,,195s,195.0,s,duration_or_cooldown
500,ranged_ultimate,,0.7s,0.7,s,duration
500,tank_s_ultimate,,210s,210.0,s,duration_or_cooldown
500,thorns_resistance,,0.35,0.35,ratio,multiplier
500,ultimate_weapon_durations,,-7s,-7.0,s,duration_delta
600,armored_enemies,,70,70.0,hits,hits_blocked
600,basic_ultimate,boss,0.01,0.01,ratio,probability
600,basic_ultimate,fast,0.08,0.08,ratio,probability
600,basic_ultimate,protector,0.01,0.01,ratio,probability
600,basic_ultimate,range,0.04,0.04,ratio,probability
600,basic_ultimate,tank,0.08,0.08,ratio,probability
600,boss_ultimate,,0.75,0.75,ratio,multiplier
600,death_defy_down,,-0.22,-0.22,ratio,probability_delta
600,death_ray_resistance,,0.1,0.1,ratio,multiplier
600,enemy_attack_speed,,3.5,3.5,ratio,multiplier
600,enemy_level_skip,,-0.26,-0.26,ratio,probability
600,enemy_speed,,1.8,1.8,ratio,multiplier
600,energy_shields_down,,0.7,0.7,ratio,recharge_time_multiplier_or_delta
600,fast_ultimate,,8,8.0,ratio,unknown
600,knockback_resistance,,0.3,0.3,ratio,multiplier
600,more_bosses,,6,6.0,waves,interval_waves
600,more_enemies,,0.7,0.7,ratio,spawn_rate_delta
600,orb_resistance,,0.05,0.05,ratio,multiplier
600,plasma_cannon_resistance,,0.3,0.3,ratio,multiplier
600,protector_s_ultimate,,210s,210.0,s,duration_or_cooldown
600,ranged_ultimate,,0.8s,0.8,s,duration
600,tank_s_ultimate,,225s,225.0,s,duration_or_cooldown
600,thorns_resistance,,0.3,0.3,ratio,multiplier
600,ultimate_weapon_durations,,-7s,-7.0,s,duration_delta
700,armored_enemies,,80,80.0,hits,hits_blocked
700,basic_ultimate,boss,0.01,0.01,ratio,probability
700,basic_ultimate,fast,0.08,0.08,ratio,probability
700,basic_ultimate,protector,0.01,0.01,ratio,probability
700,basic_ultimate,range,0.04,0.04,ratio,probability
700,basic_ultimate,tank,0.08,0.08,ratio,probability
700,boss_ultimate,,0.8,0.8,ratio,multiplier
700,death_defy_down,,-0.24,-0.24,ratio,probability_delta
700,death_ray_resistance,,0.07,0.07,ratio,multiplier
700,enemy_attack_speed,,4,4.0,ratio,multiplier
700,enemy_level_skip,,-0.28,-0.28,ratio,probability
700,enemy_speed,,1.86,1.86,ratio,multiplier
700,energy_shields_down,,0.8,0.8,ratio,recharge_time_multiplier_or_delta
700,fast_ultimate,,8,8.0,ratio,unknown
700,knockback_resistance,,0.25,0.25,ratio,multiplier
700,more_bosses,,6,6.0,waves,interval_waves
700,more_enemies,,0.8,0.8,ratio,spawn_rate_delta
700,orb_resistance,,0.04,0.04,ratio,multiplier
700,plasma_cannon_resistance,,0.25,0.25,ratio,multiplier
700,protector_s_ultimate,,240s,240.0,s,duration_or_cooldown
700,ranged_ultimate,,0.8s,0.8,s,duration
700,tank_s_ultimate,,240s,240.0,s,duration_or_cooldown
700,thorns_resistance,,0.25,0.25,ratio,multiplier
700,ultimate_weapon_durations,,-8s,-8.0,s,duration_delta
800,armored_enemies,,90,90.0,hits,hits_blocked
800,basic_ultimate,boss,0.01,0.01,ratio,probability
800,basic_ultimate,fast,0.09,0.09,ratio,probability
800,basic_ultimate,protector,0.01,0.01,ratio,probability
800,basic_ultimate,range,0.05,0.05,ratio,probability
800,basic_ultimate,tank,0.09,0.09,ratio,probability
800,boss_ultimate,,0.85,0.85,ratio,multiplier
800,death_defy_down,,-0.26,-0.26,ratio,probability_delta
800,death_ray_resistance,,0.04,0.04,ratio,multiplier
800,enemy_attack_speed,,4.25,4.25,ratio,multiplier
800,enemy_level_skip,,-0.3,-0.3,ratio,probability
800,enemy_speed,,1.92,1.92,ratio,multiplier
800,energy_shields_down,,0.9,0.9,ratio,recharge_time_multiplier_or_delta
800,fast_ultimate,,9,9.0,ratio,unknown
800,knockback_resistance,,0.2,0.2,ratio,multiplier
800,more_bosses,,6,6.0,waves,interval_waves
800,more_enemies,,0.85,0.85,ratio,spawn_rate_delta
800,orb_resistance,,0.03,0.03,ratio,multiplier
800,plasma_cannon_resistance,,0.2,0.2,ratio,multiplier
800,protector_s_ultimate,,270s,270.0,s,duration_or_cooldown
800,ranged_ultimate,,0.9s,0.9,s,duration
800,tank_s_ultimate,,255s,255.0,s,duration_or_cooldown
800,thorns_resistance,,0.2,0.2,ratio,multiplier
800,ultimate_weapon_durations,,-8s,-8.0,s,duration_delta
900,armored_enemies,,95,95.0,hits,hits_blocked
900,basic_ultimate,boss,0.01,0.01,ratio,probability
900,basic_ultimate,fast,0.09,0.09,ratio,probability
900,basic_ultimate,protector,0.01,0.01,ratio,probability
900,basic_ultimate,range,0.05,0.05,ratio,probability
900,basic_ultimate,tank,0.09,0.09,ratio,probability
900,boss_ultimate,,0.9,0.9,ratio,multiplier
900,death_defy_down,,-0.28,-0.28,ratio,probability_delta
900,death_ray_resistance,,0.02,0.02,ratio,multiplier
900,enemy_attack_speed,,4.5,4.5,ratio,multiplier
900,enemy_level_skip,,-0.33,-0.33,ratio,probability
900,enemy_speed,,1.96,1.96,ratio,multiplier
900,energy_shields_down,,0.95,0.95,ratio,recharge_time_multiplier_or_delta
900,fast_ultimate,,9,9.0,ratio,unknown
900,knockback_resistance,,0.15,0.15,ratio,multiplier
900,more_bosses,,6,6.0,waves,interval_waves
900,more_enemies,,0.9,0.9,ratio,spawn_rate_delta
900,orb_resistance,,0.02,0.02,ratio,multiplier
900,plasma_cannon_resistance,,0.15,0.15,ratio,multiplier
900,protector_s_ultimate,,285s,285.0,s,duration_or_cooldown
900,ranged_ultimate,,0.9s,0.9,s,duration
900,tank_s_ultimate,,270s,270.0,s,duration_or_cooldown
900,thorns_resistance,,0.15,0.15,ratio,multiplier
900,ultimate_weapon_durations,,-9s,-9.0,s,duration_delta
1000,armored_enemies,,100,100.0,hits,hits_blocked
1000,basic_ultimate,boss,0.01,0.01,ratio,probability
1000,basic_ultimate,fast,0.1,0.1,ratio,probability
1000,basic_ultimate,protector,0.01,0.01,ratio,probability
1000,basic_ultimate,range,0.05,0.05,ratio,probability
1000,basic_ultimate,tank,0.1,0.1,ratio,probability
1000,boss_ultimate,,1,1.0,ratio,multiplier
1000,death_defy_down,,-0.3,-0.3,ratio,probability_delta
1000,death_ray_resistance,,0.01,0.01,ratio,multiplier
1000,enemy_attack_speed,,5,5.0,ratio,multiplier
1000,enemy_level_skip,,-0.3333,-0.3333,ratio,probability
1000,enemy_speed,,1.98,1.98,ratio,multiplier
1000,energy_shields_down,,1,1.0,ratio,recharge_time_multiplier_or_delta
1000,fast_ultimate,,10,10.0,ratio,unknown
1000,knockback_resistance,,0.05,0.05,ratio,multiplier
1000,more_bosses,,6,6.0,waves,interval_waves
1000,more_enemies,,1,1.0,ratio,spawn_rate_delta
1000,orb_resistance,,0.01,0.01,ratio,multiplier
1000,plasma_cannon_resistance,,0.05,0.05,ratio,multiplier
1000,protector_s_ultimate,,300s,300.0,s,duration_or_cooldown
1000,ranged_ultimate,,1.0s,1.0,s,duration
1000,tank_s_ultimate,,300s,300.0,s,duration_or_cooldown
1000,thorns_resistance,,0.05,0.05,ratio,multiplier
1000,ultimate_weapon_durations,,-10s,-10.0,s,duration_delta
