surface_name,bucket,current_status,note
Plasma Cannon Resistance,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Death Ray Resistance,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Armored Enemies,combat_utility_or_other,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Enemy Speed,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
More Enemies,combat_utility_or_other,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Enemy Attack Speed,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Fast's Ultimate,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Ranged Ultimate,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Boss's Ultimate,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Basic's Ultimate,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Tank's Ultimate,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Protector's Ultimate,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Ultimate Weapon Durations,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Death Defy Down,combat_utility_or_other,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Energy Shields Down,combat_utility_or_other,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Enemy Level Skip Reduction,environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
END OF ARRAY,admin_or_meta,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Keys spent,admin_or_meta,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Total Bonuses,admin_or_meta,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Misc.,admin_or_meta,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Attack,admin_or_meta,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Defense,admin_or_meta,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Utility,admin_or_meta,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
Unlocks,admin_or_meta,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
"Ranged Enemies Attack Distance Reduced, But Tower Ranged Enemies Damage x3::effect_1",environment_or_tournament,excluded_from_current_calculator_publish_scope,Preserved raw/excluded surface; not an in-scope unmapped calculator destination in current package.
