uw_name,plus_track_name,level_index,value,cost,source_ref,notes
Chrono Field,Chrono Loop,2,0.2,500,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,3,0.25,610,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,4,0.3,730,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,5,0.35,860,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,6,0.4,1000,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,7,0.45,1150,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,8,0.5,1300,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,9,0.55,1500,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,10,0.6,1700,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,11,0.65,1950,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,12,0.7,2200,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,13,0.75,2450,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Chrono Field,Chrono Loop,14,,2700,internalized_source_snapshot,rotation rate; wiki lists N/A at final slot
Death Wave,Kill Wall,0,3.0,0,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,1,4.0,400,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,2,6.0,500,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,3,9.0,610,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,4,13.0,730,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,5,18.0,860,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,6,24.0,1000,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,7,31.0,1150,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,8,39.0,1300,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,9,48.0,1500,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,10,58.0,1700,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,11,69.0,1950,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,12,81.0,2200,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,13,94.0,2450,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Death Wave,Kill Wall,14,108.0,2700,internalized_source_snapshot,additive damage-store amplification per effect-wave hit
Golden Tower,Golden Combo,0,0.03,0,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,1,0.06,300,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,2,0.09,360,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,3,0.12,430,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,4,0.15,510,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,5,0.18,620,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,6,0.21,750,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,7,0.24,900,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,8,0.27,1100,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,9,0.3,1350,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,10,0.33,1650,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,11,0.36,2050,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,12,0.39,2600,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,13,0.42,3300,internalized_source_snapshot,percent in bonus-multiplier equation
Golden Tower,Golden Combo,14,0.45,4150,internalized_source_snapshot,percent in bonus-multiplier equation
Inner Land Mines,Charged Mine,0,0.5,0,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,1,1.5,300,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,2,2.9,360,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,3,4.7,430,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,4,6.9,510,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,5,9.5,620,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,6,12.5,750,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,7,15.9,900,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,8,19.7,1100,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,9,23.9,1350,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,10,28.5,1650,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,11,33.5,2050,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,12,38.9,2600,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,13,44.7,3300,internalized_source_snapshot,x damage gained per second
Inner Land Mines,Charged Mine,14,50.9,4150,internalized_source_snapshot,x damage gained per second
Poison Swamp,Death Creep,0,120.0,0,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,1,190.0,300,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,2,260.0,375,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,3,330.0,475,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,4,400.0,600,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,5,470.0,725,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,6,540.0,925,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,7,610.0,1150,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,8,680.0,1450,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,9,750.0,1800,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,10,820.0,2200,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,11,890.0,2650,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,12,960.0,3150,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,13,1030.0,3700,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Poison Swamp,Death Creep,14,1110.0,4300,internalized_source_snapshot,percent of Poison Swamp damage added each tick
Smart Missiles,Cover Fire,0,13.0,0,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,1,12.0,300,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,2,11.0,375,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,3,10.0,475,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,4,9.0,600,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,5,8.0,725,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,6,7.0,925,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,7,6.0,1150,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,8,5.0,1450,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,9,4.0,1800,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,10,3.0,2200,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,11,2.0,2650,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,12,,3150,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,13,,3700,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Smart Missiles,Cover Fire,14,,4300,internalized_source_snapshot,seconds between missiles; wiki lists N/A for final three values
Spotlight,Light Range,0,0.01,0,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,1,0.02,400,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,2,0.03,500,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,3,0.04,610,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,4,0.05,730,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,5,0.06,860,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,6,0.07,1000,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,7,0.08,1150,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,8,0.09,1300,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,9,0.1,1500,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,10,0.11,1700,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,11,0.12,1950,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,12,0.13,2200,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,13,0.14,2450,internalized_source_snapshot,x damage-per-meter contribution
Spotlight,Light Range,14,0.15,2700,internalized_source_snapshot,x damage-per-meter contribution
