wave,surface,enemy_damage,source_class,source_file
7500,Tier 1,192770000000.0,repo_raw_table,enemy_damage_table.csv
8000,Tier 1,395590000000.0,repo_raw_table,enemy_damage_table.csv
8500,Tier 1,817750000000.0,repo_raw_table,enemy_damage_table.csv
9000,Tier 1,1670000000000.0,repo_raw_table,enemy_damage_table.csv
9500,Tier 1,3230000000000.0,repo_raw_table,enemy_damage_table.csv
10000,Tier 1,6630000000000.0,repo_raw_table,enemy_damage_table.csv
10500,Tier 1,12780000000000.0,repo_raw_table,enemy_damage_table.csv
11000,Tier 1,25230000000000.0,repo_raw_table,enemy_damage_table.csv
11500,Tier 1,48010000000000.0,repo_raw_table,enemy_damage_table.csv
12000,Tier 1,96020000000000.0,repo_raw_table,enemy_damage_table.csv
12500,Tier 1,178070000000000.0,repo_raw_table,enemy_damage_table.csv
13000,Tier 1,349100000000000.0,repo_raw_table,enemy_damage_table.csv
13500,Tier 1,694300000000000.0,repo_raw_table,enemy_damage_table.csv
14500,Tier 1,2510000000000000.0,repo_raw_table,enemy_damage_table.csv
15000,Tier 1,4630000000000000.0,repo_raw_table,enemy_damage_table.csv
15500,Tier 1,8680000000000000.0,repo_raw_table,enemy_damage_table.csv
16000,Tier 1,1.6399999999999998e+16,repo_raw_table,enemy_damage_table.csv
16500,Tier 1,3.101e+16,repo_raw_table,enemy_damage_table.csv
17000,Tier 1,5.57e+16,repo_raw_table,enemy_damage_table.csv
17500,Tier 1,1.0583e+17,repo_raw_table,enemy_damage_table.csv
18000,Tier 1,2.0271e+17,repo_raw_table,enemy_damage_table.csv
18500,Tier 1,3.5761e+17,repo_raw_table,enemy_damage_table.csv
19000,Tier 1,6.7521e+17,repo_raw_table,enemy_damage_table.csv
19500,Tier 1,1.22e+18,repo_raw_table,enemy_damage_table.csv
20000,Tier 1,2.28e+18,repo_raw_table,enemy_damage_table.csv
21000,Tier 1,7.96e+18,repo_raw_table,enemy_damage_table.csv
22000,Tier 1,2.669e+19,repo_raw_table,enemy_damage_table.csv
23000,Tier 1,8.638e+19,repo_raw_table,enemy_damage_table.csv
24000,Tier 1,2.9068e+20,repo_raw_table,enemy_damage_table.csv
25000,Tier 1,9.3058e+20,repo_raw_table,enemy_damage_table.csv
30000,Tier 1,3.521e+23,repo_raw_table,enemy_damage_table.csv
35000,Tier 1,1.1538e+26,repo_raw_table,enemy_damage_table.csv
40000,Tier 1,3.59e+28,repo_raw_table,enemy_damage_table.csv
45000,Tier 1,1.0549999999999999e+31,repo_raw_table,enemy_damage_table.csv
50000,Tier 1,3.02e+33,repo_raw_table,enemy_damage_table.csv
55000,Tier 1,8.621299999999999e+35,repo_raw_table,enemy_damage_table.csv
60000,Tier 1,2.2761000000000003e+38,repo_raw_table,enemy_damage_table.csv
65000,Tier 1,6.181e+40,repo_raw_table,enemy_damage_table.csv
70000,Tier 1,1.6329999999999998e+43,repo_raw_table,enemy_damage_table.csv
75000,Tier 1,4.23e+45,repo_raw_table,enemy_damage_table.csv
80000,Tier 1,1.0600000000000003e+48,repo_raw_table,enemy_damage_table.csv
85000,Tier 1,2.8076999999999997e+50,repo_raw_table,enemy_damage_table.csv
90000,Tier 1,6.948999999999998e+52,repo_raw_table,enemy_damage_table.csv
95000,Tier 1,1.6530000000000003e+55,repo_raw_table,enemy_damage_table.csv
100000,Tier 1,4.0600000000000004e+57,repo_raw_table,enemy_damage_table.csv
1,Tier 2,23.52,repo_raw_table,enemy_damage_table.csv
10,Tier 2,96.19,repo_raw_table,enemy_damage_table.csv
20,Tier 2,272.94,repo_raw_table,enemy_damage_table.csv
30,Tier 2,575.27,repo_raw_table,enemy_damage_table.csv
40,Tier 2,1010.0,repo_raw_table,enemy_damage_table.csv
50,Tier 2,1630.0,repo_raw_table,enemy_damage_table.csv
60,Tier 2,2400.0,repo_raw_table,enemy_damage_table.csv
70,Tier 2,3360.0,repo_raw_table,enemy_damage_table.csv
80,Tier 2,4600.0,repo_raw_table,enemy_damage_table.csv
90,Tier 2,6090.0,repo_raw_table,enemy_damage_table.csv
100,Tier 2,8060.000000000001,repo_raw_table,enemy_damage_table.csv
150,Tier 2,22070.0,repo_raw_table,enemy_damage_table.csv
200,Tier 2,48470.0,repo_raw_table,enemy_damage_table.csv
250,Tier 2,92370.0,repo_raw_table,enemy_damage_table.csv
300,Tier 2,154750.0,repo_raw_table,enemy_damage_table.csv
400,Tier 2,383520.0,repo_raw_table,enemy_damage_table.csv
500,Tier 2,778840.0,repo_raw_table,enemy_damage_table.csv
750,Tier 2,3110000.0,repo_raw_table,enemy_damage_table.csv
1000,Tier 2,9660000.0,repo_raw_table,enemy_damage_table.csv
1250,Tier 2,24270000.0,repo_raw_table,enemy_damage_table.csv
1500,Tier 2,52150000.0,repo_raw_table,enemy_damage_table.csv
2000,Tier 2,212710000.0,repo_raw_table,enemy_damage_table.csv
2500,Tier 2,683520000.0,repo_raw_table,enemy_damage_table.csv
3000,Tier 2,2020000000.0,repo_raw_table,enemy_damage_table.csv
3500,Tier 2,5300000000.0,repo_raw_table,enemy_damage_table.csv
4500,Tier 2,33980000000.0,repo_raw_table,enemy_damage_table.csv
5000,Tier 2,77150000000.0,repo_raw_table,enemy_damage_table.csv
5500,Tier 2,176740000000.0,repo_raw_table,enemy_damage_table.csv
6000,Tier 2,389650000000.0,repo_raw_table,enemy_damage_table.csv
6500,Tier 2,849040000000.0,repo_raw_table,enemy_damage_table.csv
7000,Tier 2,1820000000000.0,repo_raw_table,enemy_damage_table.csv
7500,Tier 2,3860000000000.0,repo_raw_table,enemy_damage_table.csv
8000,Tier 2,7910000000000.0,repo_raw_table,enemy_damage_table.csv
8500,Tier 2,16350000000000.002,repo_raw_table,enemy_damage_table.csv
9000,Tier 2,33490000000000.004,repo_raw_table,enemy_damage_table.csv
9500,Tier 2,64610000000000.0,repo_raw_table,enemy_damage_table.csv
10000,Tier 2,132620000000000.0,repo_raw_table,enemy_damage_table.csv
10500,Tier 2,255640000000000.0,repo_raw_table,enemy_damage_table.csv
11000,Tier 2,504640000000000.0,repo_raw_table,enemy_damage_table.csv
11500,Tier 2,960300000000000.0,repo_raw_table,enemy_damage_table.csv
12000,Tier 2,1920000000000000.0,repo_raw_table,enemy_damage_table.csv
12500,Tier 2,3560000000000000.0,repo_raw_table,enemy_damage_table.csv
13000,Tier 2,6980000000000000.0,repo_raw_table,enemy_damage_table.csv
13500,Tier 2,1.389e+16,repo_raw_table,enemy_damage_table.csv
14500,Tier 2,5.019e+16,repo_raw_table,enemy_damage_table.csv
15000,Tier 2,9.263e+16,repo_raw_table,enemy_damage_table.csv
15500,Tier 2,1.7362e+17,repo_raw_table,enemy_damage_table.csv
16000,Tier 2,3.2797e+17,repo_raw_table,enemy_damage_table.csv
16500,Tier 2,6.2023e+17,repo_raw_table,enemy_damage_table.csv
17000,Tier 2,1.11e+18,repo_raw_table,enemy_damage_table.csv
17500,Tier 2,2.12e+18,repo_raw_table,enemy_damage_table.csv
18000,Tier 2,4.05e+18,repo_raw_table,enemy_damage_table.csv
18500,Tier 2,7.15e+18,repo_raw_table,enemy_damage_table.csv
19000,Tier 2,1.35e+19,repo_raw_table,enemy_damage_table.csv
19500,Tier 2,2.432e+19,repo_raw_table,enemy_damage_table.csv
20000,Tier 2,4.55e+19,repo_raw_table,enemy_damage_table.csv
21000,Tier 2,1.5911e+20,repo_raw_table,enemy_damage_table.csv
22000,Tier 2,5.3378999999999993e+20,repo_raw_table,enemy_damage_table.csv
23000,Tier 2,1.73e+21,repo_raw_table,enemy_damage_table.csv
24000,Tier 2,5.81e+21,repo_raw_table,enemy_damage_table.csv
25000,Tier 2,1.861e+22,repo_raw_table,enemy_damage_table.csv
30000,Tier 2,7.04e+24,repo_raw_table,enemy_damage_table.csv
35000,Tier 2,2.3100000000000003e+27,repo_raw_table,enemy_damage_table.csv
40000,Tier 2,7.179e+29,repo_raw_table,enemy_damage_table.csv
45000,Tier 2,2.1108000000000003e+32,repo_raw_table,enemy_damage_table.csv
50000,Tier 2,6.035e+34,repo_raw_table,enemy_damage_table.csv
55000,Tier 2,1.724e+37,repo_raw_table,enemy_damage_table.csv
60000,Tier 2,4.5499999999999995e+39,repo_raw_table,enemy_damage_table.csv
65000,Tier 2,1.24e+42,repo_raw_table,enemy_damage_table.csv
70000,Tier 2,3.2662000000000004e+44,repo_raw_table,enemy_damage_table.csv
75000,Tier 2,8.453e+46,repo_raw_table,enemy_damage_table.csv
80000,Tier 2,2.1170000000000004e+49,repo_raw_table,enemy_damage_table.csv
85000,Tier 2,5.62e+51,repo_raw_table,enemy_damage_table.csv
90000,Tier 2,1.39e+54,repo_raw_table,enemy_damage_table.csv
95000,Tier 2,3.306600000000001e+56,repo_raw_table,enemy_damage_table.csv
100000,Tier 2,8.116e+58,repo_raw_table,enemy_damage_table.csv
1,Tier 3,70.56,repo_raw_table,enemy_damage_table.csv
10,Tier 3,288.56,repo_raw_table,enemy_damage_table.csv
20,Tier 3,818.83,repo_raw_table,enemy_damage_table.csv
30,Tier 3,1730.0,repo_raw_table,enemy_damage_table.csv
40,Tier 3,3020.0,repo_raw_table,enemy_damage_table.csv
50,Tier 3,4880.0,repo_raw_table,enemy_damage_table.csv
60,Tier 3,7210.0,repo_raw_table,enemy_damage_table.csv
70,Tier 3,10080.0,repo_raw_table,enemy_damage_table.csv
80,Tier 3,13800.0,repo_raw_table,enemy_damage_table.csv
90,Tier 3,18270.0,repo_raw_table,enemy_damage_table.csv
100,Tier 3,24180.0,repo_raw_table,enemy_damage_table.csv
150,Tier 3,66220.0,repo_raw_table,enemy_damage_table.csv
200,Tier 3,145420.0,repo_raw_table,enemy_damage_table.csv
250,Tier 3,277120.0,repo_raw_table,enemy_damage_table.csv
300,Tier 3,464240.0,repo_raw_table,enemy_damage_table.csv
400,Tier 3,1150000.0,repo_raw_table,enemy_damage_table.csv
500,Tier 3,2340000.0,repo_raw_table,enemy_damage_table.csv
750,Tier 3,9330000.0,repo_raw_table,enemy_damage_table.csv
1000,Tier 3,28980000.0,repo_raw_table,enemy_damage_table.csv
1250,Tier 3,72810000.0,repo_raw_table,enemy_damage_table.csv
1500,Tier 3,156460000.0,repo_raw_table,enemy_damage_table.csv
2000,Tier 3,638120000.0,repo_raw_table,enemy_damage_table.csv
2500,Tier 3,2050000000.0,repo_raw_table,enemy_damage_table.csv
3000,Tier 3,6070000000.0,repo_raw_table,enemy_damage_table.csv
3500,Tier 3,15900000000.0,repo_raw_table,enemy_damage_table.csv
4500,Tier 3,101930000000.0,repo_raw_table,enemy_damage_table.csv
5000,Tier 3,231440000000.0,repo_raw_table,enemy_damage_table.csv
5500,Tier 3,530230000000.0,repo_raw_table,enemy_damage_table.csv
6000,Tier 3,1170000000000.0,repo_raw_table,enemy_damage_table.csv
6500,Tier 3,2550000000000.0,repo_raw_table,enemy_damage_table.csv
7000,Tier 3,5460000000000.0,repo_raw_table,enemy_damage_table.csv
7500,Tier 3,11570000000000.0,repo_raw_table,enemy_damage_table.csv
8000,Tier 3,23740000000000.0,repo_raw_table,enemy_damage_table.csv
8500,Tier 3,49060000000000.0,repo_raw_table,enemy_damage_table.csv
9000,Tier 3,100480000000000.0,repo_raw_table,enemy_damage_table.csv
9500,Tier 3,193830000000000.0,repo_raw_table,enemy_damage_table.csv
10000,Tier 3,397860000000000.0,repo_raw_table,enemy_damage_table.csv
10500,Tier 3,766930000000000.0,repo_raw_table,enemy_damage_table.csv
11000,Tier 3,1510000000000000.0,repo_raw_table,enemy_damage_table.csv
11500,Tier 3,2880000000000000.0,repo_raw_table,enemy_damage_table.csv
12000,Tier 3,5760000000000000.0,repo_raw_table,enemy_damage_table.csv
12500,Tier 3,1.068e+16,repo_raw_table,enemy_damage_table.csv
13000,Tier 3,2.095e+16,repo_raw_table,enemy_damage_table.csv
13500,Tier 3,4.166e+16,repo_raw_table,enemy_damage_table.csv
14500,Tier 3,1.5058e+17,repo_raw_table,enemy_damage_table.csv
15000,Tier 3,2.7789e+17,repo_raw_table,enemy_damage_table.csv
15500,Tier 3,5.2086e+17,repo_raw_table,enemy_damage_table.csv
16000,Tier 3,9.8391e+17,repo_raw_table,enemy_damage_table.csv
16500,Tier 3,1.86e+18,repo_raw_table,enemy_damage_table.csv
17000,Tier 3,3.34e+18,repo_raw_table,enemy_damage_table.csv
17500,Tier 3,6.35e+18,repo_raw_table,enemy_damage_table.csv
18000,Tier 3,1.216e+19,repo_raw_table,enemy_damage_table.csv
18500,Tier 3,2.146e+19,repo_raw_table,enemy_damage_table.csv
19000,Tier 3,4.051e+19,repo_raw_table,enemy_damage_table.csv
19500,Tier 3,7.295999999999999e+19,repo_raw_table,enemy_damage_table.csv
20000,Tier 3,1.3650999999999998e+20,repo_raw_table,enemy_damage_table.csv
21000,Tier 3,4.7733e+20,repo_raw_table,enemy_damage_table.csv
22000,Tier 3,1.6e+21,repo_raw_table,enemy_damage_table.csv
23000,Tier 3,5.18e+21,repo_raw_table,enemy_damage_table.csv
24000,Tier 3,1.7440000000000002e+22,repo_raw_table,enemy_damage_table.csv
25000,Tier 3,5.583e+22,repo_raw_table,enemy_damage_table.csv
30000,Tier 3,2.113e+25,repo_raw_table,enemy_damage_table.csv
35000,Tier 3,6.920000000000001e+27,repo_raw_table,enemy_damage_table.csv
40000,Tier 3,2.15e+30,repo_raw_table,enemy_damage_table.csv
45000,Tier 3,6.3323999999999996e+32,repo_raw_table,enemy_damage_table.csv
50000,Tier 3,1.8104e+35,repo_raw_table,enemy_damage_table.csv
55000,Tier 3,5.172999999999999e+37,repo_raw_table,enemy_damage_table.csv
60000,Tier 3,1.366e+40,repo_raw_table,enemy_damage_table.csv
65000,Tier 3,3.7100000000000004e+42,repo_raw_table,enemy_damage_table.csv
70000,Tier 3,9.7986e+44,repo_raw_table,enemy_damage_table.csv
75000,Tier 3,2.5359999999999998e+47,repo_raw_table,enemy_damage_table.csv
80000,Tier 3,6.352000000000001e+49,repo_raw_table,enemy_damage_table.csv
85000,Tier 3,1.6850000000000002e+52,repo_raw_table,enemy_damage_table.csv
90000,Tier 3,4.17e+54,repo_raw_table,enemy_damage_table.csv
95000,Tier 3,9.9198e+56,repo_raw_table,enemy_damage_table.csv
100000,Tier 3,2.4349000000000003e+59,repo_raw_table,enemy_damage_table.csv
1,Tier 4,135.11,repo_raw_table,enemy_damage_table.csv
10,Tier 4,552.57,repo_raw_table,enemy_damage_table.csv
20,Tier 4,1570.0,repo_raw_table,enemy_damage_table.csv
30,Tier 4,3300.0,repo_raw_table,enemy_damage_table.csv
40,Tier 4,5790.0,repo_raw_table,enemy_damage_table.csv
50,Tier 4,9340.0,repo_raw_table,enemy_damage_table.csv
60,Tier 4,13810.0,repo_raw_table,enemy_damage_table.csv
70,Tier 4,19300.0,repo_raw_table,enemy_damage_table.csv
80,Tier 4,26420.0,repo_raw_table,enemy_damage_table.csv
90,Tier 4,34990.0,repo_raw_table,enemy_damage_table.csv
100,Tier 4,46300.0,repo_raw_table,enemy_damage_table.csv
150,Tier 4,126800.0,repo_raw_table,enemy_damage_table.csv
200,Tier 4,278470.0,repo_raw_table,enemy_damage_table.csv
250,Tier 4,530660.0,repo_raw_table,enemy_damage_table.csv
300,Tier 4,888970.0,repo_raw_table,enemy_damage_table.csv
400,Tier 4,2200000.0,repo_raw_table,enemy_damage_table.csv
500,Tier 4,4470000.0,repo_raw_table,enemy_damage_table.csv
750,Tier 4,17860000.0,repo_raw_table,enemy_damage_table.csv
1000,Tier 4,55490000.0,repo_raw_table,enemy_damage_table.csv
1250,Tier 4,139430000.0,repo_raw_table,enemy_damage_table.csv
1500,Tier 4,299600000.0,repo_raw_table,enemy_damage_table.csv
2000,Tier 4,1220000000.0,repo_raw_table,enemy_damage_table.csv
2500,Tier 4,3930000000.0,repo_raw_table,enemy_damage_table.csv
3000,Tier 4,11630000000.0,repo_raw_table,enemy_damage_table.csv
3500,Tier 4,30440000000.0,repo_raw_table,enemy_damage_table.csv
4500,Tier 4,195190000000.0,repo_raw_table,enemy_damage_table.csv
5000,Tier 4,443180000000.0,repo_raw_table,enemy_damage_table.csv
5500,Tier 4,1020000000000.0,repo_raw_table,enemy_damage_table.csv
6000,Tier 4,2240000000000.0,repo_raw_table,enemy_damage_table.csv
6500,Tier 4,4880000000000.0,repo_raw_table,enemy_damage_table.csv
7000,Tier 4,10450000000000.0,repo_raw_table,enemy_damage_table.csv
7500,Tier 4,22150000000000.0,repo_raw_table,enemy_damage_table.csv
8000,Tier 4,45450000000000.0,repo_raw_table,enemy_damage_table.csv
8500,Tier 4,93950000000000.0,repo_raw_table,enemy_damage_table.csv
9000,Tier 4,192410000000000.0,repo_raw_table,enemy_damage_table.csv
9500,Tier 4,371170000000000.0,repo_raw_table,enemy_damage_table.csv
10000,Tier 4,761860000000000.0,repo_raw_table,enemy_damage_table.csv
10500,Tier 4,1470000000000000.0,repo_raw_table,enemy_damage_table.csv
11000,Tier 4,2900000000000000.0,repo_raw_table,enemy_damage_table.csv
11500,Tier 4,5520000000000000.0,repo_raw_table,enemy_damage_table.csv
12000,Tier 4,1.103e+16,repo_raw_table,enemy_damage_table.csv
12500,Tier 4,2.046e+16,repo_raw_table,enemy_damage_table.csv
13000,Tier 4,4.011e+16,repo_raw_table,enemy_damage_table.csv
13500,Tier 4,7.977e+16,repo_raw_table,enemy_damage_table.csv
14500,Tier 4,2.8834e+17,repo_raw_table,enemy_damage_table.csv
15000,Tier 4,5.3213e+17,repo_raw_table,enemy_damage_table.csv
15500,Tier 4,9.974e+17,repo_raw_table,enemy_damage_table.csv
16000,Tier 4,1.88e+18,repo_raw_table,enemy_damage_table.csv
16500,Tier 4,3.56e+18,repo_raw_table,enemy_damage_table.csv
17000,Tier 4,6.4e+18,repo_raw_table,enemy_damage_table.csv
17500,Tier 4,1.216e+19,repo_raw_table,enemy_damage_table.csv
18000,Tier 4,2.329e+19,repo_raw_table,enemy_damage_table.csv
18500,Tier 4,4.109e+19,repo_raw_table,enemy_damage_table.csv
19000,Tier 4,7.758e+19,repo_raw_table,enemy_damage_table.csv
19500,Tier 4,1.3971e+20,repo_raw_table,enemy_damage_table.csv
20000,Tier 4,2.6139e+20,repo_raw_table,enemy_damage_table.csv
21000,Tier 4,9.1404e+20,repo_raw_table,enemy_damage_table.csv
22000,Tier 4,3.07e+21,repo_raw_table,enemy_damage_table.csv
23000,Tier 4,9.92e+21,repo_raw_table,enemy_damage_table.csv
24000,Tier 4,3.34e+22,repo_raw_table,enemy_damage_table.csv
25000,Tier 4,1.0692e+23,repo_raw_table,enemy_damage_table.csv
30000,Tier 4,4.045e+25,repo_raw_table,enemy_damage_table.csv
35000,Tier 4,1.3260000000000002e+28,repo_raw_table,enemy_damage_table.csv
40000,Tier 4,4.12e+30,repo_raw_table,enemy_damage_table.csv
45000,Tier 4,1.21e+33,repo_raw_table,enemy_damage_table.csv
50000,Tier 4,3.4667e+35,repo_raw_table,enemy_damage_table.csv
55000,Tier 4,9.905e+37,repo_raw_table,enemy_damage_table.csv
60000,Tier 4,2.615e+40,repo_raw_table,enemy_damage_table.csv
65000,Tier 4,7.1e+42,repo_raw_table,enemy_damage_table.csv
70000,Tier 4,1.8799999999999998e+45,repo_raw_table,enemy_damage_table.csv
75000,Tier 4,4.8561999999999995e+47,repo_raw_table,enemy_damage_table.csv
80000,Tier 4,1.2164000000000002e+50,repo_raw_table,enemy_damage_table.csv
85000,Tier 4,3.226e+52,repo_raw_table,enemy_damage_table.csv
90000,Tier 4,7.98e+54,repo_raw_table,enemy_damage_table.csv
95000,Tier 4,1.9000000000000003e+57,repo_raw_table,enemy_damage_table.csv
100000,Tier 4,4.6626e+59,repo_raw_table,enemy_damage_table.csv
1,Tier 5,270.22,repo_raw_table,enemy_damage_table.csv
10,Tier 5,1110.0,repo_raw_table,enemy_damage_table.csv
20,Tier 5,3140.0,repo_raw_table,enemy_damage_table.csv
30,Tier 5,6610.0,repo_raw_table,enemy_damage_table.csv
40,Tier 5,11580.0,repo_raw_table,enemy_damage_table.csv
50,Tier 5,18690.0,repo_raw_table,enemy_damage_table.csv
60,Tier 5,27620.0,repo_raw_table,enemy_damage_table.csv
70,Tier 5,38600.0,repo_raw_table,enemy_damage_table.csv
80,Tier 5,52840.0,repo_raw_table,enemy_damage_table.csv
90,Tier 5,69980.0,repo_raw_table,enemy_damage_table.csv
100,Tier 5,92590.0,repo_raw_table,enemy_damage_table.csv
150,Tier 5,253600.0,repo_raw_table,enemy_damage_table.csv
200,Tier 5,556940.0,repo_raw_table,enemy_damage_table.csv
250,Tier 5,1060000.0,repo_raw_table,enemy_damage_table.csv
300,Tier 5,1780000.0,repo_raw_table,enemy_damage_table.csv
400,Tier 5,4410000.0,repo_raw_table,enemy_damage_table.csv
500,Tier 5,8950000.0,repo_raw_table,enemy_damage_table.csv
750,Tier 5,35720000.0,repo_raw_table,enemy_damage_table.csv
1000,Tier 5,110980000.0,repo_raw_table,enemy_damage_table.csv
1250,Tier 5,278870000.0,repo_raw_table,enemy_damage_table.csv
1500,Tier 5,599190000.0,repo_raw_table,enemy_damage_table.csv
2000,Tier 5,2440000000.0,repo_raw_table,enemy_damage_table.csv
2500,Tier 5,7850000000.0,repo_raw_table,enemy_damage_table.csv
3000,Tier 5,23270000000.0,repo_raw_table,enemy_damage_table.csv
3500,Tier 5,60880000000.0,repo_raw_table,enemy_damage_table.csv
4500,Tier 5,390370000000.0,repo_raw_table,enemy_damage_table.csv
5000,Tier 5,886350000000.0,repo_raw_table,enemy_damage_table.csv
5500,Tier 5,2030000000000.0,repo_raw_table,enemy_damage_table.csv
6000,Tier 5,4480000000000.0,repo_raw_table,enemy_damage_table.csv
6500,Tier 5,9750000000000.0,repo_raw_table,enemy_damage_table.csv
7000,Tier 5,20900000000000.0,repo_raw_table,enemy_damage_table.csv
7500,Tier 5,44300000000000.0,repo_raw_table,enemy_damage_table.csv
8000,Tier 5,90900000000000.0,repo_raw_table,enemy_damage_table.csv
8500,Tier 5,187910000000000.0,repo_raw_table,enemy_damage_table.csv
9000,Tier 5,384810000000000.0,repo_raw_table,enemy_damage_table.csv
9500,Tier 5,742340000000000.0,repo_raw_table,enemy_damage_table.csv
10000,Tier 5,1520000000000000.0,repo_raw_table,enemy_damage_table.csv
10500,Tier 5,2940000000000000.0,repo_raw_table,enemy_damage_table.csv
11000,Tier 5,5800000000000000.0,repo_raw_table,enemy_damage_table.csv
11500,Tier 5,1.103e+16,repo_raw_table,enemy_damage_table.csv
12000,Tier 5,2.206e+16,repo_raw_table,enemy_damage_table.csv
12500,Tier 5,4.092e+16,repo_raw_table,enemy_damage_table.csv
13000,Tier 5,8.022e+16,repo_raw_table,enemy_damage_table.csv
13500,Tier 5,1.5954e+17,repo_raw_table,enemy_damage_table.csv
14500,Tier 5,5.7668e+17,repo_raw_table,enemy_damage_table.csv
15000,Tier 5,1.06e+18,repo_raw_table,enemy_damage_table.csv
15500,Tier 5,1.99e+18,repo_raw_table,enemy_damage_table.csv
16000,Tier 5,3.77e+18,repo_raw_table,enemy_damage_table.csv
16500,Tier 5,7.13e+18,repo_raw_table,enemy_damage_table.csv
17000,Tier 5,1.28e+19,repo_raw_table,enemy_damage_table.csv
17500,Tier 5,2.432e+19,repo_raw_table,enemy_damage_table.csv
18000,Tier 5,4.658e+19,repo_raw_table,enemy_damage_table.csv
18500,Tier 5,8.217e+19,repo_raw_table,enemy_damage_table.csv
19000,Tier 5,1.5516e+20,repo_raw_table,enemy_damage_table.csv
19500,Tier 5,2.7942e+20,repo_raw_table,enemy_damage_table.csv
20000,Tier 5,5.2278999999999993e+20,repo_raw_table,enemy_damage_table.csv
21000,Tier 5,1.83e+21,repo_raw_table,enemy_damage_table.csv
22000,Tier 5,6.13e+21,repo_raw_table,enemy_damage_table.csv
23000,Tier 5,1.985e+22,repo_raw_table,enemy_damage_table.csv
24000,Tier 5,6.679e+22,repo_raw_table,enemy_damage_table.csv
25000,Tier 5,2.1384e+23,repo_raw_table,enemy_damage_table.csv
30000,Tier 5,8.091e+25,repo_raw_table,enemy_damage_table.csv
35000,Tier 5,2.651e+28,repo_raw_table,enemy_damage_table.csv
40000,Tier 5,8.25e+30,repo_raw_table,enemy_damage_table.csv
45000,Tier 5,2.43e+33,repo_raw_table,enemy_damage_table.csv
50000,Tier 5,6.9334e+35,repo_raw_table,enemy_damage_table.csv
55000,Tier 5,1.9811000000000004e+38,repo_raw_table,enemy_damage_table.csv
60000,Tier 5,5.23e+40,repo_raw_table,enemy_damage_table.csv
65000,Tier 5,1.42e+43,repo_raw_table,enemy_damage_table.csv
70000,Tier 5,3.7499999999999997e+45,repo_raw_table,enemy_damage_table.csv
75000,Tier 5,9.7125e+47,repo_raw_table,enemy_damage_table.csv
80000,Tier 5,2.4329e+50,repo_raw_table,enemy_damage_table.csv
85000,Tier 5,6.452e+52,repo_raw_table,enemy_damage_table.csv
90000,Tier 5,1.597e+55,repo_raw_table,enemy_damage_table.csv
95000,Tier 5,3.8000000000000006e+57,repo_raw_table,enemy_damage_table.csv
100000,Tier 5,9.3252e+59,repo_raw_table,enemy_damage_table.csv
1,Tier 6,540.43,repo_raw_table,enemy_damage_table.csv
10,Tier 6,2210.0,repo_raw_table,enemy_damage_table.csv
20,Tier 6,6270.0,repo_raw_table,enemy_damage_table.csv
30,Tier 6,13220.0,repo_raw_table,enemy_damage_table.csv
40,Tier 6,23170.0,repo_raw_table,enemy_damage_table.csv
50,Tier 6,37380.0,repo_raw_table,enemy_damage_table.csv
60,Tier 6,55240.0,repo_raw_table,enemy_damage_table.csv
70,Tier 6,77200.0,repo_raw_table,enemy_damage_table.csv
