uw_name,level_index,value,cost,provenance,plus_track_name
Smart Missiles,18,,18,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,19,,19,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,20,,20,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,21,,21,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,22,,22,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,23,,23,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,24,,24,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,25,,25,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,26,,26,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,27,,27,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,28,,28,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,29,,29,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Smart Missiles,30,,30,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Cover Fire
Death Wave,0,,0,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,1,0.0,1,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,2,1.0,2,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,3,2.0,3,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,4,3.0,4,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,5,4.0,5,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,6,5.0,6,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,7,6.0,7,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,8,7.0,8,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,9,8.0,9,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,10,9.0,10,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,11,10.0,11,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,12,11.0,12,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,13,12.0,13,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,14,13.0,14,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,15,14.0,15,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,16,,16,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,17,,17,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,18,,18,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,19,,19,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,20,,20,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,21,,21,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,22,,22,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,23,,23,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,24,,24,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,25,,25,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,26,,26,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,27,,27,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,28,,28,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,29,,29,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Death Wave,30,,30,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Kill Wall
Chrono Field,0,,0,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,1,0.0,1,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,2,1.0,2,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,3,2.0,3,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,4,3.0,4,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,5,4.0,5,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,6,5.0,6,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,7,6.0,7,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,8,7.0,8,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,9,8.0,9,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,10,9.0,10,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,11,10.0,11,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,12,11.0,12,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,13,12.0,13,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,14,13.0,14,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,15,,15,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,16,,16,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,17,,17,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,18,,18,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,19,,19,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,20,,20,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,21,,21,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,22,,22,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,23,,23,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,24,,24,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,25,,25,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,26,,26,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,27,,27,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,28,,28,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,29,,29,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,30,,30,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,31,,31,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,32,,32,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,33,,33,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,34,,34,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Chrono Field,35,,35,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Chrono Loop
Inner Land Mines,0,,0,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,1,0.0,1,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,2,1.0,2,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,3,2.0,3,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,4,3.0,4,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,5,4.0,5,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,6,5.0,6,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,7,6.0,7,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,8,7.0,8,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,9,8.0,9,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,10,9.0,10,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,11,10.0,11,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,12,11.0,12,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,13,12.0,13,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,14,13.0,14,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,15,14.0,15,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,16,,16,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,17,,17,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,18,,18,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,19,,19,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,20,,20,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,21,,21,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,22,,22,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,23,,23,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,24,,24,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,25,,25,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,26,,26,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,27,,27,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,28,,28,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,29,,29,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Inner Land Mines,30,,30,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Charged Mines
Golden Tower,0,0.0,0,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,1,1.0,1,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,2,2.0,2,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,3,3.0,3,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,4,4.0,4,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,5,5.0,5,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,6,6.0,6,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,7,7.0,7,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,8,8.0,8,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,9,9.0,9,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,10,10.0,10,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,11,11.0,11,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,12,12.0,12,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,13,13.0,13,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,14,14.0,14,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,15,15.0,15,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,16,16.0,16,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,17,17.0,17,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,18,18.0,18,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,19,19.0,19,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,20,20.0,20,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,21,21.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,22,22.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,23,23.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,24,24.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,25,25.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,26,26.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,27,27.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,28,28.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,29,29.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,30,30.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,31,31.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,32,32.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,33,33.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,34,34.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,35,35.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,36,36.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,37,37.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,38,38.0,,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,0,,0,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,1,0.0,1,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,2,1.0,2,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,3,2.0,3,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,4,3.0,4,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,5,4.0,5,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,6,5.0,6,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,7,6.0,7,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,8,7.0,8,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,9,8.0,9,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,10,9.0,10,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,11,10.0,11,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,12,11.0,12,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,13,12.0,13,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,14,13.0,14,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,15,14.0,15,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,16,,16,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,17,,17,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,18,,18,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,19,,19,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,20,,20,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,21,,21,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,22,,22,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,23,,23,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,24,,24,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,25,,25,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,26,,26,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,27,,27,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,28,,28,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,29,,29,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,30,,30,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,31,,31,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,32,,32,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,33,,33,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,34,,34,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,35,,35,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,36,,36,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,37,,37,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Golden Tower,38,,38,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Golden Combo
Poison Swamp,0,,0,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,1,0.0,1,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,2,1.0,2,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,3,2.0,3,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,4,3.0,4,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,5,4.0,5,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,6,5.0,6,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,7,6.0,7,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,8,7.0,8,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,9,8.0,9,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,10,9.0,10,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,11,10.0,11,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,12,11.0,12,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,13,12.0,13,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,14,13.0,14,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,15,14.0,15,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,16,,16,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,17,,17,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,18,,18,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,19,,19,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,20,,20,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,21,,21,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,22,,22,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,23,,23,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,24,,24,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,25,,25,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,26,,26,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,27,,27,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,28,,28,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,29,,29,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Poison Swamp,30,,30,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Death Creep
Black Hole,0,,0,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Consume
Black Hole,1,0.0,1,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Consume
Black Hole,2,1.0,2,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Consume
Black Hole,3,2.0,3,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Consume
Black Hole,4,3.0,4,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Consume
Black Hole,5,4.0,5,Effective Paths Data_Val_Tables token columns (tests fixture snapshot).,Consume
