card_id,source_family,source_surface,target_layer,application_gate,status
EXTRA_DEFENSE,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
EXTRA_ORB,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
EXTRA_ORB,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
FORTRESS,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
FORTRESS,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
FREE_UPGRADES,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
FREE_UPGRADES,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
HEALTH,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
HEALTH,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
HEALTH_REGEN,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
HEALTH_REGEN,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
INTRO_SPRINT,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
INTRO_SPRINT,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
LAND_MINE_STUN,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
LAND_MINE_STUN,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
NUKE,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
NUKE,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
RECOVERY_PACKAGE_CHANCE,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
RECOVERY_PACKAGE_CHANCE,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
PLASMA_CANNON,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
PLASMA_CANNON,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
RANGE,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
RANGE,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
SECOND_WIND,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
SECOND_WIND,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
SLOW_AURA,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
SLOW_AURA,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
SUPER_TOWER,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
SUPER_TOWER,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
ULTIMATE_CRIT,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
ULTIMATE_CRIT,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
WAVE_ACCELERATOR,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
WAVE_ACCELERATOR,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
WAVE_SKIP,card_base_level,card-base-ladders.csv,base_card,equipped_and_slot_available,active_or_partial_bundle_surface
WAVE_SKIP,card_mastery_level,card-masteries.csv,mastery,mastery_unlocked_and_card_equipped,active_where_mastery_exists
