level,cooldown_seconds,cooldown_bits,duration_seconds,duration_bits,cash_bonus_multiplier,cash_bonus_bits,status,source_url
53,87.0,105.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
54,86.0,107.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
55,85.0,109.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
56,84.0,111.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
57,83.0,113.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
58,82.0,115.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
59,81.0,117.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
60,80.0,119.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
61,79.0,121.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
62,78.0,123.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
63,77.0,125.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
64,76.0,127.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
65,75.0,129.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
66,74.0,131.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
67,73.0,133.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
68,72.0,135.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
69,71.0,137.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
70,70.0,139.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
