perk_id,perk_name,effect_index,target_stat_id,operation,effect_value,scope,status,source,spb_applies,spb_formula_class,integrality_policy
PERK_GOLDEN_TOWER_BONUS_X1_5,Golden Tower Bonus x1.5,1,uw_golden_tower_bonus,multiplier,1.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_CHAIN_LIGHTNING_DAMAGE_X2,Chain Lightning Damage x2,1,uw_chain_lightning_damage,multiplier,2.00,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_CHRONO_FIELD_DURATION_5S,Chrono Field Duration +5s,1,uw_chrono_field_duration_seconds,seconds_add,5,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_BLACK_HOLE_DURATION_12_0S,Black Hole Duration +12.0s,1,uw_black_hole_duration_seconds,seconds_add,12,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_SPOTLIGHT_DAMAGE_BONUS_X1_5,Spotlight Damage Bonus x1.5,1,uw_spotlight_damage_bonus,multiplier,1.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X1_50_TOWER_DAMAGE_BUT_BOSSES_HAVE_8X_HEALTH,"x1.50 Tower Damage, but Bosses Have 8x Health",1,tower_damage,multiplier,1.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X1_50_TOWER_DAMAGE_BUT_BOSSES_HAVE_8X_HEALTH,"x1.50 Tower Damage, but Bosses Have 8x Health",2,boss_health,multiplier,8.00,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X1_80_COINS_BUT_TOWER_MAX_HEALTH_70,"x1.80 coins, but Tower Max Health -70%",1,coins_per_kill_bonus,multiplier,1.80,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X1_80_COINS_BUT_TOWER_MAX_HEALTH_70,"x1.80 coins, but Tower Max Health -70%",2,tower_hp,remaining_fraction,0.30,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_ENEMIES_HAVE_50_HEALTH_BUT_TOWER_HEALTH_REGEN_AND_LIFESTEAL_90,"Enemies Have -50% Health, but Tower Health Regen and Lifesteal -90%",1,enemy_health,remaining_fraction,0.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_ENEMIES_HAVE_50_HEALTH_BUT_TOWER_HEALTH_REGEN_AND_LIFESTEAL_90,"Enemies Have -50% Health, but Tower Health Regen and Lifesteal -90%",2,tower_regen,remaining_fraction,0.10,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_ENEMIES_HAVE_50_HEALTH_BUT_TOWER_HEALTH_REGEN_AND_LIFESTEAL_90,"Enemies Have -50% Health, but Tower Health Regen and Lifesteal -90%",3,lifesteal,remaining_fraction,0.10,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_ENEMIES_DAMAGE_50_BUT_TOWER_DAMAGE_50,"Enemies Damage -50%, but Tower Damage -50%",1,enemy_damage,remaining_fraction,0.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_ENEMIES_DAMAGE_50_BUT_TOWER_DAMAGE_50,"Enemies Damage -50%, but Tower Damage -50%",2,tower_damage,remaining_fraction,0.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_RANGED_ENEMIES_ATTACK_DISTANCE_REDUCED_BUT_TOWER_RANGED_ENEMIES_DAMAGE_X3,"Ranged Enemies Attack Distance Reduced, But Tower Ranged Enemies Damage x3",1,ranged_enemy_attack_distance,special_reduction,wiki_named_effect,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,,,
PERK_RANGED_ENEMIES_ATTACK_DISTANCE_REDUCED_BUT_TOWER_RANGED_ENEMIES_DAMAGE_X3,"Ranged Enemies Attack Distance Reduced, But Tower Ranged Enemies Damage x3",2,ranged_enemy_damage,multiplier,3.00,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_ENEMIES_SPEED_40_BUT_ENEMIES_DAMAGE_X2_5,"Enemies Speed -40%, But Enemies Damage x2.5",1,enemy_speed,remaining_fraction,0.60,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_ENEMIES_SPEED_40_BUT_ENEMIES_DAMAGE_X2_5,"Enemies Speed -40%, But Enemies Damage x2.5",2,enemy_damage,multiplier,2.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X12_00_CASH_PER_WAVE_BUT_ENEMY_KILL_DON_T_GIVE_CASH,"x12.00 Cash Per Wave, But Enemy Kill Don't Give Cash",1,cash_per_wave,multiplier,12.00,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_X12_00_CASH_PER_WAVE_BUT_ENEMY_KILL_DON_T_GIVE_CASH,"x12.00 Cash Per Wave, But Enemy Kill Don't Give Cash",2,enemy_kill_cash,set_to,0,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,,,
PERK_TOWER_HEALTH_REGEN_X8_00_BUT_TOWER_MAX_MAX_HEALTH_60,"Tower Health Regen x8.00, But Tower Max Max Health -60%",1,tower_regen,multiplier,8.00,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_TOWER_HEALTH_REGEN_X8_00_BUT_TOWER_MAX_MAX_HEALTH_60,"Tower Health Regen x8.00, But Tower Max Max Health -60%",2,tower_hp,remaining_fraction,0.40,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_BOSS_HEALTH_70_BUT_BOSS_SPEED_50,"Boss Health -70%, But Boss Speed +50%",1,boss_health,remaining_fraction,0.30,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
PERK_BOSS_HEALTH_70_BUT_BOSS_SPEED_50,"Boss Health -70%, But Boss Speed +50%",2,boss_speed,multiplier,1.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_LIFESTEAL_X2_50_BUT_KNOCKBACK_FORCE_70,"Lifesteal x2.50, But Knockback force -70%",1,lifesteal,multiplier,2.50,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,multiplicative,none
PERK_LIFESTEAL_X2_50_BUT_KNOCKBACK_FORCE_70,"Lifesteal x2.50, But Knockback force -70%",2,knockback_force,remaining_fraction,0.30,run,row_verified_against_live_wiki_perks_page_or_formula,kb/perks/sources/wiki-perks-baselines.md,yes,additive,none
