wave_actual,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,Tier 10,Tier 11,Tier 12,Tier 13,Tier 14,Tier 15,Tier 16,Tier 17,Tier 18,Tier 19,Tier 20,Tier 21,Champion,Copper,Gold,Legend,Platinum,Silver
750,155440.0,3110000.0,9330000.0,17860000.0,35720000.0,71440000.0,154460000.0,341000000.0,1020000000.0,3150000000.0,41550000000.0,2770000000000.0,32850000000000.0,235370000000000.0,1710000000000000.0,1.424e+16,8.547e+16,4.2733e+17,1.1111e+20,2.667e+22,6.400000000000001e+24,439050000000000.0,24620000.0,5660000000.0,1.36e+19,54010000000.0,1480000000.0
1000,482950.0,9660000.0,28980000.0,55490000.0,110980000.0,221950000.0,504210000.0,1140000000.0,3420000000.0,10560000000.0,139190000000.0,9320000000000.0,111430000000000.0,804910000000000.0,5900000000000000.0,4.913e+16,2.948e+17,1.47e+18,3.8323e+20,9.198e+22,2.207e+25,1850000000000000.0,95760000.0,22000000000.0,5.865e+19,226220000000.0,5750000000.0
1250,1210000.0,24270000.0,72810000.0,139430000.0,278870000.0,557730000.0,1300000000.0,3010000000.0,9040000000.0,27890000000.0,367810000000.0,24720000000000.0,297310000000000.0,2160000000000000.2,1.593e+16,1.3279e+17,7.9674e+17,3.98e+18,1.04e+21,2.4858e+23,5.966e+25,6350000000000000.0,311530000.0,71590000000.0,2.0511e+20,773230000000.0,18690000000.0
1500,2610000.0,52150000.0,156460000.0,299600000.0,599190000.0,1200000000.0,2930000000.0,7140000000.0,21430000000.0,66180000000.00001,873020000000.0,58850000000000.0,711260000000000.0,5200000000000000.0,3.852e+16,3.21e+17,1.93e+18,9.63e+18,2.5e+21,6.0091999999999996e+23,1.4422e+26,1.818e+16,805040000.0,184990000000.0,5.9605e+20,2210000000000.0,48300000000.0
2000,10640000.0,212710000.0,638120000.0,1220000000.0,2440000000.0,4890000000.0,13200000000.0,33790000000.0,101370000000.0,313230000000.0,4130000000000.0,280010000000000.0,3410000000000000.0,2.511e+16,1.8773e+17,1.56e+18,9.39e+18,4.693e+19,1.22e+22,2.93e+24,7.0287e+26,1.2882e+17,4890000000.0,1120000000000.0,4.3200000000000005e+21,15540000000000.0,293410000000.0
2500,34180000.0,683520000.0,2049999999.9999998,3930000000.0,7850000000.0,15710000000.0,45670000000.0,125920000000.0,377770000000.0,1170000000000.0,15420000000000.0,1050000000000000.0,1.284e+16,9.514e+16,7.1597e+17,5.97e+18,3.5799999999999996e+19,1.7899e+20,4.654e+22,1.1169999999999999e+25,2.6800000000000004e+27,7.0099e+17,22840000000.0,5250000000000.0,2.397e+22,84170000000000.0,1370000000000.0
3000,101250000.0,2020000000.0,6070000000.0,11630000000.0,23270000000.0,46530000000.0,149360000000.0,443450000000.0,1330000000000.0,4110000000000.0005,54340000000000.0,3710000000000000.0,4.561e+16,3.3959e+17,2.57e+18,2.141e+19,1.2847e+20,6.423300000000001e+20,1.6701e+23,4.008e+25,9.619999999999999e+27,3.55e+18,96900000000.0,22270000000000.0,1.2311e+23,424400000000000.0,5810000000000.0
3500,264950000.0,5300000000.0,15900000000.0,30440000000.0,60880000000.0,121760000000.0,431410000000.0,1380000000000.0,4139999999999.9995,12800000000000.0,169150000000000.0,1.156e+16,1.4288999999999998e+17,1.07e+18,8.119999999999999e+18,6.767e+19,4.06e+20,2.0299999999999997e+21,5.2779999999999993e+23,1.2667e+26,3.0399999999999997e+28,1.568e+19,359250000000.0,82550000000000.0,5.5113e+23,1870000000000000.0,21560000000000.0
4500,1700000000.0,33979999999.999996,101930000000.0,195190000000.0,390370000000.0,780750000000.0,3290000000000.0,11890000000000.0,35680000000000.0,110450000000000.0,1460000000000000.0,1.0021e+17,1.25e+18,9.39e+18,7.186e+19,5.9882e+20,3.59e+21,1.796e+22,4.67e+24,1.1200000000000001e+27,2.6904000000000003e+29,2.6708999999999997e+20,4530000000000.0,1040000000000000.0,9.58e+24,3.17e+16,271620000000000.0
5000,3860000000.0,77150000000.0,231440000000.0,443180000000.0,886350000000.0,1770000000000.0,8039999999999.999,31320000000000.0,93960000000000.0,290880000000000.0,3850000000000000.0,2.6442e+17,3.3e+18,2.491e+19,1.9127e+20,1.59e+21,9.56e+21,4.782e+22,1.243e+25,2.98e+27,7.1613e+29,9.8058e+20,14300000000000.0,3290000000000000.0,3.549e+25,1.1612e+17,858060000000000.0
5500,8840000000.0,176740000000.0,530230000000.0,1020000000000.0,2029999999999.9998,4059999999999.9995,20330000000000.0,85300000000000.0,255890000000000.0,792320000000000.0,1.048e+16,7.215e+17,9.02e+18,6.831e+19,5.2603e+20,4.38e+21,2.63e+22,1.3151e+23,3.4189999999999997e+25,8.210000000000001e+27,1.97e+30,3.71e+21,45420000000000.0,1.044e+16,1.3527000000000001e+26,4.3837e+17,2730000000000000.0
6000,19480000000.0,389650000000.0,1170000000000.0,2240000000000.0,4480000000000.0,8950000000000.0,49480000000000.0,218080000000000.0,654230000000000.0,2029999999999999.8,2.68e+16,1.85e+18,2.316e+19,1.7576e+20,1.36e+21,1.131e+22,6.784999999999999e+22,3.3924e+23,8.82e+25,2.117e+28,5.08e+30,1.3130000000000002e+22,138370000000000.0,3.18e+16,4.8219e+26,1.55e+18,8300000000000001.0
6500,42450000000.0,849040000000.0,2550000000000.0,4880000000000.0,9750000000000.0,19510000000000.0,116100000000000.0,551059999999999.94,1650000000000000.0,5120000000000000.0,6.773999999999999e+16,4.68e+18,5.875e+19,4.4674e+20,3.46e+21,2.8809999999999997e+22,1.7286e+23,8.642999999999999e+23,2.2472e+26,5.3930000000000005e+28,1.294e+31,4.579e+22,415570000000000.0,9.549e+16,1.69e+27,5.39e+18,2.493e+16
7000,90960000000.0,1820000000000.0,5460000000000.0,10450000000000.0,20900000000000.0,41800000000000.0,274589999999999.97,1400000000000000.0,4210000000000000.0,1.304e+16,1.7259e+17,1.193e+19,1.5015e+20,1.1399999999999999e+21,8.869999999999999e+21,7.3939999999999995e+22,4.4363e+23,2.2200000000000002e+24,5.7672e+26,1.3841e+29,3.322e+31,1.6064e+23,1220000000000000.0,2.8141000000000003e+17,5.98e+27,1.89e+19,7.348e+16
7500,192770000000.0,3860000000000.0,11570000000000.0,22150000000000.0,44300000000000.0,88590000000000.0,626670000000000.0,3450000000000000.0,1.035e+16,3.2060000000000004e+16,4.2429e+17,2.936e+19,3.7021e+20,2.83e+21,2.1960000000000002e+22,1.83e+23,1.1e+24,5.49e+24,1.4299999999999999e+27,3.4258e+29,8.222e+31,5.4271e+23,3560000000000000.0,8.1864e+17,2.03e+28,6.375e+19,2.1376e+17
8000,395590000000.0,7910000000000.0,23740000000000.0,45450000000000.0,90900000000000.0,181800000000000.0,1420000000000000.0,8210000000000001.0,2.463e+16,7.631e+16,1.01e+18,6.997e+19,8.8368e+20,6.76e+21,5.2609999999999995e+22,4.3842000000000004e+23,2.63e+24,1.315e+25,3.42e+27,8.207200000000001e+29,1.9697e+32,1.77e+24,1.002e+16,2.2999999999999997e+18,6.6659999999999995e+28,2.0792e+20,6.0117e+17
8500,817750000000.0,16350000000000.002,49060000000000.0,93950000000000.0,187910000000000.0,375810000000000.0,3240000000000000.0,2.017e+16,6.052e+16,1.8754e+17,2.48e+18,1.7213e+20,2.1800000000000003e+21,1.668e+22,1.3008000000000001e+23,1.0800000000000001e+24,6.5e+24,3.2520000000000003e+25,8.460000000000001e+27,2.0299999999999998e+30,4.8702e+32,5.969999999999999e+24,2.834e+16,6.51e+18,2.2555e+29,6.9918e+20,1.7e+18
9000,1670000000000.0,33490000000000.004,100480000000000.0,192410000000000.0,384810000000000.0,769620000000000.0,7140000000000000.0,4.791e+16,1.4372e+17,4.4544e+17,5.9e+18,4.0926e+20,5.19e+21,3.978e+22,3.1074e+23,2.5899999999999996e+24,1.554e+25,7.769e+25,2.02e+28,4.8499999999999996e+30,1.1599999999999999e+33,1.939e+25,7.933e+16,1.823e+19,7.3639e+29,2.27e+21,4.76e+18
9500,3230000000000.0,64610000000000.0,193830000000000.0,371170000000000.0,742340000000000.0,1480000000000000.0,1.521e+16,1.0985e+17,3.2956e+17,1.02e+18,1.353e+19,9.395e+20,1.192e+22,9.156999999999999e+22,7.1652e+23,5.969999999999999e+24,3.5829999999999997e+25,1.7913e+26,4.657e+28,1.118e+31,2.68e+33,6.077e+25,2.0893e+17,4.801e+19,2.32e+30,7.1e+21,1.254e+19
10000,6630000000000.0,132620000000000.0,397860000000000.0,761860000000000.0,1520000000000000.0,3050000000000000.0,3.3619999999999996e+16,2.5511e+17,7.6534e+17,2.37e+18,3.142e+19,2.1800000000000003e+21,2.775e+22,2.1346000000000002e+23,1.67e+24,1.394e+25,8.364e+25,4.1819e+26,1.0873000000000001e+29,2.6100000000000004e+31,6.26e+33,1.9266e+26,5.8485e+17,1.3438999999999998e+20,7.38e+30,2.25e+22,3.5090000000000004e+19
10500,12780000000000.0,255640000000000.0,766930000000000.0,1470000000000000.0,2940000000000000.0,5870000000000000.0,7.154000000000001e+16,5.8456e+17,1.75e+18,5.44e+18,7.2e+19,5.01e+21,6.372e+22,4.9087e+23,3.85e+24,3.21e+25,1.9261e+26,9.630299999999999e+26,2.5039e+29,6.009e+31,1.4419999999999999e+34,6.0205999999999995e+26,1.54e+18,3.5297e+20,2.316e+31,7.025e+22,9.216e+19
11000,25230000000000.0,504640000000000.0,1510000000000000.0,2900000000000000.0,5800000000000000.0,1.16e+16,1.5588e+17,1.37e+18,4.1100000000000005e+18,1.276e+19,1.6898e+20,1.177e+22,1.4984e+23,1.1599999999999999e+24,9.08e+24,7.568e+25,4.5410000000000004e+26,2.2700000000000002e+27,5.903300000000001e+29,1.4168e+32,3.4e+34,1.93e+27,4.13e+18,9.485499999999999e+20,7.432e+31,2.244e+23,2.4768e+20
11500,48010000000000.0,960300000000000.0,2880000000000000.0,5520000000000000.0,1.103e+16,2.207e+16,3.1943e+17,3.03e+18,9.08e+18,2.816e+19,3.7297e+20,2.599e+22,3.3135e+23,2.56e+24,2.0129999999999997e+25,1.6778e+26,1.01e+27,5.03e+27,1.31e+30,3.1408e+32,7.537999999999999e+34,5.780000000000001e+27,1.069e+19,2.46e+21,2.2412e+32,6.7365e+23,6.4114e+20
12000,96020000000000.0,1920000000000000.0,5760000000000000.0,1.103e+16,2.206e+16,4.413e+16,7.0509e+17,7.02e+18,2.106e+19,6.531e+19,8.651e+20,6.032e+22,7.699500000000001e+23,5.95e+24,4.69e+25,3.908e+26,2.34e+27,1.1720000000000001e+28,3.05e+30,7.315700000000001e+32,1.7558e+35,1.825e+28,2.905e+19,6.669999999999999e+21,7.096200000000001e+32,2.12e+24,1.74e+21
12500,178070000000000.0,3560000000000000.0,1.068e+16,2.046e+16,4.092e+16,8.184e+16,1.41e+18,1.51e+19,4.529e+19,1.4047e+20,1.86e+21,1.2983000000000002e+23,1.66e+24,1.284e+25,1.0128e+26,8.4401e+26,5.06e+27,2.532e+28,6.58e+30,1.58e+33,3.7919e+35,5.3369999999999996e+28,7.318000000000001e+19,1.6820000000000001e+22,2.0799999999999999e+33,6.2e+24,4.3899999999999995e+21
13000,349100000000000.0,6980000000000000.0,2.095e+16,4.011e+16,8.022e+16,1.6044e+17,3.05e+18,3.518e+19,1.0555e+20,3.2738e+20,4.34e+21,3.028e+23,3.87e+24,3.001e+25,2.3697e+26,1.97e+27,1.185e+28,5.924e+28,1.5400000000000002e+31,3.7e+33,8.8722e+35,1.6898e+29,1.948e+20,4.476e+22,6.61e+33,1.963e+25,1.169e+22
13500,694300000000000.0,1.389e+16,4.166e+16,7.977e+16,1.5954e+17,3.1908e+17,6.69e+18,8.318e+19,2.4953e+20,7.7401e+20,1.026e+22,7.1639e+23,9.17e+24,7.114e+25,5.6238999999999995e+26,4.6900000000000006e+27,2.812e+28,1.406e+29,3.656e+31,8.769999999999999e+33,2.11e+36,5.425e+29,5.2572e+20,1.2079999999999999e+23,2.13e+34,6.2979999999999995e+25,3.154e+22
14500,2510000000000000.0,5.019e+16,1.5058e+17,2.8834e+17,5.7668e+17,1.1499999999999999e+18,2.874e+19,4.0434e+20,1.21e+21,3.76e+21,4.987e+22,3.49e+24,4.474e+25,3.4767000000000004e+26,2.75e+27,2.295e+28,1.3769999999999999e+29,6.885e+29,1.7901e+32,4.296e+34,1.0310000000000001e+37,4.8600000000000004e+30,3.49e+21,8.0286e+23,1.9177e+35,5.6292999999999994e+26,2.0964e+23
15000,4630000000000000.0,9.263e+16,2.7789e+17,5.3213e+17,1.06e+18,2.13e+18,5.712e+19,8.653700000000001e+20,2.6e+21,8.050000000000001e+21,1.0674e+23,7.469999999999999e+24,9.590000000000001e+25,7.4592e+26,5.91e+27,4.929e+28,2.9573000000000003e+29,1.48e+30,3.8445e+32,9.226999999999999e+34,2.2140000000000003e+37,1.409e+31,8.74e+21,2.0099999999999997e+24,5.580499999999999e+35,1.63e+27,5.2424e+23
15500,8680000000000000.0,1.7362e+17,5.2086e+17,9.974e+17,1.99e+18,3.99e+18,1.1819e+20,1.93e+21,5.78e+21,1.7949999999999998e+22,2.3785e+23,1.6649999999999999e+25,2.1399e+26,1.6699999999999998e+27,1.322e+28,1.1018000000000002e+29,6.611000000000001e+29,3.31e+30,8.5943e+32,2.0625999999999998e+35,4.950000000000001e+37,4.255e+31,2.218e+22,5.1e+24,1.69e+36,4.93e+27,1.33e+24
16000,1.6399999999999998e+16,3.2797e+17,9.8391e+17,1.88e+18,3.77e+18,7.54e+18,2.4643e+20,4.22e+21,1.267e+22,3.932e+22,5.2113e+23,3.65e+25,4.6947e+26,3.66e+27,2.9059999999999997e+28,2.4216e+29,1.45e+30,7.26e+30,1.8899999999999998e+33,4.5332999999999996e+35,1.088e+38,1.263e+32,5.673e+22,1.3039999999999998e+25,5.0300000000000003e+36,1.461e+28,3.4e+24
16500,3.101e+16,6.2023e+17,1.86e+18,3.56e+18,7.13e+18,1.425e+19,5.0186e+20,9.26e+21,2.779e+22,8.623999999999999e+22,1.1399999999999999e+24,8.011e+25,1.03e+27,8.039999999999999e+27,6.393e+28,5.3275999999999996e+29,3.2000000000000003e+30,1.598e+31,4.1599999999999997e+33,9.9733e+35,2.3936e+38,3.7514e+32,1.4521999999999999e+23,3.3369999999999998e+25,1.4970000000000002e+37,4.3380000000000006e+28,8.710000000000001e+24
17000,5.57e+16,1.1100000000000001e+18,3.34e+18,6.4e+18,1.28e+19,2.56e+19,9.9504e+20,1.9780000000000003e+22,5.9340000000000005e+22,1.8413999999999997e+23,2.44e+24,1.7114e+26,2.2000000000000001e+27,1.7210000000000001e+28,1.3692e+29,1.14e+30,6.85e+30,3.4229999999999997e+31,8.899999999999999e+33,2.1400000000000003e+36,5.1263e+38,1.08e+33,3.5293e+23,8.109999999999999e+25,4.3390000000000005e+37,1.2531000000000001e+29,2.118e+25
17500,1.0583e+17,2.12e+18,6.35e+18,1.216e+19,2.432e+19,4.864e+19,2.04e+21,4.358e+22,1.3073e+23,4.0573e+23,5.38e+24,3.7729e+26,4.8600000000000003e+27,3.7990000000000005e+28,3.0256999999999998e+29,2.5200000000000002e+30,1.5130000000000001e+31,7.564e+31,1.967e+34,4.72e+36,1.1299999999999998e+39,3.23e+33,9.0694e+23,2.084e+26,1.2968000000000001e+38,3.7345e+29,5.442e+25
18000,2.0271e+17,4.05e+18,1.216e+19,2.329e+19,4.658e+19,9.316e+19,4.3e+21,9.68e+22,2.9039999999999997e+23,9.013e+23,1.195e+25,8.385499999999999e+26,1.082e+28,8.456e+28,6.7404e+29,5.62e+30,3.3700000000000004e+31,1.6851e+32,4.381e+34,1.052e+37,2.52e+39,9.720000000000001e+33,2.35e+24,5.3976999999999996e+26,3.9063e+38,1.1200000000000001e+30,1.4094e+26
18500,3.5761e+17,7.15e+18,2.146e+19,4.109e+19,8.217e+19,1.6435e+20,8.380000000000001e+21,2.0297999999999998e+23,6.0895e+23,1.8899999999999998e+24,2.506e+25,1.76e+27,2.271e+28,1.7767e+29,1.42e+30,1.1810000000000001e+31,7.0870000000000005e+31,3.5435e+32,9.213e+34,2.211e+37,5.3099999999999995e+39,2.756e+34,5.599999999999999e+24,1.29e+27,1.11e+39,3.1800000000000003e+30,3.3611e+26
19000,6.7521e+17,1.35e+19,4.051e+19,7.758e+19,1.5516e+20,3.1031e+20,1.704e+22,4.4447e+23,1.33e+24,4.1399999999999994e+24,5.488e+25,3.8500000000000003e+27,4.98e+28,3.898e+29,3.11e+30,2.593e+31,1.5561000000000001e+32,7.7803e+32,2.0229e+35,4.855e+37,1.165e+40,8.159999999999999e+34,1.4289999999999998e+25,3.28e+27,3.29e+39,9.410000000000001e+30,8.5764e+26
19500,1.22e+18,2.432e+19,7.295999999999999e+19,1.3971e+20,2.7942e+20,5.5884e+20,3.388e+22,9.5148e+23,2.85e+24,8.859999999999999e+24,1.1748999999999999e+26,8.26e+27,1.0673000000000001e+29,8.360399999999999e+29,6.679999999999999e+30,5.5670000000000005e+31,3.3399000000000004e+32,1.6699999999999998e+33,4.3418999999999995e+35,1.0421e+38,2.501e+40,2.3615e+35,3.478e+25,7.99e+27,9.56e+39,2.721e+31,2.09e+27
20000,2.2799999999999997e+18,4.55e+19,1.3650999999999998e+20,2.6139e+20,5.2278999999999993e+20,1.05e+21,6.826000000000001e+22,2.0099999999999997e+24,6.04e+24,1.8760000000000001e+25,2.4872e+26,1.748e+28,2.2618000000000002e+29,1.77e+30,1.418e+31,1.1814e+32,7.0884e+32,3.54e+33,9.214899999999999e+35,2.2116e+38,5.307999999999999e+40,6.755700000000001e+35,8.79e+25,2.02e+28,2.739e+40,7.781e+31,5.269999999999999e+27
21000,7.96e+18,1.5911e+20,4.7733e+20,9.1404e+20,1.83e+21,3.66e+21,2.9081e+23,9.949999999999999e+24,2.9850000000000002e+25,9.269e+25,1.23e+27,8.648e+28,1.1200000000000001e+30,8.789999999999999e+30,7.040000000000001e+31,5.8663e+32,3.52e+33,1.76e+34,4.5800000000000005e+36,1.1e+39,2.6356e+41,6.09e+36,5.6041e+26,1.2878e+29,2.48e+41,7.0102e+32,3.3619999999999996e+28
22000,2.669e+19,5.3378999999999993e+20,1.6e+21,3.07e+21,6.13e+21,1.227e+22,1.1599999999999999e+24,4.49e+25,1.3469999999999999e+26,4.1824e+26,5.55e+27,3.9052999999999996e+29,5.06e+30,3.98e+31,3.1913e+32,2.66e+33,1.596e+34,7.978e+34,2.0739999999999999e+37,4.98e+39,1.19e+42,5.012e+37,3.43e+27,7.870599999999999e+29,2.05e+42,5.76e+33,2.0550999999999998e+29
23000,8.638e+19,1.73e+21,5.18e+21,9.92e+21,1.985e+22,3.97e+22,4.46e+24,2.0031999999999998e+26,6.0095e+26,1.8700000000000002e+27,2.4750000000000002e+28,1.74e+30,2.264e+31,1.7815e+32,1.43e+33,1.192e+34,7.151e+34,3.5756999999999994e+35,9.297e+37,2.2309999999999996e+40,5.35e+42,4.0743e+38,2.018e+28,4.64e+30,1.6710000000000003e+43,4.679999999999999e+34,1.21e+30
24000,2.9068e+20,5.81e+21,1.7440000000000002e+22,3.3399999999999998e+22,6.679e+22,1.3359e+23,1.785e+25,9.066e+26,2.72e+27,8.449999999999999e+27,1.1204e+29,7.900000000000001e+30,1.0267e+32,8.088e+32,6.5e+33,5.418e+34,3.2506999999999996e+35,1.63e+36,4.2259e+38,1.0142e+41,2.4340000000000003e+43,3.3599999999999994e+39,1.2353e+29,2.839e+31,1.3818000000000001e+44,3.8529e+35,7.41e+30
25000,9.3058e+20,1.861e+22,5.583e+22,1.0692e+23,2.1384e+23,4.2767e+23,6.792e+25,4e+27,1.2000000000000001e+28,3.7280000000000004e+28,4.9453e+29,3.4890000000000003e+31,4.5395e+32,3.58e+33,2.8809999999999997e+34,2.401e+35,1.44e+36,7.200000000000001e+36,1.87e+39,4.4945999999999995e+41,1.0787e+44,2.6959999999999997e+40,7.189800000000001e+29,1.6521e+32,1.11e+45,3.09e+36,4.314e+31
30000,3.521e+23,7.04e+24,2.113e+25,4.045e+25,8.091e+25,1.6181e+26,6.251e+28,7.17e+30,2.152e+31,6.685e+31,8.8719e+32,6.278e+34,8.206799999999999e+35,6.5e+36,5.262e+37,4.3852e+38,2.6299999999999997e+39,1.316e+40,3.42e+42,8.209e+44,1.9702e+47,9.5548e+44,5.36e+33,1.2300000000000001e+36,4.0049999999999997e+49,1.0917e+41,3.2154e+35
35000,1.1538e+26,2.31e+27,6.92e+27,1.326e+28,2.651e+28,5.303e+28,4.983e+31,1.142e+34,3.425e+34,1.0643e+35,1.41e+36,1.0022e+38,1.32e+39,1.047e+40,8.508e+40,7.0898e+41,4.25e+42,2.127e+43,5.5299999999999996e+45,1.3300000000000002e+48,3.1853e+50,2.974e+49,3.4240000000000005e+37,7.869999999999999e+39,1.2600000000000001e+54,3.39e+45,2.0499999999999997e+39
40000,3.59e+28,7.179e+29,2.15e+30,4.12e+30,8.25e+30,1.65e+31,3.771e+34,1.683e+37,5.048e+37,1.5691999999999999e+38,2.08e+39,1.4811e+41,1.9500000000000002e+42,1.5580000000000002e+43,1.2713e+44,1.06e+45,6.36e+45,3.178e+46,8.26e+48,1.98e+51,4.7595999999999995e+53,8.5039e+53,2.0608e+41,4.736e+43,3.6500000000000004e+58,9.66e+49,1.236e+43
