level,value_seconds,source
55,1090.0,Wall_Rebuild/Cost
56,1088.0,Wall_Rebuild/Cost
57,1086.0,Wall_Rebuild/Cost
58,1084.0,Wall_Rebuild/Cost
59,1082.0,Wall_Rebuild/Cost
60,1080.0,Wall_Rebuild/Cost
61,1078.0,Wall_Rebuild/Cost
62,1076.0,Wall_Rebuild/Cost
63,1074.0,Wall_Rebuild/Cost
64,1072.0,Wall_Rebuild/Cost
65,1070.0,Wall_Rebuild/Cost
66,1068.0,Wall_Rebuild/Cost
67,1066.0,Wall_Rebuild/Cost
68,1064.0,Wall_Rebuild/Cost
69,1062.0,Wall_Rebuild/Cost
70,1060.0,Wall_Rebuild/Cost
71,1058.0,Wall_Rebuild/Cost
72,1056.0,Wall_Rebuild/Cost
73,1054.0,Wall_Rebuild/Cost
74,1052.0,Wall_Rebuild/Cost
75,1050.0,Wall_Rebuild/Cost
76,1048.0,Wall_Rebuild/Cost
77,1046.0,Wall_Rebuild/Cost
78,1044.0,Wall_Rebuild/Cost
79,1042.0,Wall_Rebuild/Cost
80,1040.0,Wall_Rebuild/Cost
81,1038.0,Wall_Rebuild/Cost
82,1036.0,Wall_Rebuild/Cost
83,1034.0,Wall_Rebuild/Cost
84,1032.0,Wall_Rebuild/Cost
85,1030.0,Wall_Rebuild/Cost
86,1028.0,Wall_Rebuild/Cost
87,1026.0,Wall_Rebuild/Cost
88,1024.0,Wall_Rebuild/Cost
89,1022.0,Wall_Rebuild/Cost
90,1020.0,Wall_Rebuild/Cost
91,1018.0,Wall_Rebuild/Cost
92,1016.0,Wall_Rebuild/Cost
93,1014.0,Wall_Rebuild/Cost
94,1012.0,Wall_Rebuild/Cost
95,1010.0,Wall_Rebuild/Cost
96,1008.0,Wall_Rebuild/Cost
97,1006.0,Wall_Rebuild/Cost
98,1004.0,Wall_Rebuild/Cost
99,1002.0,Wall_Rebuild/Cost
100,1000.0,Wall_Rebuild/Cost
101,998.0,Wall_Rebuild/Cost
102,996.0,Wall_Rebuild/Cost
103,994.0,Wall_Rebuild/Cost
104,992.0,Wall_Rebuild/Cost
105,990.0,Wall_Rebuild/Cost
106,988.0,Wall_Rebuild/Cost
107,986.0,Wall_Rebuild/Cost
108,984.0,Wall_Rebuild/Cost
109,982.0,Wall_Rebuild/Cost
110,980.0,Wall_Rebuild/Cost
111,978.0,Wall_Rebuild/Cost
112,976.0,Wall_Rebuild/Cost
113,974.0,Wall_Rebuild/Cost
114,972.0,Wall_Rebuild/Cost
115,970.0,Wall_Rebuild/Cost
116,968.0,Wall_Rebuild/Cost
117,966.0,Wall_Rebuild/Cost
118,964.0,Wall_Rebuild/Cost
119,962.0,Wall_Rebuild/Cost
120,960.0,Wall_Rebuild/Cost
121,958.0,Wall_Rebuild/Cost
122,956.0,Wall_Rebuild/Cost
123,954.0,Wall_Rebuild/Cost
124,952.0,Wall_Rebuild/Cost
125,950.0,Wall_Rebuild/Cost
126,948.0,Wall_Rebuild/Cost
127,946.0,Wall_Rebuild/Cost
128,944.0,Wall_Rebuild/Cost
129,942.0,Wall_Rebuild/Cost
130,940.0,Wall_Rebuild/Cost
131,938.0,Wall_Rebuild/Cost
132,936.0,Wall_Rebuild/Cost
133,934.0,Wall_Rebuild/Cost
134,932.0,Wall_Rebuild/Cost
135,930.0,Wall_Rebuild/Cost
136,928.0,Wall_Rebuild/Cost
137,926.0,Wall_Rebuild/Cost
138,924.0,Wall_Rebuild/Cost
139,922.0,Wall_Rebuild/Cost
140,920.0,Wall_Rebuild/Cost
141,918.0,Wall_Rebuild/Cost
142,916.0,Wall_Rebuild/Cost
143,914.0,Wall_Rebuild/Cost
144,912.0,Wall_Rebuild/Cost
145,910.0,Wall_Rebuild/Cost
146,908.0,Wall_Rebuild/Cost
147,906.0,Wall_Rebuild/Cost
148,904.0,Wall_Rebuild/Cost
149,902.0,Wall_Rebuild/Cost
150,900.0,Wall_Rebuild/Cost
151,898.0,Wall_Rebuild/Cost
152,896.0,Wall_Rebuild/Cost
153,894.0,Wall_Rebuild/Cost
154,892.0,Wall_Rebuild/Cost
155,890.0,Wall_Rebuild/Cost
156,888.0,Wall_Rebuild/Cost
157,886.0,Wall_Rebuild/Cost
158,884.0,Wall_Rebuild/Cost
159,882.0,Wall_Rebuild/Cost
160,880.0,Wall_Rebuild/Cost
161,878.0,Wall_Rebuild/Cost
162,876.0,Wall_Rebuild/Cost
163,874.0,Wall_Rebuild/Cost
164,872.0,Wall_Rebuild/Cost
165,870.0,Wall_Rebuild/Cost
166,868.0,Wall_Rebuild/Cost
167,866.0,Wall_Rebuild/Cost
168,864.0,Wall_Rebuild/Cost
169,862.0,Wall_Rebuild/Cost
170,860.0,Wall_Rebuild/Cost
171,858.0,Wall_Rebuild/Cost
172,856.0,Wall_Rebuild/Cost
173,854.0,Wall_Rebuild/Cost
174,852.0,Wall_Rebuild/Cost
175,850.0,Wall_Rebuild/Cost
176,848.0,Wall_Rebuild/Cost
177,846.0,Wall_Rebuild/Cost
178,844.0,Wall_Rebuild/Cost
179,842.0,Wall_Rebuild/Cost
180,840.0,Wall_Rebuild/Cost
181,838.0,Wall_Rebuild/Cost
182,836.0,Wall_Rebuild/Cost
183,834.0,Wall_Rebuild/Cost
184,832.0,Wall_Rebuild/Cost
185,830.0,Wall_Rebuild/Cost
186,828.0,Wall_Rebuild/Cost
187,826.0,Wall_Rebuild/Cost
188,824.0,Wall_Rebuild/Cost
189,822.0,Wall_Rebuild/Cost
190,820.0,Wall_Rebuild/Cost
191,818.0,Wall_Rebuild/Cost
192,816.0,Wall_Rebuild/Cost
193,814.0,Wall_Rebuild/Cost
194,812.0,Wall_Rebuild/Cost
195,810.0,Wall_Rebuild/Cost
196,808.0,Wall_Rebuild/Cost
197,806.0,Wall_Rebuild/Cost
198,804.0,Wall_Rebuild/Cost
199,802.0,Wall_Rebuild/Cost
200,800.0,Wall_Rebuild/Cost
201,798.0,Wall_Rebuild/Cost
202,796.0,Wall_Rebuild/Cost
203,794.0,Wall_Rebuild/Cost
204,792.0,Wall_Rebuild/Cost
205,790.0,Wall_Rebuild/Cost
206,788.0,Wall_Rebuild/Cost
207,786.0,Wall_Rebuild/Cost
208,784.0,Wall_Rebuild/Cost
209,782.0,Wall_Rebuild/Cost
210,780.0,Wall_Rebuild/Cost
211,778.0,Wall_Rebuild/Cost
212,776.0,Wall_Rebuild/Cost
213,774.0,Wall_Rebuild/Cost
214,772.0,Wall_Rebuild/Cost
215,770.0,Wall_Rebuild/Cost
216,768.0,Wall_Rebuild/Cost
217,766.0,Wall_Rebuild/Cost
218,764.0,Wall_Rebuild/Cost
219,762.0,Wall_Rebuild/Cost
220,760.0,Wall_Rebuild/Cost
221,758.0,Wall_Rebuild/Cost
222,756.0,Wall_Rebuild/Cost
223,754.0,Wall_Rebuild/Cost
224,752.0,Wall_Rebuild/Cost
225,750.0,Wall_Rebuild/Cost
226,748.0,Wall_Rebuild/Cost
227,746.0,Wall_Rebuild/Cost
228,744.0,Wall_Rebuild/Cost
229,742.0,Wall_Rebuild/Cost
230,740.0,Wall_Rebuild/Cost
231,738.0,Wall_Rebuild/Cost
232,736.0,Wall_Rebuild/Cost
233,734.0,Wall_Rebuild/Cost
234,732.0,Wall_Rebuild/Cost
235,730.0,Wall_Rebuild/Cost
236,728.0,Wall_Rebuild/Cost
237,726.0,Wall_Rebuild/Cost
238,724.0,Wall_Rebuild/Cost
239,722.0,Wall_Rebuild/Cost
240,720.0,Wall_Rebuild/Cost
241,718.0,Wall_Rebuild/Cost
242,716.0,Wall_Rebuild/Cost
243,714.0,Wall_Rebuild/Cost
244,712.0,Wall_Rebuild/Cost
245,710.0,Wall_Rebuild/Cost
246,708.0,Wall_Rebuild/Cost
247,706.0,Wall_Rebuild/Cost
248,704.0,Wall_Rebuild/Cost
249,702.0,Wall_Rebuild/Cost
250,700.0,Wall_Rebuild/Cost
251,698.0,Wall_Rebuild/Cost
252,696.0,Wall_Rebuild/Cost
253,694.0,Wall_Rebuild/Cost
254,692.0,Wall_Rebuild/Cost
255,690.0,Wall_Rebuild/Cost
256,688.0,Wall_Rebuild/Cost
257,686.0,Wall_Rebuild/Cost
258,684.0,Wall_Rebuild/Cost
259,682.0,Wall_Rebuild/Cost
260,680.0,Wall_Rebuild/Cost
261,678.0,Wall_Rebuild/Cost
262,676.0,Wall_Rebuild/Cost
263,674.0,Wall_Rebuild/Cost
264,672.0,Wall_Rebuild/Cost
265,670.0,Wall_Rebuild/Cost
266,668.0,Wall_Rebuild/Cost
267,666.0,Wall_Rebuild/Cost
268,664.0,Wall_Rebuild/Cost
269,662.0,Wall_Rebuild/Cost
270,660.0,Wall_Rebuild/Cost
271,658.0,Wall_Rebuild/Cost
272,656.0,Wall_Rebuild/Cost
273,654.0,Wall_Rebuild/Cost
274,652.0,Wall_Rebuild/Cost
275,650.0,Wall_Rebuild/Cost
276,648.0,Wall_Rebuild/Cost
277,646.0,Wall_Rebuild/Cost
278,644.0,Wall_Rebuild/Cost
279,642.0,Wall_Rebuild/Cost
280,640.0,Wall_Rebuild/Cost
281,638.0,Wall_Rebuild/Cost
282,636.0,Wall_Rebuild/Cost
283,634.0,Wall_Rebuild/Cost
284,632.0,Wall_Rebuild/Cost
285,630.0,Wall_Rebuild/Cost
286,628.0,Wall_Rebuild/Cost
287,626.0,Wall_Rebuild/Cost
288,624.0,Wall_Rebuild/Cost
289,622.0,Wall_Rebuild/Cost
290,620.0,Wall_Rebuild/Cost
291,618.0,Wall_Rebuild/Cost
292,616.0,Wall_Rebuild/Cost
293,614.0,Wall_Rebuild/Cost
294,612.0,Wall_Rebuild/Cost
295,610.0,Wall_Rebuild/Cost
296,608.0,Wall_Rebuild/Cost
297,606.0,Wall_Rebuild/Cost
298,604.0,Wall_Rebuild/Cost
299,602.0,Wall_Rebuild/Cost
300,600.0,Wall_Rebuild/Cost
