destination_id,status,verification_status,kb_alignment_status,formula_class,resolver,contributor_count,ep_compare_status,ep_relative_delta_pct,final_value,display_value,notes
mechanic_param::bot.flame.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,8.0,,
mechanic_param::bot.thunder.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,120.0,,
mechanic_param::bot.golden.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,90.0,,
mechanic_param::bot.amplify.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,120.0,,
runtime_mechanic_param::bot.flame_bot.lab_burn_stack,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::bot.thunder.linger_duration_seconds,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::bot.golden.duration_seconds,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,27.5,,
mechanic_param::bot.amplify.duration_seconds,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,20.0,,
environment_param::enemy.common.health_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.common.attack_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.fast.health_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.fast.attack_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.fast.speed_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.tank.health_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.tank.attack_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.ranged.health_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.ranged.attack_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.boss.health_multiplier_lab,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.boss.attack_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::enemy.protector.health_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::enemy.protector.radius_m,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
mechanic_param::enemy.protector.damage_reduction_pct,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.ray.attack_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.ray.health_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.vampire.attack_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.vampire.health_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.scatter.attack_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.scatter.health_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::enemy.ranged.range_multiplier,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
environment_param::bc.reduction.generic_pct,resolved,publishable,not_ep_compared,,environment_scalar,,,,0.0,,
environment_param::bc.knockback_resistance_pct,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.thorns_resistance_pct,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.orb_resistance_pct,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.plasma_cannon_resistance_pct,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.death_ray_resistance_pct,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.armored_enemies_blocked_hits,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.enemy_speed_pct,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.more_enemies_pct,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.enemy_attack_speed_pct,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.uw_duration_reduction_seconds,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.death_defy_down_pct,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.energy_shields_down_pct,mapped_not_resolved,needs_work,not_ep_compared,,bc_effective_value,,,,,,
environment_param::bc.enemy_level_skip_reduction_pp,mapped_not_resolved,needs_work,not_ep_compared,,standard_scalar_param,,,,,,
canonical_stat::tower_crit_chance_pct,resolved,publishable,misaligned,,pct_capped_scalar_stat,,matched_exact,,86.0,,
canonical_stat::tower_multishot_chance_pct,resolved,publishable,misaligned,,pct_capped_scalar_stat,,matched_exact,,49.5,,
canonical_stat::tower_multishot_targets,resolved,publishable,misaligned,,integer_count_stat,,matched_exact,,13,,
canonical_stat::tower_rapid_fire_chance_pct,resolved,publishable,misaligned,,pct_capped_scalar_stat,,matched_exact,,34.0,,
canonical_stat::tower_rapid_fire_duration_seconds,resolved,publishable,misaligned,,standard_scalar_stat,,matched_exact,,5.55,,
canonical_stat::tower_bounce_shot_chance_pct,resolved,publishable,misaligned,,pct_capped_scalar_stat,,matched_exact,,77.0,,
canonical_stat::tower_bounce_shot_targets,resolved,publishable,misaligned,,integer_count_stat,,matched_exact,,14,,
canonical_stat::tower_bounce_shot_range_m,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,8.0,,
canonical_stat::tower_rend_armor_chance_pct,resolved,publishable,not_ep_compared,,pct_capped_scalar_stat,,,,112.125,,
canonical_stat::tower_rend_armor_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,1.05,,
canonical_stat::tower_thorns_damage_pct,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,119.0,,
canonical_stat::tower_lifesteal_pct,resolved,publishable,not_ep_compared,,pct_capped_scalar_stat,,,,12.265561341,,
canonical_stat::tower_knockback_chance_pct,resolved,publishable,not_ep_compared,,pct_capped_scalar_stat,,,,80.0,,
canonical_stat::tower_knockback_force,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,2.166,,
canonical_stat::tower_orb_speed_rpm,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,6.832000000000002,,
canonical_stat::tower_shockwave_size_m,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,2.35,,
canonical_stat::tower_shockwave_interval_seconds,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,14.0,,
canonical_stat::tower_land_mine_chance_pct,resolved,publishable,not_ep_compared,,pct_capped_scalar_stat,,,,30.0,,
canonical_stat::tower_land_mine_damage,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,6150361401260418.0,,
canonical_stat::tower_land_mine_radius_m,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,1.5,,
canonical_stat::tower_death_defy_chance_pct,resolved,publishable,not_ep_compared,,pct_capped_scalar_stat,,,,30.0,,
canonical_stat::free_attack_upgrade_chance_pct,resolved,publishable,misaligned,,standard_scalar_stat,,non_comparable,,107.73840000000003,,
canonical_stat::free_defense_upgrade_chance_pct,resolved,publishable,misaligned,,standard_scalar_stat,,non_comparable,,104.68920000000001,,
canonical_stat::free_utility_upgrade_chance_pct,resolved,publishable,misaligned,,standard_scalar_stat,,non_comparable,,118.28544000000001,,
runtime_mechanic_param::tower.orb_size_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1.2,,
canonical_stat::coin_bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,2.29316472,,
canonical_stat::cells_kill_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,1.25,,
canonical_stat::free_upgrade_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,1.12,,
canonical_stat::recovery_package_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,1.42,,
cosmetic_bonus::cosmetic_bonus.theme_song_coin_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,1.666,,
account_flag::account_flag.disable_ads,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
account_flag::account_flag.starter_pack,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
account_flag::account_flag.epic_pack,resolved,publishable,not_ep_compared,,capability_passthrough,,,,True,,
account_context::account_context.farming_tier,mapped_not_resolved,needs_work,not_ep_compared,,capability_passthrough,,,,,,
account_context::account_context.coin_multiplier_display,mapped_not_resolved,needs_work,not_ep_compared,,capability_passthrough,,,,,,
canonical_stat::lab_speed_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,1.395,,
mechanic_param::bot.global.range_bonus_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,24.0,,
mechanic_param::bot.golden.range_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,74.0,,
mechanic_param::bot.amplify.range_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,49.0,,
mechanic_param::bot.flame.range_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,78.0,,
mechanic_param::bot.thunder.range_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,49.0,,
canonical_stat::ultimate_damage_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,18.728947119999997,,
canonical_stat::coins_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_stat,,,,2.0734999999999997,,
account_flag::account_flag.discount_enhancements_pct,resolved,publishable,not_ep_compared,,capability_passthrough,,,,0.0,,
account_flag::account_flag.discount_rerolls_pct,resolved,publishable,not_ep_compared,,capability_passthrough,,,,0.0,,
capability::capability.additional_card_slot.count,resolved,publishable,not_ep_compared,,capability_passthrough,,,,0.0,,
account_flag::account_flag.workshop_respec_discount_pct,resolved,publishable,not_ep_compared,,capability_passthrough,,,,0.0,,
account_flag::account_flag.bot_respec_discount_pct,resolved,publishable,not_ep_compared,,capability_passthrough,,,,0.0,,
account_flag::account_flag.ad_gems_stack_multiplier,resolved,publishable,not_ep_compared,,capability_passthrough,,,,1.0,,
account_flag::account_flag.demon_mode_automation,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.smart_demon_mode_automation,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.free_mission_reroll,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.nuke_automation,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.smart_nuke_automation,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.workshop_presets,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.missile_barrage_automation,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.smart_missile_barrage_automation,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.daily_mission_set_shard_type,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.auto_shatter_rare_modules,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.auto_restart_run,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.auto_charge_berzerker,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.damage_cap_slider,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.bot_presets,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.workshop_orb_adjuster,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
account_flag::account_flag.bot_cooldown_sliders,resolved,publishable,not_ep_compared,,capability_passthrough,,,,False,,
capability::bot.golden.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,True,,
capability::bot.amplify.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,True,,
capability::bot.flame.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,True,,
capability::bot.thunder.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,True,,
mechanic_param::bot.flame.damage_reduction_pct,resolved,publishable,not_ep_compared,,pct_capped_param,,,,0.47,,
mechanic_param::bot.flame.damage_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,50.0,,
mechanic_param::bot.thunder.duration_seconds,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,5.0,,
mechanic_param::bot.thunder.linger_slow_pct,resolved,publishable,not_ep_compared,,pct_capped_param,,,,0.2,,
mechanic_param::bot.golden.bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,5.6,,
mechanic_param::bot.amplify.bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,3.5,,
runtime_mechanic_param::guardian.ally.recovery_amount,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.01,,
runtime_mechanic_param::guardian.ally.max_recovery,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1.1,,
runtime_mechanic_param::guardian.ally.cooldown,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,120.0,,
runtime_mechanic_param::guardian.bounty.multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.01,,
runtime_mechanic_param::guardian.bounty.cooldown,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,120.0,,
runtime_mechanic_param::guardian.bounty.targets,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1.0,,
runtime_mechanic_param::guardian.fetch.cooldown,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,88.0,,
runtime_mechanic_param::guardian.fetch.find_chance,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.3700000000000002,,
runtime_mechanic_param::guardian.fetch.double_find_chance,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.10999999999999999,,
runtime_mechanic_param::guardian.summon.cooldown,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,90.0,,
runtime_mechanic_param::guardian.summon.duration,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,24.0,,
runtime_mechanic_param::guardian.summon.cash_bonus,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1.0,,
mechanic_param::guardian.scout.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,105.0,,
mechanic_param::guardian.scout.range_bonus_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,2.0,,
mechanic_param::guardian.scout.duration_seconds,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,5.0,,
capability::uw.chain_lightning.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,True,,
mechanic_param::uw.chain_lightning.damage_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,1806.0,,
mechanic_param::uw.chain_lightning.quantity,resolved,publishable,not_ep_compared,,integer_count_param,,,,4.0,,
mechanic_param::uw.chain_lightning.chance_pct,resolved,publishable,not_ep_compared,,pct_capped_param,,,,18.2,,
capability::uw.smart_missiles.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,False,,
mechanic_param::uw.smart_missiles.damage_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw.smart_missiles.quantity,resolved,publishable,not_ep_compared,,integer_count_param,,,,0.0,,
mechanic_param::uw.smart_missiles.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,0.0,,
capability::uw.death_wave.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,True,,
mechanic_param::uw.death_wave.damage_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,63.0,,
mechanic_param::uw.death_wave.effect_wave_count,resolved,publishable,not_ep_compared,,integer_count_param,,,,6.0,,
mechanic_param::uw.death_wave.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,180.0,,
capability::uw.chrono_field.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,True,,
mechanic_param::uw.chrono_field.slow_pct,resolved,publishable,not_ep_compared,,pct_capped_param,,,,50.0,,
mechanic_param::uw.chrono_field.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,60.0,,
capability::uw.inner_land_mines.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,False,,
mechanic_param::uw.inner_land_mines.damage,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw.inner_land_mines.quantity,resolved,publishable,not_ep_compared,,integer_count_param,,,,0.0,,
mechanic_param::uw.inner_land_mines.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,0.0,,
capability::uw.golden_tower.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,True,,
mechanic_param::uw.golden_tower.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,180.0,,
capability::uw.poison_swamp.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,False,,
mechanic_param::uw.poison_swamp.damage_multiplier,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,0.0,,
mechanic_param::uw.poison_swamp.duration_seconds,resolved,publishable,not_ep_compared,,uw_duration_param,,,,0.0,,
mechanic_param::uw.poison_swamp.cooldown_seconds,resolved,publishable,not_ep_compared,,cooldown_param,,,,0.0,,
capability::uw.black_hole.owned,resolved,publishable,not_ep_compared,,standard_bool,,,,True,,
mechanic_param::uw.black_hole.size_m,resolved,publishable,not_ep_compared,,standard_scalar_param,,,,48.0,,
