ledger_scope,source_family,wiki_track_name,source_item,wiki_page_title,wiki_page_url,state_field,max_level_field,activation_field,contributor_id,semantic_type,operation,target_stat,raw_or_derived,dependencies,unlock_notes,wiki_semantic_note,confidence,uncertainty_notes,source_ref
bot,bot,Duration,Golden Bot / Duration,Golden Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Golden_Bot,bot__golden_duration__level,bot__golden_duration__max_level,—,bot__golden_duration__duration_seconds,duration_seconds,set_duration_seconds,golden_bot_duration_seconds,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been purchased.,"Duration starts at 20 seconds and has 30 levels, each increasing duration by 0.5 seconds; maximum from bot upgrades alone is 35 seconds.",strong,"Labs can further increase duration to 45 seconds, but that is a separate contributor family.",Golden Bot lines 307-313
bot,bot,Range,Golden Bot / Range,Golden Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Golden_Bot,bot__golden_range__level,bot__golden_range__max_level,—,bot__golden_range__range_m,range_m,set_range_m,golden_bot_range_m,raw,range,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been purchased.,"Range starts at 20m and has 15 levels, each increasing range by 2m; page states range is amplified by tower range and can be further increased by relics and vault upgrades.",strong,"This row captures the bot track output itself, not later amplification by tower range or other families.",Golden Bot lines 320-322
bot,bot,Cooldown,Thunder Bot / Cooldown,Thunder Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Thunder_Bot,bot__thunder_cooldown__level,bot__thunder_cooldown__max_level,—,bot__thunder_cooldown__cooldown_seconds,cooldown_seconds,set_cooldown_seconds,thunder_bot_cooldown_seconds,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,Cooldown starts at 120 seconds and has 15 levels.,strong,"Per-level reduction is evidenced in the cost table values 117, 114, 111, ... rather than explicitly stated in the description line.","Thunder Bot lines 315-317, 326-341"
bot,bot,Duration,Thunder Bot / Duration,Thunder Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Thunder_Bot,bot__thunder_duration__level,bot__thunder_duration__max_level,—,bot__thunder_duration__duration_seconds,duration_seconds,set_duration_seconds,thunder_bot_duration_seconds,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,Duration increases the time enemies are stunned and has 20 levels.,strong,Base duration increment per level is visible in the cost table rather than the description line.,"Thunder Bot lines 309-313, 326-341"
bot,bot,Linger,Thunder Bot / Linger,Thunder Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Thunder_Bot,bot__thunder_linger__level,bot__thunder_linger__max_level,—,bot__thunder_linger__pct,pct,set_pct,thunder_bot_linger_slow_pct,raw,—,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,"Linger increases the slow percentage of the linger effect, starts at 20%, and has 20 levels.",strong,"Target stat is named thunder_bot_linger_slow_pct to reflect that the wiki describes the percent as the slow effect, not a generic linger scalar.",Thunder Bot lines 318-320
bot,bot,Range,Thunder Bot / Range,Thunder Bot,https://the-tower-idle-tower-defense.fandom.com/wiki/Thunder_Bot,bot__thunder_range__level,bot__thunder_range__max_level,—,bot__thunder_range__range_m,range_m,set_range_m,thunder_bot_range_m,raw,range,Bots are unlocked/upgraded in the Event Shop; unlock cost depends on how many other bots have been bought.,"Range covers the active area, is amplified by tower range, and has 15 levels.",strong,Effective active range is further amplified by tower range; this row captures the bot track output itself.,Thunder Bot lines 322-324
card,card,Area of Effect,Area of Effect,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__area_of_effect__level,card__area_of_effect__max_level,card__area_of_effect__equipped,card__area_of_effect__pct_bonus,pct_bonus,add_pct,area_of_effect_damage_pct_bonus,raw,inner_land_mines_damage_multiplier; poison_swamp_damage_multiplier; smart_missiles_damage_multiplier; flame_bot_damage_multiplier; land_mine_damage_multiplier,"Card must be equipped to have effect active. Unlock note on cards page: Epic, Tier 20 Wave 80.","Area of Effect increases area-effect damage for Inner Land Mine, Poison Swamp, Smart Missile, Flame Bot, and Land Mine by 5% to 25%.",strong,—,turn686721search1
card,card,Attack Speed,Attack Speed,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__attack_speed__level,card__attack_speed__max_level,card__attack_speed__equipped,card__attack_speed__multiplier,multiplier,multiply,attack_speed,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Attack Speed card increases tower attack speed by x# from 1.25 to 2.15.,strong,—,turn686721search1
card,card,Berserker,Berserker,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__berserker__level,card__berserker__max_level,card__berserker__equipped,card__berserker__pct,pct,set_pct,berserker_absorbed_damage_pct,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,"Berserker increases damage by 0.8% to 1.4% of total damage absorbed this round, capped at x8 tower damage.",strong,"Run-state accumulation and x8 cap are behavior context, but the explicit level-scaled absorbed-damage percentage is clearly stated on the Cards page.",turn783968view1
card,card,Cash,Cash,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__cash__level,card__cash__max_level,card__cash__equipped,card__cash__multiplier,multiplier,multiply,cash_bonus_multiplier,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Cash card increases all cash earned by x# from 1.20 to 2.40.,strong,—,turn686721search1
card,card,Coins,Coins,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__coins__level,card__coins__max_level,card__coins__equipped,card__coins__multiplier,multiplier,multiply,coins_multiplier,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Coins card increases all coins earned by x# from 1.15 to 1.45.,strong,—,turn686721search1
card,card,Critical Chance,Critical Chance,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__critical_chance__level,card__critical_chance__max_level,card__critical_chance__equipped,card__critical_chance__chance_bonus,chance_bonus,add_chance,critical_chance,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Critical Chance card increases critical chance by +#% from 5% to 11%.,strong,—,turn686721search1
card,card,Critical Coin,Critical Coin,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__critical_coin__level,card__critical_coin__max_level,card__critical_coin__equipped,card__critical_coin__chance,chance,set_chance,critical_coin_chance,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Critical Coin grants a 15% to 33% chance for a basic enemy killed by a critical shot to drop coins.,strong,—,turn686721search1
card,card,Damage,Damage,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__damage__level,card__damage__max_level,card__damage__equipped,card__damage__multiplier,multiplier,multiply,damage,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Damage card increases tower damage by x# from 1.50 at Lv.1 to 4.00 at Lv.7.,strong,—,turn686721search1
card,card,Death Ray,Death Ray,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__death_ray__level,card__death_ray__max_level,card__death_ray__equipped,card__death_ray__duration_seconds,duration_seconds,set_duration_seconds,death_ray_duration_seconds,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Death Ray duration scales from 2.3s to 4.9s.,strong,The cards page snippet gives duration only; enabling the Death Ray effect itself is captured by activation_field rather than a separate contributor row.,turn686721search1
card,card,Demon Mode,Demon Mode,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__demon_mode__level,card__demon_mode__max_level,card__demon_mode__equipped,card__demon_mode__duration_seconds,duration_seconds,set_duration_seconds,demon_mode_duration_seconds,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Demon Mode grants x3 damage and invincibility for 180s to 300s once per round.,strong,The x3 damage is fixed in the card description and not level-scaled; this row captures the level-scaled duration.,turn686721search1
card,card,Enemy Balance / Cash,Enemy Balance,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__enemy_balance__level,card__enemy_balance__max_level,card__enemy_balance__equipped,card__enemy_balance_cash__multiplier,multiplier,multiply,enemy_balance_cash_multiplier,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Enemy Balance increases cash earned per kill with x# values from 1.30 to 1.90.,strong,Cards page gives one shared x# description covering spawn and cash-per-kill; split into spawn and cash outputs is deterministic and now accepted as normalized contributor decomposition.,turn686721search1
card,card,Enemy Balance / Spawn,Enemy Balance,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__enemy_balance__level,card__enemy_balance__max_level,card__enemy_balance__equipped,card__enemy_balance_spawn__multiplier,multiplier,multiply,enemy_balance_spawn_multiplier,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Enemy Balance increases enemies spawned each wave; description gives x# values from 1.30 to 1.90.,strong,Cards page gives one shared x# description covering spawn and cash-per-kill; split into spawn and cash outputs is deterministic and now accepted as normalized contributor decomposition.,turn686721search1
card,card,Energy Net,Energy Net,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__energy_net__level,card__energy_net__max_level,card__energy_net__equipped,card__energy_net__duration_seconds,duration_seconds,set_duration_seconds,energy_net_duration_seconds,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Energy Net immobilizes a boss for 2.5s to 4.3s.,strong,The cards page snippet gives immobilization duration only; activation is handled via activation_field.,turn686721search1
card,card,Energy Shield,Energy Shield,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__energy_shield__level,card__energy_shield__max_level,card__energy_shield__equipped,card__energy_shield__cooldown_seconds,cooldown_seconds,set_cooldown_seconds,energy_shield_recharge_cooldown_seconds,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Energy Shield replenishes after 20 to 8 minutes; values converted conceptually to cooldown seconds in target stat naming.,strong,"The cards page expresses recharge in minutes. The contributor is kept as cooldown_seconds for schema consistency, with units normalized in the target stat name.",turn686721search1
card,card,Extra Defense,Extra Defense,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__extra_defense__level,card__extra_defense__max_level,card__extra_defense__equipped,card__extra_defense__pct_bonus,pct_bonus,add_pct,defense_pct,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Extra Defense increases defense percent by +#% from 5% to 11%.,strong,—,turn686721search1
card,card,Extra Orb,Extra Orb,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__extra_orb__level,card__extra_orb__max_level,card__extra_orb__equipped,card__extra_orb__range_m,scalar_bonus,add_scalar,extra_orb_speed,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Extra Orb card adds a separate spinning orb entity when equipped; the level-scaled parameter shown on the Cards page is that extra orb's speed from 0.30 to 0.90 across Lv.1-7.,strong,Card presence creates the extra orb entity; this row captures the explicit level-scaled speed parameter for that separate orb.,turn783968view0
card,card,Fortress,Fortress,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__fortress__level,card__fortress__max_level,card__fortress__equipped,card__fortress__multiplier,multiplier,multiply,defense_absolute,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Fortress increases defense absolute by x# from 1.30 to 2.20.,strong,—,turn686721search1
card,card,Free Upgrades / Attack,Free Upgrades,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__free_upgrades__level,card__free_upgrades__max_level,card__free_upgrades__equipped,card__free_attack_upgrade__chance_bonus,chance_bonus,add_chance,free_attack_upgrade_chance,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Free Upgrades increases all free upgrade chances per wave by 4% to 10%. Row normalized to attack chance target.,strong,"Single card affects attack, defense, and utility free-upgrade chances; split into three normalized contributor rows is deterministic and now accepted as stable decomposition.",turn686721search1
card,card,Free Upgrades / Defense,Free Upgrades,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__free_upgrades__level,card__free_upgrades__max_level,card__free_upgrades__equipped,card__free_defense_upgrade__chance_bonus,chance_bonus,add_chance,free_defense_upgrade_chance,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Free Upgrades increases all free upgrade chances per wave by 4% to 10%. Row normalized to defense chance target.,strong,"Single card affects attack, defense, and utility free-upgrade chances; split into three normalized contributor rows is deterministic and now accepted as stable decomposition.",turn686721search1
card,card,Free Upgrades / Utility,Free Upgrades,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__free_upgrades__level,card__free_upgrades__max_level,card__free_upgrades__equipped,card__free_utility_upgrade__chance_bonus,chance_bonus,add_chance,free_utility_upgrade_chance,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Free Upgrades increases all free upgrade chances per wave by 4% to 10%. Row normalized to utility chance target.,strong,"Single card affects attack, defense, and utility free-upgrade chances; split into three normalized contributor rows is deterministic and now accepted as stable decomposition.",turn686721search1
card,card,Health,Health,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__health__level,card__health__max_level,card__health__equipped,card__health__multiplier,multiplier,multiply,health,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Health card increases tower health by x# from 1.50 to 4.00.,strong,—,turn686721search1
card,card,Health Regen,Health Regen,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__health_regen__level,card__health_regen__max_level,card__health_regen__equipped,card__health_regen__multiplier,multiplier,multiply,health_regen,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Health Regen card increases tower health regen by x# / sec from 1.40 to 2.60.,strong,—,turn686721search1
card,card,Intro Sprint,Intro Sprint,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__intro_sprint__level,card__intro_sprint__max_level,card__intro_sprint__equipped,card__intro_sprint__count,count,set_count,intro_sprint_waves,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,"Intro Sprint increases the first sprinted waves from 20 to 100, up to highest wave, with no coin income during Intro Sprint.",strong,—,turn686721search1
card,card,Land Mine Stun,Land Mine Stun,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__land_mine_stun__level,card__land_mine_stun__max_level,card__land_mine_stun__equipped,card__land_mine_stun__duration_seconds,duration_seconds,set_duration_seconds,land_mine_stun_duration_seconds,raw,land_mine_chance,"Card must be equipped to have effect active. Unlock note on cards page: Rare, Tier 7 Wave 250.",Land Mine Stun makes land mines have a 40% chance to stun enemies for 1.4 to 3.8 seconds.,strong,—,turn686721search1
card,card,Nuke,Nuke,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__nuke__level,card__nuke__max_level,card__nuke__equipped,card__nuke__pct,pct,set_pct,nuke_enemy_fraction_pct,raw,—,"Card must be equipped to have effect active. Unlock note on cards page: Epic, Tier 11 Wave 10.",Nuke destroys 25% to 100% of enemies.,strong,—,turn686721search1
card,card,Plasma Cannon,Plasma Cannon,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__plasma_cannon__level,card__plasma_cannon__max_level,card__plasma_cannon__equipped,card__plasma_cannon__pct,pct,set_pct,plasma_cannon_boss_hp_pct,raw,—,"Card must be equipped to have effect active. Unlock note on cards page: Rare, Tier 2 Wave 750.",Plasma Cannon fires a shot at a boss dropping its health by 30% to 54%.,strong,—,turn686721search1
card,card,Range,Range,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__range__level,card__range__max_level,card__range__equipped,card__range__multiplier,multiplier,multiply,range,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Range card increases tower range by x# from 1.15 to 1.45.,strong,—,turn686721search1
card,card,Recovery Package Chance,Recovery Package Chance,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__recovery_package_chance__level,card__recovery_package_chance__max_level,card__recovery_package_chance__equipped,card__recovery_package_chance__chance_bonus,chance_bonus,add_chance,package_chance,raw,—,"Card must be equipped to have effect active. Unlock note on cards page: Rare, Tier 2 Wave 750.",Recovery Package Chance increases package spawn chance by 15% to 33%.,strong,—,turn686721search1
card,card,Second Wind,Second Wind,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__second_wind__level,card__second_wind__max_level,card__second_wind__equipped,card__second_wind__duration_seconds,duration_seconds,set_duration_seconds,second_wind_shield_duration_seconds,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Second Wind revives once per round and creates an invincible shield for 10s to 40s.,strong,The once-per-round revive behavior is activation/behavior logic; this row captures the level-scaled shield duration.,turn686721search1
card,card,Slow Aura,Slow Aura,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__slow_aura__level,card__slow_aura__max_level,card__slow_aura__equipped,card__slow_aura__pct,pct,set_pct,slow_aura_pct,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Slow Aura decreases enemy speed in tower range by 13% to 31%.,strong,—,turn686721search1
card,card,Super Tower,Super Tower,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__super_tower__level,card__super_tower__max_level,card__super_tower__equipped,card__super_tower__multiplier,multiplier,multiply,super_tower_damage_multiplier,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Super Tower increases tower damage by x2.5 to x5.0 for 15 seconds.,strong,The cards page also states a fixed 30 second cooldown; this row captures the level-scaled damage multiplier only.,turn686721search1
card,card,Ultimate Crit,Ultimate Crit,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__ultimate_crit__level,card__ultimate_crit__max_level,card__ultimate_crit__equipped,card__ultimate_crit__chance,chance,set_chance,ultimate_crit_chance,raw,—,"Card must be equipped to have effect active. Unlock note on cards page: Epic, Tier 14 Wave 50.",Ultimate Crit gives ultimate weapons a 1% to 3% chance to deal critical damage of tower critical factor.,strong,—,turn686721search1
card,card,Wave Accelerator,Wave Accelerator,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__wave_accelerator__level,card__wave_accelerator__max_level,card__wave_accelerator__equipped,card__wave_accelerator__pct,pct,set_pct,wave_cooldown_reduction_pct,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Wave Accelerator reduces the cooldown between waves by 30% to 54%.,strong,—,turn686721search1
card,card,Wave Skip,Wave Skip,Cards,https://the-tower-idle-tower-defense.fandom.com/wiki/Cards,card__wave_skip__level,card__wave_skip__max_level,card__wave_skip__equipped,card__wave_skip__chance,chance,set_chance,wave_skip_chance,raw,—,Card must be equipped to have effect active. Cards page lists values through Lv. 7.,Wave Skip grants a 9% to 19% chance to skip a wave and earn prior-wave coins and cash x1.10.,strong,—,turn686721search1
enhancement,enhancement,Attack Speed,Attack Speed,Workshop Enhancement,https://the-tower-idle-tower-defense.fandom.com/wiki/Workshop_Enhancement,enhancement__attack_speed__level,enhancement__attack_speed__max_level,—,enhancement__attack_speed__multiplier,multiplier,multiply,attack_speed,raw,—,Requires 500 trillion coins to be spent on enhancements to unlock.,Increases Attack Speed by x1.0 when unlocked and increases by 0.01 per level. Has 75 levels for a max of 1.75x.,strong,—,Workshop Enhancement lines 547-549
enhancement,enhancement,Cash Bonus,Cash Bonus,Workshop Enhancement,https://the-tower-idle-tower-defense.fandom.com/wiki/Workshop_Enhancement,enhancement__cash_bonus__level,enhancement__cash_bonus__max_level,—,enhancement__cash_bonus__multiplier,multiplier,multiply,cash_bonus_multiplier,raw,—,Cash Bonus enhancement is unlocked for free after completing the Workshop Enhancement Labs.,"Increases the Cash Bonus multiplier by x1 when unlocked and increases by 0.01x per level. The Cash workshop enhancement also increases the cash per wave, interest percentage, and max interest per wave amount by 1% each upgrade as well. Has a maximum level of 400 for a 5x bonus.",strong,Primary row captures direct cash-bonus multiplier only; related cash-per-wave and interest spillover are recorded as separate contributor rows below.,Workshop Enhancement lines 898-900
enhancement,enhancement,Cash Bonus,Cash Bonus,Workshop Enhancement,https://the-tower-idle-tower-defense.fandom.com/wiki/Workshop_Enhancement,enhancement__cash_bonus__level,enhancement__cash_bonus__max_level,—,enhancement__cash_per_wave__multiplier,multiplier,multiply,cash_per_wave,raw,—,Cash Bonus enhancement is unlocked for free after completing the Workshop Enhancement Labs.,The Cash workshop enhancement also increases the cash per wave amount by 1% each upgrade.,strong,Derived from the same Cash Bonus enhancement row; emitted separately to preserve lineage into cash_per_wave.,Workshop Enhancement lines 898-900
enhancement,enhancement,Cash Bonus,Cash Bonus,Workshop Enhancement,https://the-tower-idle-tower-defense.fandom.com/wiki/Workshop_Enhancement,enhancement__cash_bonus__level,enhancement__cash_bonus__max_level,—,enhancement__interest_per_wave__multiplier,multiplier,multiply,interest_per_wave_pct,raw,—,Cash Bonus enhancement is unlocked for free after completing the Workshop Enhancement Labs.,The Cash workshop enhancement also increases the interest percentage by 1% each upgrade.,strong,"The wiki expresses this as a side effect of Cash Bonus enhancement, so it is split into its own contributor output.",Workshop Enhancement lines 898-900
enhancement,enhancement,Cash Bonus,Cash Bonus,Workshop Enhancement,https://the-tower-idle-tower-defense.fandom.com/wiki/Workshop_Enhancement,enhancement__cash_bonus__level,enhancement__cash_bonus__max_level,—,enhancement__max_interest__multiplier,multiplier,multiply,max_interest_cash,raw,—,Cash Bonus enhancement is unlocked for free after completing the Workshop Enhancement Labs.,The Cash workshop enhancement also increases the max interest per wave amount by 1% each upgrade.,strong,"The wiki expresses this as a side effect of Cash Bonus enhancement, so it is split into its own contributor output.",Workshop Enhancement lines 898-900
enhancement,enhancement,Cells/Kill Bonus,Cells/Kill Bonus,Workshop Enhancement/Utility/Cells Per Kill Bonus,https://the-tower-idle-tower-defense.fandom.com/wiki/Workshop_Enhancement/Utility/Cells_Per_Kill_Bonus,enhancement__cells_per_kill_bonus__level,enhancement__cells_per_kill_bonus__max_level,—,enhancement__cells_per_kill_bonus__multiplier,multiplier,multiply,cells_per_kill_bonus,raw,—,Requires 500 billion coins to be spent on Utility enhancements to unlock.,Increases Cells/Kill by x1 when unlocked and increases by 0.01x per level. Has a maximum level of 200 for a 3x bonus.,strong,"Future-facing if cells are outside current v1 static scope, but the enhancement track itself is wiki-defined.",Workshop Enhancement/Utility/Cells Per Kill Bonus snippet
