tier,bc,kind,value,unit,notes
21,enemy_level_skip_reduction,absolute_chance_subtract,0.13,pp,Subtract from EHLS/EALS chance (interpretation: absolute pp)
14,more_bosses,boss_interval_waves,9.0,waves,Boss spawns every interval waves
15,more_bosses,boss_interval_waves,8.0,waves,Boss spawns every interval waves
16,more_bosses,boss_interval_waves,7.0,waves,Boss spawns every interval waves
17,more_bosses,boss_interval_waves,6.0,waves,Boss spawns every interval waves
18,more_bosses,boss_interval_waves,5.0,waves,Boss spawns every interval waves
19,more_bosses,boss_interval_waves,5.0,waves,Boss spawns every interval waves
20,more_bosses,boss_interval_waves,5.0,waves,Boss spawns every interval waves
21,more_bosses,boss_interval_waves,5.0,waves,Boss spawns every interval waves
15,knockback_resistance,knockback_multiplier,0.6,mult,Remaining knockback force
16,knockback_resistance,knockback_multiplier,0.5,mult,Remaining knockback force
17,knockback_resistance,knockback_multiplier,0.4,mult,Remaining knockback force
18,knockback_resistance,knockback_multiplier,0.3,mult,Remaining knockback force
19,knockback_resistance,knockback_multiplier,0.2,mult,Remaining knockback force
20,knockback_resistance,knockback_multiplier,0.1,mult,Remaining knockback force
21,knockback_resistance,knockback_multiplier,0.05,mult,Remaining knockback force
15,armored_enemies,blocked_hits,10.0,hits,Blocks first N hits
16,armored_enemies,blocked_hits,20.0,hits,Blocks first N hits
17,armored_enemies,blocked_hits,30.0,hits,Blocks first N hits
18,armored_enemies,blocked_hits,40.0,hits,Blocks first N hits
19,armored_enemies,blocked_hits,50.0,hits,Blocks first N hits
20,armored_enemies,blocked_hits,60.0,hits,Blocks first N hits
21,armored_enemies,blocked_hits,70.0,hits,Blocks first N hits
16,protectors_ultimate,duration,120.0,s,Shield immunity duration
16,protectors_ultimate,cooldown,300.0,s,Cooldown
17,protectors_ultimate,duration,150.0,s,Shield immunity duration
17,protectors_ultimate,cooldown,300.0,s,Cooldown
18,protectors_ultimate,duration,210.0,s,Shield immunity duration
18,protectors_ultimate,cooldown,300.0,s,Cooldown
19,protectors_ultimate,duration,120.0,s,Shield immunity duration
19,protectors_ultimate,cooldown,300.0,s,Cooldown
20,protectors_ultimate,duration,150.0,s,Shield immunity duration
20,protectors_ultimate,cooldown,300.0,s,Cooldown
21,protectors_ultimate,duration,210.0,s,Shield immunity duration
21,protectors_ultimate,cooldown,300.0,s,Cooldown
21,tanks_ultimate,duration,240.0,s,from pasted text
21,tanks_ultimate,cooldown,300.0,s,from pasted text
17,scatter_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
17,ray_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
17,vampire_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
17,fasts_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
17,boss_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
17,basics_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
17,mass_enforcement,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
18,scatter_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
18,ray_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
18,vampire_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
18,fasts_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
18,boss_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
18,basics_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
18,mass_enforcement,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
19,scatter_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
19,ray_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
19,vampire_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
19,fasts_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
19,boss_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
19,basics_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
19,mass_enforcement,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
20,scatter_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
20,ray_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
20,vampire_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
20,fasts_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
20,boss_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
20,basics_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
20,mass_enforcement,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
21,scatter_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
21,ray_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
21,vampire_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
21,fasts_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
21,boss_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
21,basics_ultimate,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
21,mass_enforcement,MISSING,,,Requires wiki table; not in current paste except some tier21 specifics
21,scatter_ultimate,children_health_bonus,1.3,mult_over_base,130% more health => +130% (interpretation)
21,ray_ultimate,shoot_speed_bonus,1.3,mult_over_base,130% faster => +130% (interpretation)
21,vampire_ultimate,drain_speed_bonus,1.3,mult_over_base,130% faster => +130% (interpretation)
21,fasts_ultimate,nearby_enemies,5.0,count,up to 5 nearby enemies
21,boss_ultimate,overheal_pct,0.35,mult,35% overhealing
21,mass_enforcement,mass_increase_per_wave_alive,0.5,mult,50% per wave alive
