Labs,https://docs.google.com/spreadsheets/d/12pUOKCb_Hujh8m7ndehZLuVlIfUaGblVx56BqYTdmkw/edit,?,v3.4.1,WS,https://docs.google.com/spreadsheets/d/1TfTfknEF_TivxBMDS9-J0NFa2Di1zG3TOz185ekGSyU/edit,?,v3.2.1,,,,,,,,,,WS+,,,,,,,,UWs,https://docs.google.com/spreadsheets/d/11zOUaRyKSrDTkgIHv5MJ_VmS869PqQksvb64-Z_Jk94/edit,?,v3.3.1,,,Cards,https://docs.google.com/spreadsheets/d/1eBwSz-QEwQPEnng5AO8SZyDO1ks4YwN8VhcdRPzOuCg/edit,?,Cards Presets,v3.2.1,19,,,"Themes, Songs & Relics",https://docs.google.com/spreadsheets/d/1--5EhNGZXpr4N6czLyY2vMHyEfMgVoWWg7eyoHQqwOA/edit,?,Vault,https://docs.google.com/spreadsheets/d/17MpFBbmlppwYX8PcY58EJ5p4etBNf65JqCZeYgSgRtQ/edit,?,Bots,https://docs.google.com/spreadsheets/d/1QOs6dBavGyYDEkA4rWSorLzArDt8Te_Mx725-7YXuvc/edit,?,v3.3.1,,,,,,,,,Modules,https://docs.google.com/spreadsheets/d/1A4jDDOKNsy0FkNSR1WxzhkLl06UFd7TlVEVxLdRJVyo/edit,?,eHP GComp Farm,GC GComp OC,Utility Disco eHP,Utility Disco GC,UW Disco GC,,,,,,,,,,,,Guardians,https://docs.google.com/spreadsheets/d/1j_kyn42jLrcU2PIMPdqV4kIbgdj4UuNDywD6Ab5Kc8o/edit,?,v3.1.2,,,,,,,,,,,Player & Stuff,https://docs.google.com/spreadsheets/d/1-VWYvbqn2EzjZFxytSkGKVVbCcwYbm8V-0N3IECVaWg/edit,?,v4.5.1,,,,,,,Perks Preset,https://docs.google.com/spreadsheets/d/1-VWYvbqn2EzjZFxytSkGKVVbCcwYbm8V-0N3IECVaWg/edit,?,,,Preset Preset,,,,,,
Presets,5,,5,true,Rapid Fire Chance,85,85,85,85,0,,0,,0,,85,Defense Absolute +,1.01,1,0,0,0,0,600,true,UW Unlocked,Cooldown,180,12 | 180s | Cost 184 ? | Next 200 ?,,Extra Defense,7,false,Attack Speed,Critical Coin,Attack Speed,Slow Aura,,Damage? ,,,Demon Mode Automation,0,,Bot +,Titan Shock,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Primary Slot,Amplifying Strike,,,,Primary Slot,Anti-Cube Portal,,,,Primary Slot,Project Funding,,,,Primary Slot,Dimension Core,,,Fetch,,Cooldown,83,true,37 | 83.0s | Cost 74 ? | Next 76 ?,false,00 | 120.0s | Cost 0 ? | Next 2 ?,false,00 | 120.0s | Cost 0 ? | Next 2 ?,false,00 | 120.0s | Cost 0 ? | Next 2 ?,false,00 | 120.0s | Cost 0 ? | Next 2 ?,Tier 10,11300,7016,9912,5440,5003,true,,Premium Packs,Unlocked,- Enemies Damage / - Damage,Chrono Field Duration,Damage / Boss Health,,,,,,,,,
Workshop Respec,1,,1,,Rapid Fire Duration,99,99,99,99,0,,0,,0,,99,Land Mine Damage +,1,0,0,0,0,0,600,UW+,,Kill Wall,Locked,Lo | Locked,,Fortress,7,false,Critical Chance,Second Wind,Extra Defense,Attack Speed,,Damage,0.9300000000000002,,Smart Demon Mode Automation,0,,Golden Bot,Duration,15 | 27.5s | Cost 660 ? | Next 700 ?,Active,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,Assist Slot,,,,,Assist Slot,Space Displacer,,,,Assist Slot,Galaxy Compressor,,,,Assist Slot,Om Chip,,,,,Find Chance,0.2400000000000001,,14 | 24% | Cost 85 ? | Next 90 ?,,00 | 10% | Cost 0 ? | Next 20 ?,,00 | 10% | Cost 0 ? | Next 20 ?,,00 | 10% | Cost 0 ? | Next 20 ?,,00 | 10% | Cost 0 ? | Next 20 ?,Tier 11,13014,6154,5373,6741,5710,,,Disable Ads,true,Defense %,Extra Set of Inner Mines,- Boss Health / Boss Speed,,,,,,,,,
Reroll Daily Mission,1,,1,true,Bounce Shot Chance,85,85,85,85,0,,0,,0,,85,Wall Health +,1.83,83,100,0,0,0,600,Chrono Field,,Duration,20,15 | 20s | Cost 131 ? | Next 140 ?,,Free Upgrades,7,true,Cash,Energy Shield,Extra Orb,Demon Mode,,Ultimate Damage,0.37,,Nuke Automation,0,,,Cooldown,15 | 75s | Cost 660 ? | Maxed,true,00 | 120s | Cost 0 ? | Next 100 ?,false,00 | 120s | Cost 0 ? | Next 100 ?,false,00 | 120s | Cost 0 ? | Next 100 ?,false,00 | 120s | Cost 0 ? | Next 100 ?,false,,,,,,,,,,,,,,,,,,,,true,Unlocked,Double Find Chance,0.11999999999999998,,10 | 12% | Cost 55 ? | Next 60 ?,,00 | 2% | Cost 0 ? | Next 10 ?,,00 | 2% | Cost 0 ? | Next 10 ?,,00 | 2% | Cost 0 ? | Next 10 ?,,00 | 2% | Cost 0 ? | Next 10 ?,Tier 12,10496,9721,5003,5523,5003,,,Starter Pack,true,Health Regen / - Health,Damage / Boss Health,Damage,,,,,,,,,
Workshop Enhancements,1,,1,,Bounce Shot Targets,7,7,7,7,0,,0,,0,,7,Orb Size +,1.35,35,30,0,0,0,250,,,Speed Reduction,0.7,10 | 70% | Cost 650 ? | Next 900 ?,,Extra Orb,7,true,Slow Aura,Recovery Package Chance,Free Upgrades,Intro Sprint,,Attack Speed,0.16999999999999998,,Smart Nuke Automation,0,,,Bonus,30 | x8.0 | Cost 1260 ? | Maxed,,00 | x2.0 | Cost 0 ? | Next 100 ?,,00 | x2.0 | Cost 0 ? | Next 100 ?,,00 | x2.0 | Cost 0 ? | Next 100 ?,,00 | x2.0 | Cost 0 ? | Next 100 ?,,Utility Disco eHP,,,,,Utility Disco eHP,,,,,Utility Disco eHP,,,,,Utility Disco eHP,,,,Summon,,Cooldown,70,true,70 | 70s | Cost 139 ? | Maxed,false,00 | 140s | Cost 0 ? | Next 1 ?,false,00 | 140s | Cost 0 ? | Next 1 ?,false,00 | 140s | Cost 0 ? | Next 1 ?,false,00 | 140s | Cost 0 ? | Next 1 ?,Tier 13,7676,7288,5572,4981,5002,true,,Epic Pack,true,Health Regen,Chain Lightning Damage,Bounce Shot,,,,,,,,,
Enhancement Attack - Coin Discount,0,,100,,Bounce Shot Range,60,60,60,60,0,,0,,0,,60,Cash Bonus +,1.6,60,0,0,0,0,600,true,UW Unlocked,Cooldown,60,12 | 60s | Cost 241 ? | Maxed,,Plasma Cannon,7,false,Recovery Package Chance,Intro Sprint,Cash,Plasma Cannon,,Crit Chance,0.12000000000000001,,Death Ray Toggle,0,,,Range,20 | 60m | Cost 860 ? | Maxed,Sync,00 | 20m | Cost 0 ? | Next 100 ?,Sync,00 | 20m | Cost 0 ? | Next 100 ?,Sync,00 | 20m | Cost 0 ? | Next 100 ?,Sync,00 | 20m | Cost 0 ? | Next 100 ?,Sync,Primary Slot,Death Penalty,,,,Primary Slot,Sharp Fortitude,,,,Primary Slot,Singularity Harness,,,,Primary Slot,Primordial Collapse,,,,,Duration,35,,30 | 35s| Cost 305 ? | Maxed,,00 | 5s| Cost 0 ? | Next 15 ?,,00 | 5s| Cost 0 ? | Next 15 ?,,00 | 5s| Cost 0 ? | Next 15 ?,,00 | 5s| Cost 0 ? | Next 15 ?,Tier 14,6550,5019,5004,5129,5026,,,Coin Multiplier,x9,Max Health,Damage,Orbs,,,,,,,,,
Enhancement Defense - Coin Discount,0,,100,true,Super Critical Chance,100,100,100,100,0,,0,,0,,100,Coin Bonus +,1.54,54,0,0,0,0,300,UW+,,Chrono Loop,Locked,Lo | Locked,,Critical Coin,7,false,Wave Accelerator,Land Mine Stun,Recovery Package Chance,Land Mine Stun,,Crit Factor,0.7200000000000001,,Spawn Accelerator Toggle,0,,Bot +,Bonus Cell,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Assist Slot,,,,,Assist Slot,Negative Mass Projector,,,,Assist Slot,Pulsar Harvester,,,,Assist Slot,Dimension Core,,,true,Unlocked,Cash Bonus,1,,00 | 1.0x | Cost 0 ? | Next 100 ?,,00 | 1.0x | Cost 0 ? | Next 100 ?,,00 | 1.0x | Cost 0 ? | Next 100 ?,,00 | 1.0x | Cost 0 ? | Next 100 ?,,00 | 1.0x | Cost 0 ? | Next 100 ?,Tier 15,5049,4963,5049,4277,4013,,,,,,,,,,,,,,,,
Enhancement Utility - Coin Discount,0,,100,,Super Critical Mult,120,120,120,120,0,,0,,0,,120,Cells / Kill Bonus +,1.44,44,0,0,0,0,300,Inner Land Mines,,Damage,10,00 | x10 | Cost 0 ? | Next 5 ?,,Wave Skip,7,false,Free Upgrades,Extra Orb,Health,Range,,Damage / Meter,0.52,,Life Saving Ordering,0,,Amplify Bot,Duration,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,19 | 29.5s | Cost 820 ? | Next 860 ?,Active,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,,,,,,,,,,,,,,,,,,,,Scout,,Cooldown,,false,00 | 105s | Cost 0 ? | Next 1 ?,false,00 | 105s | Cost 0 ? | Next 1 ?,false,00 | 105s | Cost 0 ? | Next 1 ?,false,00 | 105s | Cost 0 ? | Next 1 ?,false,00 | 105s | Cost 0 ? | Next 1 ?,Tier 16,5508,5508,4768,3258,1506,true,,,,,,,,,,,,,,,
Dissonant Echo - Attack,5,,20,true,Rend Armor Chance,0,299,120,299,0,,0,,0,,299,Free Upgrades +,1.22,22,0,0,0,0,150,,,Quantity,6,03 | #6 | Cost 250 ? | Maxed,,Intro Sprint,7,true,Demon Mode,Cash,Cells,Extra Orb,,Super Critical Chance,0.06,,Energy Shield Restriction,0,,,Cooldown,00 | 120s | Cost 0 ? | Next 100 ?,false,15 | 75s | Cost 660 ? | Maxed,true,00 | 120s | Cost 0 ? | Next 100 ?,false,00 | 120s | Cost 0 ? | Next 100 ?,false,00 | 120s | Cost 0 ? | Next 100 ?,false,Utility Disco GC,,,,,Utility Disco GC,,,,,Utility Disco GC,,,,,Utility Disco GC,,,,,,Range Bonus,,,00 | 2.0x | Cost 0 ? | Next 10 ?,,00 | 2.0x | Cost 0 ? | Next 10 ?,,00 | 2.0x | Cost 0 ? | Next 10 ?,,00 | 2.0x | Cost 0 ? | Next 10 ?,,00 | 2.0x | Cost 0 ? | Next 10 ?,Tier 17,3496,2013,3496,2279,230,,,,,,,,,,,,,,,,
Dissonant Echo - Defense,4,,20,,Rend Armor Mult,0,299,130,299,0,,0,,0,,299,Recovery Package +,1.7000000000000002,70,0,0,0,0,600,true,UW Unlocked,Cooldown,150,05 | 150s | Cost 72 ? | Next 88 ?,,Land Mine Stun,7,false,Berserker,Free Upgrades,Land Mine Stun,Death Ray,,Super Critical Mult,0.05,,UW Section,false,,,Bonus,00 | x3.5 | Cost 0 ? | Next 100 ?,,30 | x15.5 | Cost 1260 ? | Maxed,,00 | x3.5 | Cost 0 ? | Next 100 ?,,00 | x3.5 | Cost 0 ? | Next 100 ?,,00 | x3.5 | Cost 0 ? | Next 100 ?,,,Amplifying Strike,,,,,Anti-Cube Portal,,,,,Project Funding,,,,,Dimension Core,,,true,Unlocked,Duration,,,00 | 5s | Cost 0 ? | Next 10 ?,,00 | 5s | Cost 0 ? | Next 10 ?,,00 | 5s | Cost 0 ? | Next 10 ?,,00 | 5s | Cost 0 ? | Next 10 ?,,00 | 5s | Cost 0 ? | Next 10 ?,Tier 18,2541,160,2541,0,50,,,,,,,,,,,,,,,,
Dissonant Echo - Utility,6,,20, ,Health,6000,6000,6000,6000,0,,0,,0,,6000,Enemy Level Skips +,1.22,22,0,0,0,0,60,UW+,,Charged Mines,Locked,Lo | Locked,,Recovery Package Chance,7,true,,Cells,Death Ray,Wave Skip,,Rend Armor Mult,0.02,,Missile Barrage Automation,0,,,Range,00 | 25m | Cost 0 ? | Next 100 ?,Sync,18 | 61m | Cost 780 ? | Maxed,Sync,00 | 25m | Cost 0 ? | Next 100 ?,Sync,00 | 25m | Cost 0 ? | Next 100 ?,Sync,00 | 25m | Cost 0 ? | Next 100 ?,Sync,,,,,,,Space Displacer,,,,,Singularity Harness,,,,,Primordial Collapse,,,,,,,,,,,,,,,,,Tier 19,475,20,160,0,0,true,,,,,,,,,,,,,,,
Dissonant Echo - Ultimate Weapons,6,,20,,Health Regen,6000,6000,6000,6000,0,,0,,0,,6000,,,,,,,,,Golden Tower,,Multiplier,15.400000000000006,13 | x15.4 | Cost 250 ? | Next 350 ?,,Cells,7,false,,,,,,Defense,,,Smart Missile Barrage Automation,0,,Bot +,Echoing Shot,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,Lo |?Locked,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 20,153,0,0,0,0,,,,,,,,,,,,,,,,
Global Presets,1,,1,true,Defense %,99,99,99,99,0,,0,,0,,99,,,,,,,,,,,Duration,22,07 | 22s | Cost 59 ? | Next 68 ?,,Death Ray,7,false,,,,,,Health,0.71,,Black Hole Size Slider,0,,Bot Bot,Duration,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,07 | 23.5s | Cost 340 ? | Next 380 ?,Active,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,00 | 20.0s | Cost 0 ? | Next 100 ?,Active,UW Disco GC,,,,,UW Disco GC,,,,,UW Disco GC,,,,,UW Disco GC,,,,,,,,,,,,,,,,,,Tier 21,0,0,0,0,0,,,,,,,,,,,,,,,,
