destination,status,verification_status,kb_alignment_status,verdict,final_value,unit,resolver,contributor_count,issues,level_contributors,unresolved_contributors,semantic_mismatches,ep_compare_status,ep_compare_delta,ep_compare_value,ep_compare_value_type,ep_reference_value,ep_reference_value_type,compare_context,formula_contract,contributor_consumption
state::tower.crit_multiplier,resolved,publishable,not_ep_compared,pass,532.89,multiplier,standard_scalar_stat,6,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.range_m,resolved,publishable,not_ep_compared,pass,109.55999999999999,m,standard_scalar_stat,2,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}","{'consumed': 2, 'listed': 2}"
state::tower.damage_per_meter_multiplier,resolved,publishable,not_ep_compared,pass,0.56463,multiplier,standard_scalar_stat,5,[],[],[],[],,,,,,,,"{'formula_class': 'generic_family_promoted', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'KB and engine now close the destination-specific formula as decimal workshop bonus multiplied by lab and post multipliers.'}",
state::tower.supercrit_chance_pct,resolved,publishable,not_ep_compared,pass,24.9,pct,pct_capped_scalar_stat,4,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normalize_percent_scale', 'rationale': ''}","{'consumed': 4, 'listed': 4}"
state::tower.supercrit_multiplier,resolved,publishable,not_ep_compared,pass,113.56799999999998,multiplier,standard_scalar_stat,6,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.max_rend_multiplier,resolved,publishable,not_ep_compared,pass,5.0,multiplier,standard_scalar_stat,2,[],[],[],[],,,,,,,,"{'formula_class': 'kb_contract_repaired', 'publish_policy': 'allow', 'compare_policy': 'noncomparable', 'rationale': 'Exact max-rend formula uses the Rend Armor enhancement multiplier on the 8x base cap, with additive lab bonus and module-substat max-rend percent converted onto the base cap; publish separately from base Rend Armor Mult.'}","{'consumed': 2, 'listed': 2}"
state::capability.tower.light_speed_shots,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.hp,resolved,publishable,not_ep_compared,pass,21906477802177.465,hp,standard_scalar_stat,12,[],[],[],[],,,,,,,,"{'formula_class': 'generic_family_promoted', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Relic health semantics are now explicit in the KB as pct_bonus, matching live-wiki guidance that relic bonuses are additive with similar relics and multiplicative with other bonuses.'}",
state::tower.regen,resolved,publishable,not_ep_compared,pass,139495301805622.95,hp_per_second,standard_scalar_stat,10,[],[],[],[],,,,,,,,"{'formula_class': 'generic_family_promoted', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Relic health-regen semantics are now explicit in the KB as pct_bonus, matching live-wiki guidance that relic bonuses are additive with similar relics and multiplicative with other bonuses.'}",
state::tower.defense_absolute,resolved,publishable,not_ep_compared,pass,1594662034.4768927,damage_block,standard_scalar_stat,6,[],[],[],[],,,,,,,,"{'formula_class': 'generic_family_promoted', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'KB now closes defense-absolute contributor semantics sufficiently for publish; workshop base scaled by lab/card/enhancement/relic/vault multipliers.'}",
state::tower.defense_pct,resolved,publishable,not_ep_compared,pass,98.0,pct,pct_capped_scalar_stat,8,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normalize_percent_scale', 'rationale': ''}","{'consumed': 8, 'listed': 8}"
state::lab.orb_speed_bonus,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Orbs Speed'],[],"[{'source': 'Orbs Speed', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::lab.land_mine_damage_multiplier,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Land Mine Damage'],[],"[{'source': 'Land Mine Damage', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::lab.land_mine_decay_seconds,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Land Mine Decay'],[],"[{'source': 'Land Mine Decay', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::lab.shockwave_size_bonus,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Shockwave Size'],[],"[{'source': 'Shockwave Size', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::lab.orb_boss_hit_enabled,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Orb Boss Hit'],[],"[{'source': 'Orb Boss Hit', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::wall.hp,resolved,publishable,not_ep_compared,pass,5400.0,hp,standard_scalar_stat,6,[],[],[],[],,,,,,,,"{'formula_class': 'kb_contract_repaired', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Wall Health lab semantics are now explicit in the KB as additive percent points, matching the live-wiki ladder and allowing the destination-specific wall HP formula to publish.'}",
state::wall.rebuild_seconds,resolved,publishable,not_ep_compared,pass,150.0,seconds,standard_scalar_stat,4,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::wall.regen,resolved,publishable,not_ep_compared,pass,525.0,hp_per_second,standard_scalar_stat,2,[],[],[],[],,,,,,,,"{'formula_class': 'kb_contract_repaired', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Wall regen depends on tower_regen and uses a wiki-verified wall-regen percent ladder already represented in the KB; with tower_regen contract repaired, publish can be re-enabled.'}","{'consumed': 2, 'listed': 2}"
state::wall.thorns_damage_pct,resolved,publishable,not_ep_compared,pass,15.0,pct,standard_scalar_stat,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::wall.invincibility_duration_seconds,resolved,publishable,not_ep_compared,pass,0.0,seconds,standard_scalar_stat,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::wall.fortification_multiplier,resolved,publishable,not_ep_compared,pass,10.4,multiplier,standard_scalar_stat,1,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'scaled_number_noncomparable', 'rationale': ''}",
state::capability.tower.garlic_thorns,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::economy.cash_kill_multiplier,resolved,publishable,not_ep_compared,pass,115.01185499999998,multiplier,standard_scalar_stat,7,[],[],[],[],,,,,,,,"{'formula_class': 'generic_validated', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Shared base-multiplier family: workshop base multiplier scaled by lab/card/enhancement and post-multiplied by relic/vault bonuses.'}","{'consumed': 7, 'listed': 7}"
state::economy.cash_per_wave,resolved,publishable,not_ep_compared,pass,9125.952,cash,standard_scalar_stat,4,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::economy.coins_per_kill_bonus,resolved,publishable,not_ep_compared,pass,96.57474749999999,multiplier,standard_scalar_stat,8,[],[],[],[],,,,,,,,"{'formula_class': 'kb_contract_repaired', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Coins / Kill display surface: (((workshop x lab) + generator substat sum) x enhancement spillover x (1+vault)) x all-coin perk multipliers. Coin perks are KB-owned on this surface, not on broad all-coin helper surfaces.'}",
state::economy.coins_per_wave,resolved,publishable,not_ep_compared,pass,667.5200000000001,coins,standard_scalar_stat,3,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}","{'consumed': 3, 'listed': 3}"
state::economy.interest_per_wave_pct,resolved,publishable,not_ep_compared,pass,132.103125,pct,standard_scalar_stat,4,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::economy.max_interest_bonus,resolved,publishable,not_ep_compared,pass,2000.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.recovery_package.after_boss,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.recovery_amount_pct,resolved,publishable,not_ep_compared,pass,145.0,pct,standard_scalar_stat,4,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.max_recovery_multiplier,resolved,publishable,not_ep_compared,pass,16.5,multiplier,standard_scalar_stat,3,[],[],[],[],,,,,,,,"{'formula_class': 'compare_noncomparable', 'publish_policy': 'allow', 'compare_policy': 'noncomparable', 'rationale': 'EP export Max Recovery reflects health-at-max-recovery, not the multiplier surface emitted by the package.'}",
state::tower.package_chance_pct,resolved,publishable,not_ep_compared,pass,78.5,pct,pct_capped_scalar_stat,5,[],[],[],[],,,,,,,,"{'formula_class': 'generic_family_promoted', 'publish_policy': 'allow', 'compare_policy': 'normalize_percent_scale', 'rationale': 'KB supports workshop base plus additive package-chance bonuses.'}","{'consumed': 5, 'listed': 5}"
state::tower.enemy_attack_level_skip_pct,resolved,publishable,not_ep_compared,pass,79.04,pct,pct_capped_scalar_stat,8,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}","{'consumed': 8, 'listed': 8}"
state::tower.enemy_health_level_skip_pct,resolved,publishable,not_ep_compared,pass,73.28,pct,pct_capped_scalar_stat,7,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}","{'consumed': 7, 'listed': 7}"
state::uw.smart_missiles.despawn_time_seconds,resolved,publishable,not_ep_compared,pass,0.0,seconds,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.uw.smart_missiles.explosion,resolved,publishable,not_ep_compared,pass,False,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.smart_missiles.explosion_radius_m,resolved,publishable,not_ep_compared,pass,0.0,m,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.chrono_field.duration_seconds,resolved,publishable,not_ep_compared,pass,55.0,seconds,uw_duration_param,3,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.chrono_field.damage_reduction_pct,resolved,publishable,not_ep_compared,pass,20.0,pct,pct_capped_param,2,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.poison_swamp.radius_m,resolved,publishable,not_ep_compared,pass,0.0,m,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.uw.poison_swamp.stun,resolved,publishable,not_ep_compared,pass,False,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.poison_swamp.stun_chance_pct,resolved,publishable,not_ep_compared,pass,0.0,pct,pct_capped_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.poison_swamp.stun_duration_seconds,resolved,publishable,not_ep_compared,pass,0.0,seconds,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.golden_tower.bonus_multiplier,resolved,publishable,not_ep_compared,pass,26.85000000000001,multiplier,standard_scalar_param,3,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.golden_tower.duration_seconds,resolved,publishable,not_ep_compared,pass,42.0,seconds,uw_duration_param,2,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.uw.chain_lightning.shock,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::shock.chance_pct,resolved,publishable,not_ep_compared,pass,9.5,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::shock.damage_multiplier,resolved,publishable,not_ep_compared,pass,1.66,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.death_wave.coin_bonus_multiplier,resolved,publishable,not_ep_compared,pass,2.5,multiplier,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'helper_formula', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Resolved helper/optimizer-facing ultimate weapon coin bonus multiplier exposed for econ analysis and optimizer consumption.'}",
state::uw.inner_land_mines.blast_radius_m,resolved,publishable,not_ep_compared,pass,0.0,m,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.inner_land_mines.rotation_speed,resolved,publishable,not_ep_compared,pass,0.0,rotation_speed,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.chrono_field.range_m,resolved,publishable,not_ep_compared,pass,51.0,m,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.smart_missiles.chain_hit_damage_multiplier,resolved,publishable,not_ep_compared,pass,1.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.uw.smart_missiles.barrage,resolved,publishable,not_ep_compared,pass,False,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.smart_missiles.barrage_quantity,resolved,publishable,not_ep_compared,pass,0.0,count,integer_count_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.uw.inner_land_mines.stun,resolved,publishable,not_ep_compared,pass,False,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.black_hole.damage_pct_enemy_hp_per_second,resolved,publishable,not_ep_compared,pass,2.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.uw.black_hole.extra_black_hole,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.black_hole.coin_bonus_multiplier,resolved,publishable,not_ep_compared,pass,11.0,multiplier,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'helper_formula', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Resolved helper/optimizer-facing ultimate weapon coin bonus multiplier exposed for econ analysis and optimizer consumption.'}",
state::uw.spotlight.coin_bonus_multiplier,resolved,publishable,not_ep_compared,pass,3.0,multiplier,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'helper_formula', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': 'Resolved helper/optimizer-facing ultimate weapon coin bonus multiplier exposed for econ analysis and optimizer consumption.'}",
state::uw.spotlight.missiles_frequency_seconds,resolved,publishable,not_ep_compared,pass,19.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.uw.black_hole.disable_ranged,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.smart_missiles.recharge_barrage_waves,resolved,publishable,not_ep_compared,pass,0.0,waves,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.uw.poison_swamp.rend,resolved,publishable,not_ep_compared,pass,False,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.poison_swamp.rend_additional_enemies,resolved,publishable,not_ep_compared,pass,0.0,count,integer_count_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.chain_lightning.max_enemy_damage_reduction_pct,resolved,publishable,not_ep_compared,pass,36.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.chain_lightning.scatter_multiplier,resolved,publishable,not_ep_compared,pass,11.25,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.death_wave.cells_bonus_multiplier,resolved,publishable,not_ep_compared,pass,3.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.death_wave.damage_amplifier_multiplier_per_effect_wave,resolved,publishable,not_ep_compared,pass,8.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.death_wave.armor_strip_count,resolved,publishable,not_ep_compared,pass,0.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::uw.inner_land_mines.chrono_jump_seconds,resolved,publishable,not_ep_compared,pass,0.0,seconds,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::lab.second_wind_blast_pct,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Second Wind Blast'],[],"[{'source': 'Second Wind Blast', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.tower.double_death_ray,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.extra_orb_adjuster,resolved,publishable,not_ep_compared,pass,1.0,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::tower.orb_count,resolved,publishable,not_ep_compared,pass,8,count,integer_count_stat,5,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}","{'consumed': 5, 'listed': 5}"
context::bc.energy_shield_extra_hit,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Energy Shield Extra Hit'],[],"[{'source': 'Energy Shield Extra Hit', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::lab.super_tower_bonus_multiplier,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Super Tower Bonus'],[],"[{'source': 'Super Tower Bonus', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::lab.recharge_second_wind_waves,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Recharge Second Wind'],[],"[{'source': 'Recharge Second Wind', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::lab.recharge_demon_mode_waves,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Recharge Demon Mode'],[],"[{'source': 'Recharge Demon Mode', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::lab.recharge_nuke_waves,mapped_not_resolved,needs_work,not_ep_compared,needs_work,,unknown,standard_scalar_param,1,"['level_contributor_present', 'semantically_incompatible_contributor_present']",['Recharge Nuke'],[],"[{'source': 'Recharge Nuke', 'value_type': 'level'}]",,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.perks.unlock,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::meta.milestones.waves_required_delta,resolved,publishable,not_ep_compared,pass,-13.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::capability.perks.auto_pick,resolved,publishable,not_ep_compared,pass,True,unknown,capability_passthrough,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
state::perk.standard_perks_bonus_pct,resolved,publishable,not_ep_compared,pass,25.0,unknown,standard_scalar_param,1,[],[],[],[],,,,,,,,"{'formula_class': 'unclassified', 'publish_policy': 'allow', 'compare_policy': 'normal', 'rationale': ''}",
