level,multiplier,multiplier_bits,cooldown_seconds,cooldown_bits,targets,targets_bits,status,source_url
22,0.23,22.0,98.0,44.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
23,0.24,23.0,97.0,46.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
24,0.25,24.0,96.0,48.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
25,0.26,25.0,95.0,50.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
26,0.2700000000000001,26.0,94.0,52.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
27,0.2800000000000001,27.0,93.0,54.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
28,0.2900000000000001,28.0,92.0,56.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
29,0.3000000000000001,29.0,91.0,58.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
30,0.3100000000000001,30.0,90.0,60.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
31,0.3200000000000001,31.0,89.0,62.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
32,0.3300000000000001,32.0,88.0,64.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
33,0.3400000000000001,33.0,87.0,66.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
34,0.3500000000000001,34.0,86.0,68.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
35,0.3600000000000001,35.0,85.0,70.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
36,0.3700000000000001,36.0,84.0,72.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
37,0.3800000000000001,37.0,83.0,74.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
38,0.3900000000000002,38.0,82.0,76.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
39,0.4000000000000002,39.0,81.0,78.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
40,0.4100000000000002,40.0,80.0,80.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
41,0.4200000000000002,41.0,79.0,82.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
42,0.4300000000000002,42.0,78.0,84.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
43,0.4400000000000002,43.0,77.0,86.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
44,0.4500000000000002,44.0,76.0,88.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
45,0.4600000000000002,45.0,75.0,90.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
46,0.4700000000000002,46.0,74.0,92.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
47,0.4800000000000002,47.0,73.0,94.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
48,0.4900000000000002,48.0,72.0,96.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
49,0.5000000000000002,49.0,71.0,98.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
50,0.5100000000000002,50.0,70.0,100.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
51,0.5200000000000002,51.0,69.0,102.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
52,0.5300000000000002,52.0,68.0,104.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
53,0.5400000000000003,53.0,67.0,106.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
54,0.5500000000000003,54.0,66.0,108.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
55,0.5600000000000003,55.0,65.0,110.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
56,0.5700000000000003,56.0,64.0,112.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
57,0.5800000000000003,57.0,63.0,114.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
58,0.5900000000000003,58.0,62.0,116.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
59,0.6000000000000003,59.0,61.0,118.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
60,0.6100000000000003,60.0,60.0,120.0,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
61,0.6200000000000003,61.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
62,0.6300000000000003,62.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
63,0.6400000000000003,63.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
64,0.6500000000000004,64.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
65,0.6600000000000004,65.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
66,0.6700000000000004,66.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
67,0.6800000000000004,67.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
68,0.6900000000000004,68.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
69,0.7000000000000004,69.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
70,0.7100000000000004,70.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
71,0.7200000000000004,71.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
72,0.7300000000000004,72.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
73,0.7400000000000004,73.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
74,0.7500000000000004,74.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
75,0.7600000000000005,75.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
76,0.7700000000000005,76.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
77,0.7800000000000005,77.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
78,0.7900000000000005,78.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
79,0.8000000000000005,79.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
80,0.8100000000000005,80.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
81,0.8200000000000005,81.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
82,0.8300000000000005,82.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
83,0.8400000000000005,83.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
84,0.8500000000000005,84.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
85,0.8600000000000005,85.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
86,0.8700000000000006,86.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
87,0.8800000000000006,87.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
88,0.8900000000000006,88.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
89,0.9000000000000006,89.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
90,0.9100000000000006,90.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
91,0.9200000000000006,91.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
92,0.9300000000000006,92.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
93,0.9400000000000006,93.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
94,0.9500000000000006,94.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
95,0.9600000000000006,95.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
96,0.9700000000000006,96.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
97,0.9800000000000006,97.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
98,0.9900000000000008,98.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
99,1.0000000000000009,99.0,,,,,live_wiki_row_verified_2026-03-14,https://the-tower-idle-tower-defense.fandom.com/wiki/Guardian
