,,=Sum(C$5:C54),,,=Sum(F$5:F54),,=Sum(H$5:H54),,=Sum(J$5:J54),,,,,=Sum(O$5:O54),,=Sum(Q$5:Q54),,=Sum(S$5:S54),,,,,=Sum(X$5:X54),,=Sum(Z$5:Z54),,=Sum(AB$5:AB54),,,,,=Sum(AG$5:AG54),,=Sum(AI$5:AI54),,=Sum(AK$5:AK54),,,
,,,,=E12+3%,380.0,=G12-3,380.0,=I12+8,380.0,=K12+4,380.0,,=N12+0.5,380.0,=P12-3,380.0,=R12+3%,380.0,=T12+3,380.0,,=W12+0.5,380.0,=Y12-3,380.0,=AA12+0.2,380.0,=AC12+2,380.0,,=AF12+0.5,380.0,=AH12-3,380.0,=AJ12+0.4,380.0,=AL12+2,380.0,
,,,,=E13+3%,420.0,=G13-3,420.0,=I13+8,420.0,=K13+4,420.0,,=N13+0.5,420.0,=P13-3,420.0,=R13+3%,420.0,=T13+3,420.0,,=W13+0.5,420.0,=Y13-3,420.0,=AA13+0.2,420.0,=AC13+2,420.0,,=AF13+0.5,420.0,=AH13-3,420.0,=AJ13+0.4,420.0,=AL13+2,420.0,
,,,,=E14+3%,460.0,=G14-3,460.0,=I14+8,460.0,=K14+4,460.0,,=N14+0.5,460.0,=P14-3,460.0,=R14+3%,460.0,=T14+3,460.0,,=W14+0.5,460.0,=Y14-3,460.0,=AA14+0.2,460.0,=AC14+2,460.0,,=AF14+0.5,460.0,=AH14-3,460.0,=AJ14+0.4,460.0,=AL14+2,460.0,
,,,,=E15+3%,500.0,=G15-3,500.0,=I15+8,500.0,=K15+4,500.0,,=N15+0.5,500.0,=P15-3,500.0,=R15+3%,500.0,=T15+3,500.0,,=W15+0.5,500.0,=Y15-3,500.0,=AA15+0.2,500.0,=AC15+2,500.0,,=AF15+0.5,500.0,=AH15-3,500.0,=AJ15+0.4,500.0,=AL15+2,500.0,
,,,,=E16+3%,540.0,=G16-3,540.0,=I16+8,540.0,=K16+4,540.0,,=N16+0.5,540.0,=P16-3,540.0,=R16+3%,540.0,=T16+3,540.0,,=W16+0.5,540.0,=Y16-3,540.0,=AA16+0.2,540.0,=AC16+2,540.0,,=AF16+0.5,540.0,=AH16-3,540.0,=AJ16+0.4,540.0,=AL16+2,540.0,
,,,,=E17+3%,580.0,=G17-3,580.0,=I17+8,580.0,=K17+4,580.0,,=N17+0.5,580.0,=P17-3,580.0,=R17+3%,580.0,=T17+3,580.0,,=W17+0.5,580.0,=Y17-3,580.0,=AA17+0.2,580.0,=AC17+2,580.0,,=AF17+0.5,580.0,=AH17-3,580.0,=AJ17+0.4,580.0,=AL17+2,580.0,
,,,,=E18+3%,620.0,=G18-3,620.0,=I18+8,620.0,=K18+4,620.0,,=N18+0.5,620.0,=P18-3,620.0,=R18+3%,620.0,=T18+3,620.0,,=W18+0.5,620.0,=Y18-3,620.0,=AA18+0.2,620.0,=AC18+2,620.0,,=AF18+0.5,620.0,=AH18-3,620.0,=AJ18+0.4,620.0,=AL18+2,620.0,
,,,,=E19+3%,660.0,=G19-3,660.0,=I19+8,660.0,=K19+4,660.0,,=N19+0.5,660.0,=P19-3,660.0,=R19+3%,660.0,=T19+3,660.0,,=W19+0.5,660.0,=Y19-3,660.0,=AA19+0.2,660.0,=AC19+2,660.0,,=AF19+0.5,660.0,=AH19-3,660.0,=AJ19+0.4,660.0,=AL19+2,660.0,
,,,,=E20+3%,700.0,=G20,Max,=I20+8,700.0,=K20,Max,,=N20+0.5,700.0,=P20,Max,=R20+3%,700.0,=T20,Max,,=W20+0.5,700.0,=Y20,Max,=AA20+0.2,700.0,=AC20,Max,,=AF20+0.5,700.0,=AH20,Max,=AJ20+0.4,700.0,=AL20,Max,
,,,,=E21+3%,740.0,,,=I21+8,740.0,,,,=N21+0.5,740.0,,,=R21+3%,740.0,,,,=W21+0.5,740.0,,,=AA21+0.2,740.0,,,,=AF21+0.5,740.0,,,=AJ21+0.4,740.0,,,
,,,,=E22+3%,780.0,,,=I22+8,780.0,,,,=N22+0.5,780.0,,,=R22+3%,780.0,,,,=W22+0.5,780.0,,,=AA22+0.2,780.0,,,,=AF22+0.5,780.0,,,=AJ22+0.4,780.0,,,
,,,,=E23+3%,820.0,,,=I23+8,820.0,,,,=N23+0.5,820.0,,,=R23+3%,820.0,,,,=W23+0.5,820.0,,,=AA23+0.2,820.0,,,,=AF23+0.5,820.0,,,=AJ23+0.4,820.0,,,
,,,,=E24+3%,860.0,,,=I24+8,860.0,,,,=N24+0.5,860.0,,,=R24+3%,860.0,,,,=W24+0.5,860.0,,,=AA24+0.2,860.0,,,,=AF24+0.5,860.0,,,=AJ24+0.4,860.0,,,
,,,,=E25,Max,,,=I25,Max,,,,=N25,Max,,,=R25,Max,,,,=W25,Max,,,=AA25,Max,,,,=AF25,Max,,,=AJ25,Max,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
