bc_id,league,wave,magnitude
death_defy_down,silver,80,-0.05
death_ray_resistance,silver,80,0.6
enemy_attack_speed,silver,80,1
energy_shields_down,silver,80,0.2
enemy_speed,silver,80,0.8
fast_ultimate,silver,80,3
more_bosses,silver,80,6
more_enemies,silver,80,0.2
knockback_resistance,silver,80,0.7
orb_resistance,silver,80,0.3
plasma_cannon_resistance,silver,80,0.7
protector_ultimate,silver,80,60
ranged_ultimate_tower_disable_time,silver,80,0.3
tank_ultimate,silver,80,60
thorns_resistance,silver,80,0.7
ultimate_weapons_duration,silver,80,-2
enemy_level_skip,silver,80,-0.06
armored_enemies,gold,80,10
basic_ultimate_fast,gold,80,0.03
basic_ultimate_tank,gold,80,0.03
basic_ultimate_range,gold,80,0.02
basic_ultimate_boss,gold,80,0.01
basic_ultimate_protector,gold,80,0.01
boss_ultimate,gold,80,0.25
death_defy_down,gold,80,-0.05
death_ray_resistance,gold,80,0.6
enemy_attack_speed,gold,80,1
energy_shields_down,gold,80,0.2
enemy_speed,gold,80,0.8
fast_ultimate,gold,80,3
more_bosses,gold,80,6
more_enemies,gold,80,0.2
knockback_resistance,gold,80,0.7
orb_resistance,gold,80,0.3
plasma_cannon_resistance,gold,80,0.7
protector_ultimate,gold,80,60
ranged_ultimate_tower_disable_time,gold,80,0.3
tank_ultimate,gold,80,60
thorns_resistance,gold,80,0.7
ultimate_weapons_duration,gold,80,-2
enemy_level_skip,gold,80,-0.06
armored_enemies,platinum,80,10
basic_ultimate_fast,platinum,80,0.03
basic_ultimate_tank,platinum,80,0.03
basic_ultimate_range,platinum,80,0.02
basic_ultimate_boss,platinum,80,0.01
basic_ultimate_protector,platinum,80,0.01
boss_ultimate,platinum,80,0.25
death_defy_down,platinum,80,-0.05
death_ray_resistance,platinum,80,0.6
enemy_attack_speed,platinum,80,1
energy_shields_down,platinum,80,0.2
enemy_speed,platinum,80,0.8
fast_ultimate,platinum,80,3
more_bosses,platinum,80,6
more_enemies,platinum,80,0.2
knockback_resistance,platinum,80,0.7
orb_resistance,platinum,80,0.3
plasma_cannon_resistance,platinum,80,0.7
protector_ultimate,platinum,80,60
ranged_ultimate_tower_disable_time,platinum,80,0.3
tank_ultimate,platinum,80,60
thorns_resistance,platinum,80,0.7
ultimate_weapons_duration,platinum,80,-2
enemy_level_skip,platinum,80,-0.06
armored_enemies,champion,80,10
basic_ultimate_fast,champion,80,0.03
basic_ultimate_tank,champion,80,0.03
basic_ultimate_range,champion,80,0.02
basic_ultimate_boss,champion,80,0.01
basic_ultimate_protector,champion,80,0.01
boss_ultimate,champion,80,0.25
death_defy_down,champion,80,-0.05
death_ray_resistance,champion,80,0.6
enemy_attack_speed,champion,80,1
energy_shields_down,champion,80,0.2
enemy_speed,champion,80,0.8
fast_ultimate,champion,80,3
more_bosses,champion,80,6
more_enemies,champion,80,0.2
knockback_resistance,champion,80,0.7
orb_resistance,champion,80,0.3
plasma_cannon_resistance,champion,80,0.7
protector_ultimate,champion,80,60
ranged_ultimate_tower_disable_time,champion,80,0.3
tank_ultimate,champion,80,60
thorns_resistance,champion,80,0.7
ultimate_weapons_duration,champion,80,-2
enemy_level_skip,champion,80,-0.06
armored_enemies,legend,80,10
basic_ultimate_fast,legend,80,0.03
basic_ultimate_tank,legend,80,0.03
basic_ultimate_range,legend,80,0.02
basic_ultimate_boss,legend,80,0.01
basic_ultimate_protector,legend,80,0.01
boss_ultimate,legend,80,0.25
death_defy_down,legend,80,-0.05
death_ray_resistance,legend,80,0.6
enemy_attack_speed,legend,80,1
energy_shields_down,legend,80,0.2
enemy_speed,legend,80,0.8
fast_ultimate,legend,80,3
more_bosses,legend,80,6
more_enemies,legend,80,0.2
knockback_resistance,legend,80,0.7
orb_resistance,legend,80,0.3
plasma_cannon_resistance,legend,80,0.7
protector_ultimate,legend,80,60
ranged_ultimate_tower_disable_time,legend,80,0.3
tank_ultimate,legend,80,60
thorns_resistance,legend,80,0.7
ultimate_weapons_duration,legend,80,-2
enemy_level_skip,legend,80,-0.06
armored_enemies,copper,100,15
basic_ultimate_fast,copper,100,0.03
basic_ultimate_tank,copper,100,0.03
basic_ultimate_range,copper,100,0.02
basic_ultimate_boss,copper,100,0.01
basic_ultimate_protector,copper,100,0.01
boss_ultimate,copper,100,0.3
death_defy_down,copper,100,-0.06
death_ray_resistance,copper,100,0.55
enemy_attack_speed,copper,100,1.25
energy_shields_down,copper,100,0.25
enemy_speed,copper,100,0.9
fast_ultimate,copper,100,3
more_bosses,copper,100,6
more_enemies,copper,100,0.25
knockback_resistance,copper,100,0.65
orb_resistance,copper,100,0.2
plasma_cannon_resistance,copper,100,0.65
protector_ultimate,copper,100,75
ranged_ultimate_tower_disable_time,copper,100,0.3
tank_ultimate,copper,100,75
thorns_resistance,copper,100,0.65
ultimate_weapons_duration,copper,100,-3
enemy_level_skip,copper,100,-0.08
armored_enemies,silver,100,15
basic_ultimate_fast,silver,100,0.03
basic_ultimate_tank,silver,100,0.03
basic_ultimate_range,silver,100,0.02
basic_ultimate_boss,silver,100,0.01
basic_ultimate_protector,silver,100,0.01
boss_ultimate,silver,100,0.3
death_defy_down,silver,100,-0.06
death_ray_resistance,silver,100,0.55
enemy_attack_speed,silver,100,1.25
energy_shields_down,silver,100,0.25
enemy_speed,silver,100,0.9
fast_ultimate,silver,100,3
more_bosses,silver,100,6
more_enemies,silver,100,0.25
knockback_resistance,silver,100,0.65
orb_resistance,silver,100,0.2
plasma_cannon_resistance,silver,100,0.65
protector_ultimate,silver,100,75
ranged_ultimate_tower_disable_time,silver,100,0.3
tank_ultimate,silver,100,75
thorns_resistance,silver,100,0.65
ultimate_weapons_duration,silver,100,-3
enemy_level_skip,silver,100,-0.08
armored_enemies,gold,100,15
basic_ultimate_fast,gold,100,0.03
basic_ultimate_tank,gold,100,0.03
basic_ultimate_range,gold,100,0.02
basic_ultimate_boss,gold,100,0.01
basic_ultimate_protector,gold,100,0.01
boss_ultimate,gold,100,0.3
death_defy_down,gold,100,-0.06
death_ray_resistance,gold,100,0.55
enemy_attack_speed,gold,100,1.25
energy_shields_down,gold,100,0.25
enemy_speed,gold,100,0.9
fast_ultimate,gold,100,3
more_bosses,gold,100,6
